,ADJACENT_TO_SCHOOL,BARCODE,BASE_PATH_LENGTH_FT,COMMENTS,COMMUNITY,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,DRAINAGE_UPGRADE,FACILITYID,GANG_MOWING_ROUTE,HOUSE_NO,INFIELD_TYPE,INSERVICE_COST,INSERVICE_DATE,IRRIGATED,JOINT_USE_AGREEMENT,LAST_SURFACE_REPLACEMENT,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OVERLAP,PARK,PARK_FACILITY_TYPE,PARK_OWNERSHIP,PRIMARY_USE,REFERENCE_NO,ROAD_CODE,RUNOUT_LENGTH_M,RUNOUT_WIDTH_M,SECONDARY_USE,SERIAL_NO,SERVICE_LEVEL,SPORTS_FIELD_TYPE,SPORTS_FIELD_TYPE2,STATUS,STATUS_DATE,SUBSURFACE_DRAINAGE,SURFACE_LENGTH_FT,SURFACE_TYPE,SURFACE_WIDTH_FT,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
0,Y,,,,Newton,,,20101026,"Soccer Field; Chimney Heights Park, 14677 74 Ave",,1001477469,,14677,,0,20011114,Y,N,,0729-000000291,Soccer Field,Parks,,053,,20101026,"Chimney Heights Park, 14677 74 Ave",Park,Parks,,Chimney Heights Park,Field - Soccer - Regulation,,Soccer,1,07400,,,Soccer,,,0,Grass,OPERATING,20020726154900,,100,Sand,56,Y,,,,,
1,Y,,,,Cloverdale,,,20101027,"Diamond #6; George Greenaway School, 17295 61A Ave",,1001477470,,17295,,0,,Y,,,0729-000000202,SE corner of soccer field,Parks,,076,,20101027,"George Greenaway School Grounds, 17285 61A Ave",Land,School District #36,,George Greenaway School Grounds,Diamond - Baseball,,Baseball,6,06150,,,,,,0,Grass,OPERATING,20010201163900,,,,,Y,,,,,
2,Y,,,,Newton,,,20101027,"Cricket Ground; Sullivan Heights Park, 6322 144 St",,1001477472,,06322,,0,20050101,Y,,,0729-000000323,,Parks,,073,,20101027,"Sullivan Heights Park, 6322 144 St",Park,Parks,,Sullivan Heights Park,Field - Cricket,,Cricket,1,14400,,,,,,0,Grass,OPERATING,20041027082800,,,Sand,,Y,,,,,
3,Y,,,,South Surrey,,,20101027,"Cricket Ground; South Surrey Athletic Park, 1925 148 St",,1001477474,,01925,,0,20090701,Y,,,0729-000000375,,Parks,,123,,20101027,"South Surrey Athletic Park, 1925 148 St",Park,Parks,Y,South Surrey Athletic Park,Field - Cricket,,Cricket,1,14800,,,,,,0,Grass,OPERATING,20101027084300,,,Sand,,Y,,,,,
4,Y,,,,Guildford,,,20101028,"Baseball Diamond #5; Lionel Courchene Park, 9900 154 St",,1001477475,,09900,,0,,Y,,,0729-000000376,"tee-ball diamond on South side of park, SE of diamond #2",Parks,,024,,20101028,"Lionel Courchene Park, 9900 154 St",Park,Parks,,Lionel Courchene Park,Diamond - Baseball,,Baseball,5,15400,,,,,,0,Grass,OPERATING,20101028105100,,,,,Y,,,,,
5,Y,,,,Whalley,,,20101028,"8v8 Soccer Field #1a; Royal Kwantlen Park, 13035 104 Ave",,1001477476,,13035,,0,20100701,Y,,,0729-000000378,on same area as soccer field #1,Parks,,011,,20101028,"Royal Kwantlen Park, 13035 104 Ave",Park,Parks,,Royal Kwantlen Park,Field - Soccer - 8v8,,Soccer,1a,10400,,,,,,0,Grass,OPERATING,20101028140700,,,,,Y,,,,,
6,,,,,Whalley,,,,"Synthetic Field #1; Tom Binnie Park, 10665 City Parkway",,1001477477,,10665,,0,20061031,,,,0729-000000338,,Parks,,011,,,"Tom Binnie Park, 10665 City Parkway",Park,Parks,,Tom Binnie Park,Field - Synthetic,,Soccer,1,13502,,,,,,2,Synthetic,OPERATING,20060104165500,,,,,Y,,,,,
7,,,,,South Surrey,,,,"Rugby Field #2; South Surrey Athletic Park, 1925 148 St",,1001477280,,01925,,0,,Y,,,0729-000000029,West of East Field - South of 20th Ave.,Parks,,123,,,"South Surrey Athletic Park, 1925 148 St",Park,Parks,,South Surrey Athletic Park,Field - Rugby,,Rugby,2,14800,,,,,,0,Grass,OPERATING,20010201144600,,,,,Y,,,,,
8,,,,,South Surrey,,,,"Soccer Field #5; South Surrey Athletic Park, 1925 148 St",,1001477281,,01925,,0,,Y,,,0729-000000015,SW corner of park - North of 20 Ave,Parks,,123,,,"South Surrey Athletic Park, 1925 148 St",Park,Parks,,South Surrey Athletic Park,Field - Soccer - Regulation,,Soccer,5,14800,,,,,,0,Grass,OPERATING,20010201133100,,,,,Y,,,,,
9,,,,,South Surrey,,,,"Soccer Field #6; South Surrey Athletic Park, 1925 148 St",,1001477282,,01925,,0,,Y,,,0729-000000013,South side of park - North of 20 Ave,Parks,,123,,,"South Surrey Athletic Park, 1925 148 St",Park,Parks,,South Surrey Athletic Park,Field - Soccer - Regulation,,Soccer,6,14800,,,,,,0,Grass,OPERATING,20010201132500,,,,,Y,,,,,
10,,,,,South Surrey,,,,"Soccer Field #7; South Surrey Athletic Park, 1925 148 St",,1001477283,,01925,,0,,Y,,,0729-000000011,South side of park - North of 20 Ave,Parks,,123,,,"South Surrey Athletic Park, 1925 148 St",Park,Parks,,South Surrey Athletic Park,Field - Soccer - Regulation,,Soccer,7,14800,,,,,,0,Grass,OPERATING,20010201132400,,,,,Y,,,,,
11,,,,,South Surrey,,,,"Soccer Field #8; South Surrey Athletic Park, 1925 148 St",,1001477284,,01925,,0,,Y,,,0729-000000009,SE corner of park - North of 20 Ave,Parks,,123,,,"South Surrey Athletic Park, 1925 148 St",Park,Parks,,South Surrey Athletic Park,Field - Soccer - Regulation,,Soccer,8,14800,,,,,,0,Grass,OPERATING,20010201132200,,,,,Y,,,,,
