,STRUCTURE_TYPE,STRUCTURE_TYPE2,DESCRIPTION,LOCATION,STRUCTURE_DETAIL_TYPE,SPECIAL_FEATURES,MATERIAL_TYPE,WIDTH_M,SEATING_TYPE,GIFT_DONATION,PLAQUE_DETAIL,BENCH_STYLE,CAPACITY,DIMENSION_M2,COMPONENT_TYPE,SURFACE_MATERIAL,WINTERIZED,LENGTH_M,HOUSE_NO,STATUS,STATUS_DATE,PARK_OWNERSHIP,INSERVICE_DATE,INSERVICE_COST,CONDITION,YRS_LIFE_EXPECTANCY,WARRANTYDATE,WARRANTY_PROVIDER,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,Latitude,Longitude
0,3,Shelters and Tables,"Table #10 - Permanent; Green Timbers Urban Forest Park, 14698 96 Ave","east side of lake, in picnic area",,,Plastic,,,,,,,,Table - Permanent,,,,14698,OPERATING,20091023145700,,20090801,0,,,,,"Green Timbers Urban Forest Park, 14698 96 Ave",Land,49.180771,-122.820003
1,3,Shelters and Tables,"Table #11 - Permanent; Green Timbers Urban Forest Park, 14698 96 Ave","east side of lake, in picnic area",,,Plastic,,,,,,,,Table - Permanent,,,,14698,OPERATING,20091023145800,,20090801,0,,,,,"Green Timbers Urban Forest Park, 14698 96 Ave",Land,49.180576,-122.819826
2,3,Shelters and Tables,"Table #3 - Permanent; Bakerview Park, 1845 154 St",east of playground,,,Wood,,,,,,,,Table - Permanent,,,,01845,OPERATING,20100218130400,,20090201,0,,,,,"Bakerview Park, 1845 154 St",Park,49.035080,-122.797038
3,3,Shelters and Tables,"Table #4 - Permanent; Bakerview Park, 1845 154 St",east of playground,,,Wood,,,,,,,,Table - Permanent,,,,01845,OPERATING,20100218130600,,20090201,0,,,,,"Bakerview Park, 1845 154 St",Park,49.034971,-122.796962
4,3,Shelters and Tables,"Table #5 - Permanent; Bakerview Park, 1845 154 St",east of playground,,,Wood,,,,,,,,Table - Permanent,,,,01845,OPERATING,20100218130600,,20090201,0,,,,,"Bakerview Park, 1845 154 St",Park,49.034943,-122.797092
5,3,Shelters and Tables,"Table #9 - Permanent; Unwin Park, 13313 68 Ave",east of diamond 1,,,Wood,,,,,,,,Table - Permanent,,,,13313,OPERATING,20100624170500,,,0,,,,,"Unwin Park, 13313 68 Ave",Park,49.129900,-122.852681
6,3,Shelters and Tables,"Table #1 - Portable; Green Timbers Park, 14255 96 Ave",just east of West Cape Cod building,,,,,,,,,,,Table - Portable,,,,14255,OPERATING,20100806095700,,20091001,0,,,,,"Green Timbers Park, 14255 96 Ave",Park,49.179009,-122.830565
7,3,Shelters and Tables,"Table #2 - Portable; Green Timbers Park, 14255 96 Ave",SW of West Cape Cod building,,,,,,,,,,,Table - Portable,,,,14255,OPERATING,20100806100600,,20091001,0,,,,,"Green Timbers Park, 14255 96 Ave",Park,49.178805,-122.831089
8,3,Shelters and Tables,"Table #3 - Portable; Green Timbers Park, 14255 96 Ave",SW of West Cape Cod building,,,,,,,,,,,Table - Portable,,,,14255,OPERATING,20100806100700,,20091001,0,,,,,"Green Timbers Park, 14255 96 Ave",Park,49.178857,-122.831183
9,3,Shelters and Tables,"Table #4 - Portable; Green Timbers Park, 14255 96 Ave",along West edge of commemorative planting,,,,,,,,,,,Table - Portable,,,,14255,OPERATING,20100806100800,,20091001,0,,,,,"Green Timbers Park, 14255 96 Ave",Park,49.178378,-122.830186
10,3,Shelters and Tables,"Table #5 - Portable; Green Timbers Park, 14255 96 Ave",along West edge of commemorative planting,,,,,,,,,,,Table - Portable,,,,14255,OPERATING,20100806101000,,20091001,0,,,,,"Green Timbers Park, 14255 96 Ave",Park,49.178283,-122.830266
11,3,Shelters and Tables,"Table #6 - Portable; Green Timbers Park, 14255 96 Ave",along West edge of commemorative planting,,,,,,,,,,,Table - Portable,,,,14255,OPERATING,20100806101100,,20091001,0,,,,,"Green Timbers Park, 14255 96 Ave",Park,49.178214,-122.830332
12,3,Shelters and Tables,"Table #7 - Portable; Green Timbers Park, 14255 96 Ave",along West edge of commemorative planting,,,,,,,,,,,Table - Portable,,,,14255,OPERATING,20100806101200,,20091001,0,,,,,"Green Timbers Park, 14255 96 Ave",Park,49.178154,-122.830390
13,0,Benches and Bleachers,"2 Benches; Hunter Park - 88A, 5480 - 184A St",Near middle of park,,,,0,Bench,,,,0,,,,,,05480,OPERATING,,,,0,,,,,"Hunter Park, 5480 184A St",,49.102035,-122.711031
14,1,Gates,"Bollard; Robin Park, 11240 150 St",Robin Cr - SW corner of park,Bollard,,Metal,,,,,,,,,,,,11240,OPERATING,,,,,,,,,"Robin Park, 11240 150 St",Park,49.206120,-122.806070
15,1,Gates,"Bollard; Robin Park, 11240 150 St",Robin Cr - SW corner of park,Bollard,,Metal,,,,,,,,,,,,11240,OPERATING,,,,,,,,,"Robin Park, 11240 150 St",Park,49.206121,-122.806050
16,1,Gates,"Bollard; Robin Park, 11240 150 St",Robin Cr - SW corner of park,Bollard,,Metal,,,,,,,,,,,,11240,OPERATING,,,,,,,,,"Robin Park, 11240 150 St",Park,49.206121,-122.806030
17,0,Benches and Bleachers,"Permanent Wood Bench; Sullivan Park, 6272 - 152 St",Dia-SB 1/2/4/,,,,0,Bench,,,,0,,,,,,06272,OPERATING,,,,0,,,,,"Sullivan Park, 6272 152 St",,49.116882,-122.800740
18,0,Benches and Bleachers,"Fixed Location Bench; Glenwood Park - 15N, 16625 - Glenwood Cres South",Near 105 Ave Entrance,,,,0,Bench,,,,0,,,,,,16625,OPERATING,,,,0,,,,,"Glenwood Park, 16625 Glenwood Cres South",,49.193132,-122.761029
19,0,Benches and Bleachers,"2 Permanent Benches; Redwood Park, 17900 - 20 Ave",Treehouse,,,,0,Bench,,,,0,,,,,,17900,OPERATING,,,,0,,,,,"Redwood Park, 17900 20 Ave",,49.035917,-122.726385
20,0,Benches and Bleachers,"2 Permanent Wood Benches(In Dugout); Sunnyside Park, 15455 - 26 Ave",Dia-SB 1,,,,0,Bench,,,,0,,,,,,15455,OPERATING,,,,0,,,,,"Sunnyside Park, 15455 26 Ave",,49.050029,-122.795273
21,0,Benches and Bleachers,"2 Fixed Location Benches; Sunnyside Park, 15455 - 26 Ave",Dia-SB 1,,,,0,Bench,,,,0,,,,,,15455,OPERATING,,,,0,,,,,"Sunnyside Park, 15455 26 Ave",,49.050074,-122.795273
22,0,Benches and Bleachers,"Fixed Location Bench; 24L - Greenbelt, 9873 159 St",W. Side Of Site,,,,0,Bench,,,,0,,,,,,09873,OPERATING,,,,0,,,,,"24L - Tot-Lot, 9873 159 St",,49.181745,-122.781765
23,0,Benches and Bleachers,"2 Permanent Benches; Fleetwood Park, 15802 - 80 Ave",1st Baseline of Dia-SB 4,,,,0,Bench,,,,0,,,,,,15802,OPERATING,,,,0,,,,,"Fleetwood Park, 15802 80 Ave",,49.148124,-122.783084
24,0,Benches and Bleachers,"Fixed Location Bench; Hazelnut Meadows Community Park, 14069 68 Ave",Along Path,,,,0,Bench,,,,0,,,,,,14069,OPERATING,,,,0,,,,,"Hazelnut Meadows Community Park, 14069 68 Ave",,49.126391,-122.832364
25,0,Benches and Bleachers,"Fixed Location Bench; 33C - Tot-Lot, 14484 - 91 Ave",Beside Playground,,,,0,Bench,,,,0,,,,,,14484,OPERATING,,,,0,,,,,"33C - Tot-Lot, 14484 91 Ave",,49.167710,-122.821086
26,6,Other,"BBQ Stand; Green Timbers Urban Forest Park, 14698 96 Ave",next to table 5,,,Metal,,,,,,,,,,,,14698,OPERATING,,,20131101,,,,,,"Green Timbers Urban Forest Park, 14698 96 Ave",Land,49.180324,-122.820053
27,6,Other,"BBQ Stand; Blackie Spit, 3136 McBride Ave",next to table 6,,,Metal,,,,,,,,,,,,03136,OPERATING,,,,,,,,,"Blackie Spit, 3136 McBride Ave",Park,49.059220,-122.882795
