,AREA_SUBTYPE,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LENGTH_M,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,NO_OF_HANDICAPPED_UNITS,NO_OF_SPACES,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_AREA_TYPE,PARK_AREA_TYPE2,PARK_FACILITY_TYPE,PARK_OWNERSHIP,REFERENCE_NO,ROAD_CODE,SECURE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,STRUCTURES_INSPECTION_ROUTE,SURFACE_TYPE,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WIDTH_M,WORK_ASSIGNMENT,YEAR_ADDED,YRS_LIFE_EXPECTANCY
0,Unimproved Land,,,,,20130315,"Unwin Park,6848 132 St",1001580789,,,,,,,,,061,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2012,
1,Unimproved Land,,,,,20150303,"101A - Greenbelt, 3237 136 St",1001811384,,,,,,,,,101,,,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2015,
2,Unimproved Land,,,,,20130315,"22F - Greenbelt,13780 102 Ave",1001580820,,,,,,,,,022,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2011,
3,Unimproved Land,,,,,20150528,"22F - Greenbelt,13780 102 Ave",1001879029,,,,,,,,,022,,,,,,,,0,General Area,,,,,,,,,,,,,,,,,,,
4,Unimproved Land,,,,,20140317,12K - Neighbourhood Park,1001735116,,,,,,,,,,,,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2014,
5,Unimproved Land,,UFEP,,,20130913,72F - Greenbelt,1001707353,,,,,,,,,,,20130913,,,,,,0,General Area,,,,,,,,,,,,,,,,,,,
6,Unimproved Land,,,,,20130315,"Forsythe Park,10635 140 St",1001580744,,,,,,,,,012,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2002,
7,Unimproved Land,,,,,20151009,72R - Greenbelt,1001841892,14097,,,1001841891,,14097 61 Ave,,,072,,20180320,,,"72R - Greenbelt, 14097 61 Ave",,,0,General Area,,,,06100,,,,,,,,,,,,,,,
8,Unimproved Land,,,,,20130315,"102H - Greenbelt,14389 Crescent Rd",1001580846,,,,,,,,,102,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2008,
9,Unimproved Land,,,,,20170724,102H - Greenbelt,1001941241,,,,,,14391 Crescent Rd,,,,,20170724,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
10,Unimproved Land,,,,,20151028,102G - Greenbelt,1001845274,,,,,,,,,,,20180320,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2015,
11,Unimproved Land,,,,,20170208,"Barbara Creek Park, 15053 34 Ave",1001905417,,,,,,,,,103,,20170208,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
12,Unimproved Land,,,,,20130315,"103D - Utility ROW,14938 34b Ave",1001580808,,,,,,,,,103,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2005,
13,Unimproved Land,,,,,20170814,14R - Greenbelt,1001943166,,,,1001943164,,15230 112 Ave,,,014,,20170814,,,"14R - Greenbelt, 15230 112 Ave",,,0,General Area,,,,,,,,,,,,,,,,,,,
14,Unimproved Land,,,,,20150210,114E - Greenbelt,1001879035,,,,,,15414 31 Ave,,,114,,20180320,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2015,
15,Unimproved Land,,,,,20180417,"54D - Greenbelt, 7747 154 St",1001995754,,,,,,,,,,,20180417,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2018,
16,Unimproved Land,,Formerly 125E - Greenbelt,,,20140422,"Oak Meadows Park, 16271 22 Ave",1001742544,16271,,,,,,Parks,,125,,,,,125E - Greenbelt; 16271 22 Ave,,Parks,0,General Area,,,,02200,,,,OPERATING,,,,,,,,,,2014,
17,Unimproved Land,,,,,20141128,"Walnut Park,16246 82 Ave",1001798353,,,,,,,,,045,,,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2014,
18,Unimproved Land,,,,,20130315,"Fergus Watershed Park,1277 168 St",1001580754,,,,,,,,,135,,20160728,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2010,
19,Unimproved Land,,,,,20170309,115L - Greenbelt,1001912261,,,,,,16474 29A Ave,,,,,20170309,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
20,Unimproved Land,,,,,20130315,"75I - Greenbelt,16546 Old McLellan Rd",1001580840,,,,,,,,,075,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2007,
21,Unimproved Land,,,,,20161214,Coyote Springs Park,1001899876,,,,,,16540 Watson Dr,,,46,,20180320,,,,,,0,General Area,,,,,,,2016,,,,,,,,,,,,
22,Unimproved Land,,Formerly 115J - Greenbelt,,,20170309,Orchard Grove Park,1001912272,,,,,,2462 167 St,,,,,20180423,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
23,Unimproved Land,,Formerly 115J - Greenbelt,,,20170601,Orchard Grove Park,1001933375,,,,,,2474 167 St,,,115,,20180423,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
24,Unimproved Land,,,,,20180410,25H - Greenbelt,1001994854,,,,1001994846,,,,,025,,20180410,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2018,
25,Unimproved Land,,,,,20180410,25H - Greenbelt,1001994853,,,,1001994845,,,,,025,,20180410,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2018,
26,Unimproved Land,,,,,20130315,"116E - Community Park,17188 26 Ave",1001580815,,,,,,,,,116,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2008,
