,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,DESCRIPTION,FACILITYID,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_NAME,PARK_OWNERSHIP,ROAD_CODE,SERIAL_NO,SERVICE_CLASSIFICATION,SNOW_CLEARING_ROUTE,STATUS,STATUS_DATE,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WEBLINK,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
0,,,,,,1001486961,,,,,15101 105 Ave,,,013,,"Guildford Recreation Centre, 15101 105 Ave",,,Guildford Recreation Centre,,,,A,,,,,,,,,
1,,,,,,1001486963,,,,0701-000000793,7065 195 St,,,069,,"Hartnell Park, 7065 195 St",,,Hartnell Park,,,,C,,,,,,,http://www.surrey.ca/culture-recreation/7633.aspx,,
2,,,,,,1001486661,,,,0701-000000283,12807 72 Ave,,,051,,"51C - Walkway, 12807 72 Ave",,,51C - Walkway,,,,C,,,,,,,,,
3,,,,,,1001486662,,,,0701-000000285,13728 80 Ave,,,052,,"52A - Greenbelt, 13728 80 Ave",,,52A - Greenbelt,,,,D,,,,,,,,,
4,,,,,,1001486663,,,,0701-000000644,14195 74A Ave,,,052,,"52G - Detention Pond, 14195 74a Ave",,,52G - Detention Pond,,,,C,,,,,,,,,
5,,,,,,1001486664,,,,0701-000000290,13723 72A Ave,,,052,,"52K - Greenbelt, 13723 72A Ave",,,52K - Greenbelt,,,,C,,,,,,,,,
6,,,,,,1001486665,,,,0701-000000291,13755 74 Ave,,,052,,"52L - Greenbelt, 13755 74 Ave",,,52L - Greenbelt,,,,C,,,,,,,,,
7,,,,,,1001486668,,,,0701-000000293,7492 151A St,,,053,,"53C - Greenbelt, 7492 151A St",,,53C - Greenbelt,,,,U,,,,,,,,,
8,,,,,,1001486670,,,,0701-000000711,7400 148 St,,,053,,"53E - Greenbelt, 7400 148 St",,,53E - Greenbelt,,,,C,,,,,,,,,
9,,,,,,1001486671,,,,0701-000000296,15196 76 Ave,,,053,,"53F - Greenbelt, 15196 76 Ave",,,53F - Greenbelt,,,,C,,,,,,,,,
10,,,,,,1001486672,,,,0701-000000744,14492 75A Ave,,,053,,"53G - Greenbelt, 14492 75a Ave",,,53G - Greenbelt,,,,D,,,,,,,,,
