,CRE_DATE,MOD_DATE,PLAN_NO,PLAN_NO_ID
0,,,S-262,
1,,,NWP 88312,78797
2,,,H-32218,78030
3,,,Z-14352,79201
4,,,W-70074,79061
5,,,Y-129181,79177
6,,,R-92884,78751
7,20130313,20130313,PPLMP21216,82243
8,,,C-5508,77726
9,,,P.P. 50-1,77034
10,,,LMP 28504,
11,,,M-91155,78561
12,,,D-84106,77851
13,,,G-60057,77988
14,,,83619,77390
15,,,F-31647,77929
16,,,U-86787,79028
17,,,U-1413,
18,,,P.P. 9-3,79253
19,,,T-83704,78931
20,,,D-67618,77835
21,,,W-23582,79046
22,,,N-50932,78588
23,,,T-49680,78905
24,,,83788,
25,,,R-83878,
26,20130312,20130312,EPP27995,82242
27,,,G-94918,78011
28,,,LMP 26270,78432
29,,,K-105473,78233
30,,,T-18849,78881
31,,,80532,77329
32,,,79548,77314
33,,,C-63339,77767
34,,,P.P. 20-1,79270
35,,,W-82147,79066
36,,,W-114996,79084
37,,,76894,77282
38,,,R-117847,78773
39,,,R-68779,78731
40,,,W-82145,79064
41,,,57028,77137
42,20120215,20120215,PPEPP17232,80283
43,,,P-80113,78667
44,,,LMP 43107,78502
45,,,T-89537,78937
46,,,W-123816,79087
47,,,E-59563,77897
48,,,Y-61291,79160
49,,,BE-60757,77681
50,,,G-113214,78017
51,,,X-44232,79112
52,,,F-79812,77962
53,,,77617,77294
54,20140508,20140508,PPBCP42666,84600
55,,,F-74022,77957
56,,,K-32701,78171
57,,,A-54819,77514
58,,,78997,77310
59,,,57592,77140
60,,,L-106806,78326
61,,,E-59559,77894
62,,,H-93716,78053
63,20120125,20120125,PPEPP16669,80009
64,,,K-31705,78170
65,,,D-53911,77818
66,,,80643,77333
67,,,U-118455,79032
68,,,H-106069,
69,,,D-53918,77820
70,20140508,20140508,PPBCP42757,84607
71,,,C-55984,77762
72,,,T-169264,79189
73,,,LMP 44483,78514
74,,,Y-108168,79169
75,,,E-35337,77881
76,,,F-79809,77961
77,,,W-114993,79082
78,20160427,20160427,PPEPP59766,38106
79,,,Y-59297,79158
80,,,G-24463,77977
81,,,R-79818,78738
82,,,E-83774,
83,,,E-16240,77864
84,,,W-23585,79049
85,20140425,20140425,PPBCP39891,84533
86,20140430,20140430,PPBCP41372,84556
87,,,R-88896,78748
88,,,P.P. 61-3,77040
89,,,BCP 21236,77594
90,,,U-51204,79015
91,,,W-80121,79063
92,20150506,20150506,PPEPP14278,37378
93,,,P.P. 41-1,77028
94,,,L-76963,78306
95,,,M-25566,78545
96,,,X-117560,79145
97,,,J-114244,78126
98,,,66291,77225
99,,,T-118975,78978
100,,,H-5669,78020
101,,,R-33959,78709
102,,,G-86779,78010
103,,,62557,77182
104,,,N-123974,78634
105,,,R-118379,78774
106,,,20735 E,
107,,,N-70918,78595
108,,,F-79815,77963
109,,,E-45126,77885
110,,,LMP 4141,78344
111,,,E-19947,77866
112,,,E-86206,77917
113,,,82336,77368
114,,,G-85602,78009
