,MISC_ASSET_TYPE,MISC_ASSET_TYPE2,FACILITYID,LEGACYID,MATERIAL,LENGTH,NAME,RESPONSIBILITY,ROTATION,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
0,0,Railway Crossing,1001855130,,,,BCR @ KING GEORGE BLVD,British Columbia Railway,,In Service,,,Surrey,KING GEORGE BLVD OVERPASS MILE: 4.53,,,,,,,,20160121,20160126,49.097574,-122.818255
1,0,Railway Crossing,1000959778,,Concrete,,CNR @ TANNERY RD,Canadian National Railway,60,In Service,,,Surrey,11828 TANNERY RD MILE: 1.32 (117.63),"SURRY 50%, OTHER 50%: SENIOR",,,,,,,20081203,20160126,49.196800,-122.894309
2,0,Railway Crossing,1000959780,,Asphalt,,CNR @ TIMBERLAND RD,Canadian National Railway,125,In Service,,,Surrey,10780 TIMBERLAND RD MILE: 1.21 (117.7),"SURREY 50%, OTHER 50%: JUNIOR",,,,,,,20081203,20160126,49.198479,-122.894639
3,0,Railway Crossing,1001417698,,Rubber Panel,,SRBC @ 138 ST,Southern Railway British Columbia,93,In Service,,,Surrey,6841 138 ST MILE: 8.24,SURREY 100%: SENIOR,,,,,,,20120706,20160126,49.127159,-122.840462
4,0,Railway Crossing,1001417704,,Concrete,,SRBC @ 152 ST,Southern Railway British Columbia,98,In Service,,,Surrey,152 ST & 64 AVE MILE: 10.2,SURREY 100%: SENIOR,,,,,,,20120706,20160126,49.118838,-122.800992
5,0,Railway Crossing,1001417838,,Concrete,,SRBC @ 132 ST,Southern Railway British Columbia,142,In Service,,,Surrey,132 ST & 76 AVE MILE: 7.04,"SURREY 0%, OTHER 100%: JUNIOR",,,,,,,20120710,20160126,49.140933,-122.856760
6,0,Railway Crossing,1001417965,,Concrete,,BNR @ MCBRIDE DR,Burlington Northern Railway,70,In Service,,,Surrey,MCBRIDE DR & BAYVIEW ST MILE: 126.8,"SURREY 50%, BNR 50%: JUNIOR",,,,,,,20120710,20160120,49.049908,-122.882861
7,0,Railway Crossing,1001417706,,Concrete,,SRBC @ KING GEORGE BLVD,Southern Railway British Columbia,145,In Service,,,Surrey,7118 KING GEORGE BLVD MILE: 7.88,"0% SURREY, 100% SRBC: SENIOR",,,,,,,20120706,20160120,49.131454,-122.845582
8,0,Railway Crossing,1001417971,,Rubber Panel,,CNR @ 179 ST,Canadian National Railway,90,In Service,,,Surrey,DALY RD & 179 ST MILE: 109.84,"SURREY 50%, OTHER 50%: JUNIOR",,,,,,,20120710,20160120,49.186669,-122.724768
9,0,Railway Crossing,1001417970,,Concrete,,CNR @ 132 ST,Canadian National Railway,38,In Service,,,Surrey,13477 116 AVE MILE: 116.53,MAINT UNKNOWN,,,,,,,20120710,20160120,49.214096,-122.855814
