,ADDRESS,COLLECTION_DAY,COMPLEX_NAME,CRE_DATE,MOD_DATE,NO_OF_TOTE,NO_OF_UNITS
0,12915 17 AVE,Monday,OCEAN PARK VILLAGE,,20170616,24,66
1,9978 151 ST,Wednesday,SPRING COURT,,20170616,3,30
2,12038 62 AVE,Tuesday,PACIFIC GARDENS,,20170616,3,16
3,9947 151 ST,Wednesday,SPENCERS GATE,,20170616,4,6
4,15342 20 AVE,Monday,STERLING PLACE,,20170616,4,32
5,9971 138 ST,Thursday,SOMMERSET HOUSE,,20170616,3,39
6,13300 OLD YALE RD,Thursday,TOTERS,,20170616,3,51
7,2603 151 ST,Monday,SUNNYSIDE VILLAS,,20170616,6,60
8,15055 20 AVE,Monday,HIGHGROVE APT,,20170616,3,80
9,14145 103 AVE,Friday,AMA,,20170616,3,22
10,6455 121 ST,Tuesday,SUNSET GROVE,,20170616,6,36
11,17707 57A AVE,Wednesday,FRANCES MANOR,,20170616,3,28
12,13353 108 AVE,Thursday,CORNER STONES,,20170616,14,278
13,9370 122 ST,Thursday,BONNYDOOR VILLAGE,,20170616,10,76
14,17660 60 AVE,Wednesday,HOFFMAN MANOR,,20170616,3,43
15,13751 74 AVE,Tuesday,ARBOURSIDE COURT,,20170616,3,92
16,12158 82 AVE,Tuesday,SANDPIPER HOUSING,,20170616,8,50
17,13820 72 AVE,Tuesday,HAWTHORNE CO-OP,,20170616,4,59
18,10228 148 ST,Friday,SHANNON GARDENS,,20170616,8,126
19,16137 83 AVE,Wednesday,FERNWOOD,,20170616,5,47
20,2880 152 ST,Monday,ROSEMARY GREEN,,20170616,5,38
21,13775 74 AVE,Tuesday,HAMPTON PLACE,,20170616,6,69
22,14154 103 AVE,Friday,TIFFANY SPRINGS,,20170616,6,49
23,13710 74 AVE,Tuesday,AVONDALE,,20170616,12,70
24,9763 140 ST,Thursday,FRASER GATE APTS,,20170616,30,129
25,2689 PARKWAY DR,Monday,ALLURE,20121008,20170616,8,54
26,13277 108 AVE,Thursday,PACIFICA,20121008,20170616,5,112
27,15268 18 AVE,Monday,PARK PLACE,20121008,20170616,3,24
28,13239 OLD YALE RD,Thursday,FUSE,20121008,20170616,3,85
29,15168 19 AVE,Monday,MINT,20121008,20170616,4,59
30,11255 132 ST,Thursday,FRASERVIEW TERRACE,20121008,20170616,7,58
31,15918 26 AVE,Monday,THE MORGAN,20121008,20170616,15,121
32,16421 64 AVE,Wednesday,ST. ANDREWS,20121008,20170616,24,219
33,8084 120A ST,Tuesday,ECLIPSE,20121008,20170616,5,57
34,15501 16 AVE,Monday,LIFESTYLE RETIREMENT COMMUNITY CENTRE,20121008,20170616,3,1
35,8183 121A ST,Tuesday,CELESTE,20121008,20170616,5,77
36,9655 KING GEORGE BLVD,Thursday,THE GRUV,20121008,20170616,6,116
37,17712 57A AVE,Wednesday,CLOVERDALE CONDOS,20121008,20170616,4,60
38,2940 KING GEORGE BLVD,Monday,HIGH STREET,20121008,20170616,,414
