,TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
0,JDSO-ABZT44,Rocky Mountain Chocolate Factory (Guildford),10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
1,A019057    ,Rokko Japanese Restaurant,8952 152 St,Surrey,Restaurant,49.16530528,-122.80077813
2,NDAA-9QSNUX,Rokku Asian Cuisine,1990 152 St,Surrey,Restaurant,49.03807582,-122.80051906
3,A020062    ,Ronnie's Restaurant,6542 King George Blvd,Surrey,Restaurant,49.12158708,-122.84510713
4,NDAA-A3VQ76,Rose Sweets & Tandoori Hut,12565 88 Ave,Surrey,Restaurant,49.16401631,-122.87478148
5,SWOD-ALRRJG,Rosemary Heights Seniors Village (Assisted Living Kitchen),15240 34 Ave,Surrey,Restaurant,49.06355857,-122.80059383
6,SWOD-ALRRB2,Rosemary Heights Seniors Village (Main Kitchen),15240 34 Ave,Surrey,Restaurant,49.06355857,-122.80059383
7,SWOD-AJ6RHL,Rosie's Country Cafe,3033 King George Blvd,Surrey,Restaurant,49.0568465,-122.80812679
8,SHEN-9SZRRW,Rotary Field House,2197 148 St,Surrey,Restaurant,49.04038605,-122.81508576
9,KSMH-AK7R5Y,Round Table Pizza,12030 80 Ave,Surrey,Restaurant,49.14840143,-122.88916081
10,A017291    ,Royal Canadian Legion Branch #229,13525 106 Ave,Surrey,Restaurant,49.19557658,-122.84744918
11,GEDS-6VLPHA,Royal Canadian Legion Branch #229 (Upstairs Kitchen),13525 106 Ave,Surrey,Restaurant,49.19557658,-122.84744918
12,JCOE-67H9A4,Royal Canadian Legion Branch #240,2643 128 St,Surrey,Restaurant,49.05053022,-122.867608
13,A017877    ,Royal Canadian Legion Branch #6 Bar,17567 57 Ave,Surrey,Restaurant,49.10616789,-122.73640309
14,A016764    ,Royal Canadian Legion Branch #6 Kitchen,17567 57 Ave,Surrey,Restaurant,49.10616789,-122.73640309
15,SYOG-5M5482,Royal Canadian Legion Branch #8 - Lounge,2290 152 St,Surrey,Restaurant,49.04347012,-122.80094784
16,A018898    ,Royal Oak Pizza and Steak House,15336 Fraser Hwy,Surrey,Restaurant,49.16437477,-122.79765343
17,SHEN-A7LSB9,Royal Pacific Restaurant Ltd.,9190 120 St,Surrey,Restaurant,49.17022058,-122.88998595
18,SPLH-AAAUX2,Royal's Pizza,12837 88 Ave,Surrey,Restaurant,49.16276072,-122.86718741
19,GEDS-7FATXC,Ruben's Restaurant,15282 Fraser Hwy,Surrey,Restaurant,49.16501585,-122.79908865
20,GEDS-75PLQX,Rusty's Neighbourhood Pub,17770 56 Ave,Surrey,Restaurant,49.10255448,-122.73039151
21,SHEN-APFUB3,S & L Kitchen & Bar South Surrey,16051 24 Ave,Surrey,Restaurant,49.04582614,-122.77749261
22,GEDS-6DSQ6B,Sabai Thai Restaurant,10391 150 St,Surrey,Restaurant,49.19105767,-122.80663219
23,A020395    ,Sachdeva Sweets & Restaurant,7500 120 St,Surrey,Restaurant,49.13913715,-122.8900684
24,PNEL-8R2MJU,Saggi Sweet & Restaurant,7248 132 St,Surrey,Restaurant,49.13451113,-122.85640946
25,SWOD-AL5UUH,Sahota's Live Grill,7548 120 St,Surrey,Restaurant,49.13980911,-122.89000345
26,JDSO-ACHLL4,Saini Sweets & Restaurant,15988 Fraser Hwy,Surrey,Restaurant,49.15724844,-122.77953862
27,SHEN-A7GQWB,Saint Germain Bakery,10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
28,SWOD-AK9QKR,Saison,10153 King George Blvd,Surrey,Restaurant,49.18592247,-122.84584777
29,SDFO-8F2KW3,Sakuya Sushi,1593 128 St,Surrey,Restaurant,49.03101667,-122.86778837
30,HCAR-ATQPHX,Sal y Limon Mexican Cuisine,2428 160 St,Surrey,Restaurant,49.04648581,-122.77880546
