,DESCRIPTION,PLAN_NO,PROJECT_NO,PURPOSE,ROW_NO,ROW_TYPE2,STATUS,WIDTH,YR
0,PTN LT 2 PL 2583,EPP52111,7814-0135-00,Multiple Facilities,E2015-0392,Municipal Right of Way,Registered,8.25,2015
1,PTN LT 138 PL 53386 (LTS 9 & 10 PL69886),69690,7885-057,Multiple Facilities,E1985-0211,Municipal Right of Way,Registered,3.6,1985
2,"PTN REM D EP7564 (LT 26,34,47 PL 79327)",77280,7883-1940,Multiple Facilities,E1987-0477,Municipal Right of Way,Registered,0,1988
3,PTN LT 92 PL 41920 (LTS 8-10 PL 84699),83337,7888-0656,Sanitary,E1989-0461,Municipal Right of Way,Registered,0.5,1989
4,PTN LT 254 PL 57439 (GVS & DD),39423,2054-002,Sanitary,E1986-1105,Municipal Right of Way,Registered,3.048,1971
5,PTN COMMON PROPERTY PL LMS2533,EPP53762,3814-417,Multiple Facilities,E2015-0091,Municipal Right of Way,Registered,VAR,2015
6,PTN LT 7 PL 2107,EPP50237,7811-0231-00,Passage,E2015-0361,Municipal Right of Way,Registered,VAR,2015
7,PTN LT 19 PL 45831,EPP60609,7814-0300-00,Multiple Facilities,E2016-0233,Municipal Right of Way,Initiated,0.5,2016
8,PTN LT 68 PL 20878,,4887-783,Drainage,E1988-0049,Municipal Right of Way,Initiated,0,
9,PTN LT 30 PL 38988,EPP52936,7814-0160-00,Multiple Facilities,E2015-0386,Municipal Right of Way,Initiated,11.5,2015
10,PTN LT A PL EPP35785,EPP61583,4716-1010-00,Sanitary,E2016-0102,Municipal Right of Way,Initiated,5.0,2016
11,PTN LT 1 PL 85091,85652,7889-0181,Public Access,E1990-0297,Municipal Right of Way,Registered,0,1990
12,PTN LT 115 PL BCP351,BCP353,7801-0188,Multiple Facilities,E2002-0337,Municipal Right of Way,Registered,0.5,2002
13,PTN NW1213,68562,1783-324,Hydrant,E1984-0230,Municipal Right of Way,Registered,0,1984
14,PTN Rem E 1/2 LT A PL 8990 (PL 78425),77713,7886-3290,Multiple Facilities,E1988-0169,Municipal Right of Way,Registered,6,1988
15,PTN LT 5 PL 52270 (LMP48846 & LMP50219),LMP47659,4899-060,Drainage,E2000-0060,Municipal Right of Way,Registered,3.6,2000
16,PTN LT 2 PL 71010,EPP75247,7816-0197-00,Multiple Facilities,E2017-0474,Municipal Right of Way,Initiated,0.5,2017
17,PTN LT 1 PL LMP21759 (LMP51807),LMP48025,7898-0170,Drainage,E2000-0369,Municipal Right of Way,Registered,5,2000
18,PTN LT 8 PL 2563,BCP11123,7803-0135,Multiple Facilities,E2004-0200,Municipal Right of Way,Registered,0,2004
19,PTN LT 2 PL 71010,EPP75247,7816-0197-00,Passage,E2017-0475,Municipal Right of Way,Initiated,3.0,2017
20,PTN LT 4 PL 14887,EPP50363,7812-0308-00,Multiple Facilities,E2015-0236,Municipal Right of Way,Registered,0.5,2015
21,PTN LT 43 PL 47946,EPP75247,7816-0197-00,Multiple Facilities,E2017-0476,Municipal Right of Way,Initiated,0.5,2017
22,PTN LT 70 PL 82280,82281,7888-0020,Multiple Facilities,E1989-0314,Municipal Right of Way,Registered,5,1989
23,PTN LT 1 PL 6992 (NW2371),60075,A163,Sanitary,E1980-0289,Municipal Right of Way,Registered,0,1981
24,PTN REM S 1/2 LAT B PL 3884,BCP12847,4802-004,Drainage,E2003-0223,Municipal Right of Way,Registered,9.7,2004
25,PTN LT B PL 86263,LMP21089,7894-0306,Multiple Facilities,E1995-0007,Municipal Right of Way,Registered,0,1995
26,PTN W 128 Ft LT 23 PL 2425 (LMS905),73180,4786-630,Sanitary,E1986-1607,Municipal Right of Way,Registered,3,1986
27,PTN LT 43 PL 47946,EPP75247,7816-0197-00,Passage,E2017-0477,Municipal Right of Way,Initiated,3.0,2017
28,PTN N 1/2 LT A PL EP7603,BCP7848,7803-0100-00,Drainage,E2003-0498,Municipal Right of Way,Registered,3.0,2003
29,PTN LT 2 BK 28 PL 3580 (PL 43269),42458,3234,Sanitary,E1972-0193,Municipal Right of Way,Registered,3.648,1972
30,PTN LT 46 PL 50492,EPP75247,7816-0197-00,Multiple Facilities,E2017-0478,Municipal Right of Way,Initiated,0.5,2017
