,COMMENTS,DATE_CONSTRUCTED,DISASTER_RESPONSE_ROUTE,FACILITYID,GREENWAY,LIFECYCLE_COST,LOCATION,MAJOR_ROAD_NETWORK,MATERIAL,NO_LANE,OWNER,PAVING_DATE,RD_CLASS,ROAD_CENTRELINE_TYPE2,ROAD_NAME,ROW_WIDTH,SPEED,STATUS,STREETSWEEPING_ROUTE,TRUCK_ROUTE,YTD_COST
0,,,None,1000980635,,,,Yes,Asphalt,1,Provincial,,Provincial Highway,Highway Interchange,,,50,Open,,Truck Routes,
1,,,None,1000980637,,,,No,Asphalt,2,Surrey,,Collector,Road,125A St,24,50,Open,,,
2,,,None,1000980645,,,,No,Asphalt,2,Surrey,,Local,Road,174 St,,50,Open,,,
3,,,None,1000980687,,,,No,Asphalt,2,Surrey,,Collector,Road,80 Ave,24,50,Open,,,
4,,,None,1000980717,,,,No,Asphalt,2,Surrey,,Local,Road,79A Ave,,50,Open,,,
5,,,None,1000980747,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
6,,,None,1000978392,,,,No,Asphalt,2,Surrey,,Local,Road,103 Ave,,50,Open,,,
7,,,None,1000978440,,,,No,Asphalt,2,Surrey,,Local,Road,90A Ave,,50,Open,,,
8,,,None,1000978460,,,,Yes,Asphalt,2,Surrey,,Arterial,Road,Scott Rd,30,50,Open,TRANSLINK - SCOTT RD EXCH,Truck Routes,
9,,,None,1000978503,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
10,,,None,1000978525,,,,No,Asphalt,2,Surrey,,Local,Road,84A Ave,,50,Open,,,
11,,20030612,None,1000978599,,,,No,Grass,1,Surrey,,Local,Access Lane,,,,Open,,,
12,,,None,1000978607,,,,No,Asphalt,2,Surrey,,Local,Road,Lark Pl,,50,Open,,,
13,,,None,1000978617,,,,No,Asphalt,2,Surrey,,Local,Road,Canary Dr,,50,Open,,,
14,,,None,1000978717,,,,No,Asphalt,2,Surrey,,Local,Road,126 St,,50,Open,,,
15,,,None,1000978819,,,,No,Asphalt,2,Surrey,,Collector,Road,80 Ave,24,50,Open,,,
16,,,None,1000978836,,,,No,Asphalt,2,Surrey,,Local,Road,130 St,,50,Open,,,
17,,,None,1000976574,,,,No,Asphalt,2,Surrey,,Arterial,Road,140 St,27,50,Open,,,
18,,,None,1000976578,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
19,,,None,1000976614,,,,No,Asphalt,2,Surrey,,Local,Road,73 Ave,,50,Open,,,
20,,,None,1000976646,,,,No,Asphalt,2,Surrey,,Collector,Road,98 Ave,24,50,Open,,,
21,,,None,1000976663,,,,No,Asphalt,2,Surrey,,Local,Road,140 St,,50,Open,,,
22,,,None,1000976686,,,,No,Asphalt,2,Surrey,,Local,Road,112 Ave,,50,Open,,,
23,,,None,1000984529,,,,No,Asphalt,2,Surrey,,Local,Road,56B Ave,,50,Open,,,
24,,20040423,None,1000984587,,,,No,Asphalt,2,Surrey,,Local,Road,129B St,,50,Open,,,
25,,,None,1000984739,,,,No,Asphalt,2,Surrey,,Collector,Road,124 St,24,50,Open,,,
26,,,None,1000984753,,,,No,Asphalt,2,Surrey,,Arterial,Road,60 Ave,30,50,Open,,,
27,,,None,1000984773,,,,No,Asphalt,2,Surrey,,Collector,Road,20 Ave,24,50,Open,,,
28,,,None,1000984800,,,,No,Asphalt,2,Surrey,,Local,Road,90 Ave,,50,Open,,,
29,,,None,1000984802,,,,No,Asphalt,2,Surrey,,Local,Road,141A St,,50,Open,,,
30,,,None,1000984835,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
31,,,None,1000984865,,,,No,Asphalt,2,Surrey,,Local,Road,156A St,,50,Open,,,
32,,,None,1000984918,,,,No,Asphalt,2,Surrey,,Local,Road,160A St,,50,Open,,,
33,,,None,1000984943,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
34,,,None,1000984950,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
35,,,None,1000984993,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
36,,,None,1000985033,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
37,,20030612,None,1000985046,,,,No,Asphalt,2,Surrey,,Collector,Road,124 St,24,50,Open,,,
38,,,None,1000984273,,,,No,Asphalt,2,Surrey,,Collector,Road,164 St,24,50,Open,,,
39,,,None,1000984274,,,,No,Asphalt,2,Surrey,,Arterial,Road,112 Ave,27,50,Open,,,
40,,20050204,None,1000984318,,,,No,Asphalt,2,Surrey,,Local,Road,164A St,,50,Open,,,
41,,,None,1000984372,,,,No,Asphalt,2,Surrey,,Local,Road,145A St,,50,Open,,,
42,,,None,1000984446,,,,No,Asphalt,2,Surrey,,Local,Road,98 Ave,,50,Open,,,
43,,,None,1000984447,,,,No,Asphalt,2,Surrey,,Local,Road,128B St,,50,Open,,,
