,CRE_DATE,MOD_DATE,ROADEDGE_TYPE,ROADEDGE_TYPE_2
0,,,8,"Paved, 2 Lane, Undivided"
1,,,12,Rough Road
2,,,8,"Paved, 2 Lane, Undivided"
3,,,4,Lane
4,,,8,"Paved, 2 Lane, Undivided"
5,,,8,"Paved, 2 Lane, Undivided"
6,,,8,"Paved, 2 Lane, Undivided"
7,,,8,"Paved, 2 Lane, Undivided"
8,,,4,Lane
9,,,8,"Paved, 2 Lane, Undivided"
10,,,10,"Paved, 4 Lane, Divided"
11,,,11,"Paved, 4 Lane, Undivided"
12,,,4,Lane
13,,,11,"Paved, 4 Lane, Undivided"
14,,,8,"Paved, 2 Lane, Undivided"
15,,,11,"Paved, 4 Lane, Undivided"
16,,,8,"Paved, 2 Lane, Undivided"
17,,,8,"Paved, 2 Lane, Undivided"
18,,,3,"Gravel, 2 Lane, Undivided"
19,,,8,"Paved, 2 Lane, Undivided"
20,,,8,"Paved, 2 Lane, Undivided"
21,,,10,"Paved, 4 Lane, Divided"
22,,,4,Lane
23,,,8,"Paved, 2 Lane, Undivided"
24,,,8,"Paved, 2 Lane, Undivided"
25,,,0,Overpass
26,,,0,Overpass
27,,,8,"Paved, 2 Lane, Undivided"
28,,,8,"Paved, 2 Lane, Undivided"
29,,,8,"Paved, 2 Lane, Undivided"
30,,,8,"Paved, 2 Lane, Undivided"
31,,,8,"Paved, 2 Lane, Undivided"
32,,,8,"Paved, 2 Lane, Undivided"
33,,,12,Rough Road
34,,,8,"Paved, 2 Lane, Undivided"
35,,,8,"Paved, 2 Lane, Undivided"
36,,,8,"Paved, 2 Lane, Undivided"
37,,,4,Lane
38,,,8,"Paved, 2 Lane, Undivided"
39,,,4,Lane
40,,,4,Lane
41,,,4,Lane
42,,,10,"Paved, 4 Lane, Divided"
43,,,8,"Paved, 2 Lane, Undivided"
44,,,8,"Paved, 2 Lane, Undivided"
45,,,8,"Paved, 2 Lane, Undivided"
46,,,12,Rough Road
47,,,12,Rough Road
48,,,4,Lane
49,,,8,"Paved, 2 Lane, Undivided"
50,,,8,"Paved, 2 Lane, Undivided"
51,,,8,"Paved, 2 Lane, Undivided"
52,,,3,"Gravel, 2 Lane, Undivided"
53,,,8,"Paved, 2 Lane, Undivided"
54,,,8,"Paved, 2 Lane, Undivided"
55,,,12,Rough Road
56,,,4,Lane
57,,,8,"Paved, 2 Lane, Undivided"
58,,,8,"Paved, 2 Lane, Undivided"
59,,,4,Lane
60,,,8,"Paved, 2 Lane, Undivided"
61,,,8,"Paved, 2 Lane, Undivided"
62,,,8,"Paved, 2 Lane, Undivided"
63,,,8,"Paved, 2 Lane, Undivided"
64,,,4,Lane
65,,,8,"Paved, 2 Lane, Undivided"
66,,,8,"Paved, 2 Lane, Undivided"
67,,,2,"Gravel, 1 Lane, Undivided"
68,,,8,"Paved, 2 Lane, Undivided"
69,,,8,"Paved, 2 Lane, Undivided"
70,,,0,Overpass
71,,,12,Rough Road
72,,,8,"Paved, 2 Lane, Undivided"
73,,,8,"Paved, 2 Lane, Undivided"
74,,,8,"Paved, 2 Lane, Undivided"
75,,,10,"Paved, 4 Lane, Divided"
76,,,8,"Paved, 2 Lane, Undivided"
77,,,8,"Paved, 2 Lane, Undivided"
78,,,8,"Paved, 2 Lane, Undivided"
79,,,8,"Paved, 2 Lane, Undivided"
80,,,8,"Paved, 2 Lane, Undivided"
81,,,8,"Paved, 2 Lane, Undivided"
82,,,10,"Paved, 4 Lane, Divided"
83,,,8,"Paved, 2 Lane, Undivided"
84,,,11,"Paved, 4 Lane, Undivided"
85,,,12,Rough Road
86,,,10,"Paved, 4 Lane, Divided"
87,,,8,"Paved, 2 Lane, Undivided"
88,,,12,Rough Road
