,ACCESSIBILITY,COMMENTS,CRE_DATE,MATERIAL,MOD_DATE,ROAD_CLASS,WEBLINK
0,Closed to Traffic,,20120822,Concrete,20170821,Arterial,
1,Closed to Traffic,,20170821,Concrete,20170821,Ramp,
2,Open,,20121219,Asphalt,,,
3,Open,,20121219,Asphalt,20180622,Collector,
4,Open,,20120822,Asphalt,,,
5,Open,Overpass,20140318,Concrete,20160114,Local,
6,Open,,20121220,Asphalt,20160722,,
7,Open,,20121220,Asphalt,20140409,,
8,Open,,20140603,Asphalt,20121001,,
9,Open,,20140704,Asphalt,20170802,,
10,Open,,20140704,Asphalt,20170802,,
11,Open,,20121211,Asphalt,20121102,Lane,
12,Open,,20121211,Asphalt,20121102,Local,
13,,,20170320,,20170320,,
14,Open,,20121211,Asphalt,20121102,Local,
15,Open,,20121211,Asphalt,20121102,Local,
16,Open,,20121001,Gravel,20121001,Lane,
17,Open,,20121211,Asphalt,20150605,Local,
18,Open,,20121001,Asphalt,20150415,Local,
19,Open,,20121211,Asphalt,20180123,Local,
20,,,20150415,,20150825,Local,
21,,,20170320,,,,
22,,,20170321,,20170321,,
23,,,20150818,,20150818,Other,
24,,,20150814,,20150818,Other,
25,Open,,20121211,Asphalt,20170124,Collector,
26,Open,,20120822,Asphalt,,,
27,,Strata,20150825,,20150825,Other,
28,Open,,20151221,Asphalt,20151221,,
29,,,20150904,,20151009,Local,
30,Open,,20131203,,20180329,,
31,,,20120822,Asphalt,20150818,Other,
32,,,20121211,Asphalt,20150818,Other,
33,,,20170322,,20170322,,
34,,,20170322,,,,
35,,,20121220,,20131203,,
36,,,20170321,,,,
37,,,20121220,,20160920,,
38,,,20151125,,20151125,,
39,Open,,20120822,Asphalt,,,
40,Open,Strata,20140821,Asphalt,20140822,Other,
41,Open,Strata,20140821,Asphalt,20160122,Other,
42,Open,Strata,20140821,Asphalt,20140822,Other,
43,,,20131203,,20170731,,
44,,,20121219,,20130801,,
45,Open,,20130731,,20150618,,
46,,,20170614,,20170614,,
47,,,20121219,,20170118,,
48,Open,Strata,20140821,Asphalt,20140822,Other,
49,,,20121219,,20131203,,
50,,,20130424,,20130424,,
51,Open,,20121219,Asphalt,20161108,,
52,Open,,20121219,Asphalt,,,
53,,,20121219,,20121102,,
54,Open,,20120822,Asphalt,20160113,Arterial,
55,Open,,20120822,Asphalt,20170123,Arterial,
56,Open,,20121107,Asphalt,,Lane,
57,,Overpass,20140121,,20150504,Ramp,
58,Open,,20121107,Asphalt,20160927,Collector,
59,Open,,20130708,Asphalt,20170524,Local,
60,Open,,20120822,Asphalt,20160928,Arterial,
61,Open,,20120822,Asphalt,20170524,Arterial,
62,Open,,20121220,Asphalt,20160111,,
63,,,20170315,,,,
64,,,20121220,,20160722,,
65,,,20151126,,20151126,Other,
66,,,20121220,,20160118,,
67,,,20131203,,20160118,,
68,Open,,20121211,Gravel,20121102,Lane,
69,Open,,20120822,Asphalt,,,
70,Open,,20121211,Asphalt,20121102,Lane,
71,Open,,20121001,Asphalt,20130712,Local,
72,,,20170320,,,,
73,Open,,20131203,Asphalt,20180507,Local,
74,,,20121220,,20170124,,
75,,,20170320,,,,
76,,,20121220,,20161124,,
77,,,20140505,,,,
78,,,20170605,,20171027,,
79,,,20170320,,,,
80,Open,,20120822,Asphalt,,,
81,,,20121220,,20150217,,
82,,,20131203,,20180417,,
83,Open,,20131203,,20131203,,
84,Open,,20121219,,20170927,,
85,,,20131203,,20161209,,
86,Open,Strata,20140821,Asphalt,20140822,Other,
87,,,20170927,,20170927,Other,
88,Open,,20131203,,20160909,,
89,Open,,20121219,,20131203,,
90,Open,,20121219,,20130708,,
91,Open,,20121219,,20131203,,
92,Open,,20121219,,20130708,,
93,Open,,20131203,,20180629,,
