,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,20140730,Amended From Buffers to Service Commercial,RES.R14-1373,20140730,,,,7906-0484-00,Service Commercial,20140730,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
1,, , ,,,,, ,Live & Work or Business Park Areas,20160617,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
2,, , ,,,,, ,Business Park,20160617,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
3,20110912,Amendment From Storm Water Detention Pond (amenity feature privately-owned) to Live & Work or Business Park Areas   7910-0175-00 Ron Gill,RES.R11-1516,,,,,7910-0175-00,Live & Work or Business Park Areas,20130322,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
4,, , ,,,,, ,Buffers,,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
5,20120725,Amend From Storm Water Detention Pond (amenity feature City-Owned) to Business Park,RES. R12-1409,,,,,7911-0327-00,Business Park,20130322,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
6,, , ,,,,, ,Buffers,20160617,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
7,, , ,,,,, ,Buffers,20130322,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
8,, , ,,,,, ,Buffers,20140730,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
9,20110912,Amendment From Buffers to Live & Work or Business Park Areas   7910-0175-00 Ron Gill,RES.R11-1516,,,,,7910-0175-00,Live & Work or Business Park Areas,20121218,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
10,20150202,Amended from Buffer to Business Park, ,20130322,,,,7911-0187-00,Business Park,20150205,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
11,, , ,,,,, ,Live & Work or Business Park Areas,20160617,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
12,, , ,,,,, ,Storm Water Detention Pond (amenity feature privately-owned),20130322,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
13,, , ,20140730,,,, ,Buffers,20140730,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
14,20140730,Amended From Business Park to Service Commercial,RES.R14-1373,20140730,,,,7906-0484-00,Service Commercial,20140730,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
15,, , ,,,,, ,Business Park,20140730,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
16,, , ,20130322,,,, ,Creek Preservation Areas,20130322,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
17,20120725,Amend from Buffers to Business Park,RES. R12-1409,,,,,7911-0327-00,Business Park,20130322,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
18,, , ,,,,, ,Creek Preservation Areas,20160617,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
19,20150202,Amended from Storm Water Detention Pond (amenity feature City-Owned) to Business Park, ,20130322,,,,7911-0187-00,Business Park,20150205,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
20,, , ,,,,, ,Business Park,20130322,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
21,, , ,,,,, ,Creek Preservation Areas,20160617,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
22,, , ,20130322,,,, ,Live & Work or Business Park Areas,20130322,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
