,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,19000101,Boundary Adjustment,,20170511,,,,7906-0213-00,Cluster Housing,20170511,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
1,,Boundary Adjustment, ,20170511,,,,7906-0213-00,Preservation Area/Open Space,20170511,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
2,20110509,Amendment from Cluster Single Family Residential to Garden Apartment ,R11-740,,25,,UPA,7910-0014-00,Garden Apartments,20131113,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
3,, , ,,,,, ,Pond,,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
4,20120206,NCP Amendment Refer to 7911-0241-00 Ron Gill,RES.R12-273,20120913,,,,7911-0241-00,Townhouse (30 upa max),20121218,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
5,,Amended From Townhouse to Single Family Small Lots, ,20170511,,,, ,Single Family Small Lots,20170511,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
6,, , ,,,,, ,Cluster Housing,,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
7,20170315,Amended From Cluster Housing to Preservation Area/Open Space, ,20170320,,,,7914-0018-00,Preservation Area/Open Space,20170511,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
8,,Boundary Adjustment, ,20170511,,,,7906-0213-00,Preservation Area/Open Space,20170511,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
9,20120206,NCP Amendment Refer to 7911-0241-00 Ron Gill,RES.R12-273,20120913,,,,7911-0241-00,Apartments (4-storey max),20121218,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
10,20010507,Rezone  from RS to CD (B/L-12000); NCP from Townhouse to Single Family Residential Lots,R02-1725,,,,,00-0232-00,Single Family Small Lots,,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
11,,Rezone from RS to CD (B/L-12000); NCP from Townhouse to Single Family Residential Small Lots & from Cluster Housing to Townhouse or Cluster Housing, ,,,,, ,Cluster Housing,,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
12,20020325,Rezone from RA to CD (B/L-12000); NCP from Townhouses & Cluster Housing to Single Family Rsidential Small Lots,R03-1928,,,,,01-0203-00,Single Family Small Lots,,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
13,, , ,,,,, ,Preservation Area/Open Space,,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
14,20120206,NCP Amendment Refer to 7911-0241-00 Ron Gill,RES.R12-273,,,,,7911-0241-00,Apartments (4-storey max),20121218,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
15,,Boundary Adjustment, ,20170511,,,,7906-0213-00,Preservation Area/Open Space,20170511,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
16,20120206,NCP Amendment Refer to 7911-0241-00 Ron Gill,RES.R12-273,20120913,,,,7911-0241-00,Apartments (6-storey max),20121218,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
17,20010507,Rezone from RS to CD (B/L-12000); NCP from Townhouse to Single Family Residential Small Lots & from Cluster Housing to Townhouse or Cluster Housing,R03-1302,,,,,00-0233-00,Single Family Small Lots,,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
18,20120206,NCP Amendment Refer to 7911-0241-00 Ron Gill,RES.R12-273,20120913,,,,7911-0241-00,Indoor / Outdoor Amenity Space,20121218,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
19,,Amended From Townhouse to Single Family Small Lots, ,,,,, ,Single Family Small Lots,20170511,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
20,,Amended From Townhouse to Single Family Small Lots, ,20170511,,,, ,Single Family Small Lots,20170511,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
21,,Amended From Townhouse to Single Family Small Lots, ,,,,, ,Single Family Small Lots,20170511,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
22,, , ,,,,, ,Cluster Housing,20170511,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
23,, , ,20120913,,,, ,Preservation Area/Open Space,20170511,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
24,, , ,20120913,,,, ,Preservation Area/Open Space,20120913,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
25,20031027,Rezone from RS & RA to RF-12 (B/L-12000); NCP from Preservation Area/Open Space & Cluster Housing to Single Family Small Lots,R04-1941,,,,,03-0126-00,Single Family Small Lots,,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
26,19000101,,,,,,,,Preservation Area/Open Space,20170511,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
27,19000101,Boundary Adjustment,,20170511,,,,7906-0213-00,Cluster Housing,20170511,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
28,20170315,Amended From Townhouse to Preservation Area/Open Space, ,20170320,,,,7914-0018-00,Preservation Area/Open Space,20170511,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
29,, , ,20170511,,,, ,Cluster Housing,,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
30,20030707,Rezone from RA to RF-12 (B/L-12000); NCP from Townhouse to Single Family Small Lots,R04-130,,,,,03-0130-00,Single Family Small Lots,,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
31,, , ,,,,, ,Garden Apartments,,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
32,, , ,,,,, ,Preservation Area/Open Space,20131113,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
33,20040705,Rezone from RA & RS to RF-12 (B/L-12000); NCP from Townhouse to Single Family Lots,R05-700,,,,,03-0219-00,Single Family Small Lots,,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
34,20010507,Rezone from RS to CD (B/L-12000); NCP from Townhouses & Cluster Housing to Single Family Residential Small Lots,R03-1930,,,,,00-0234-00,Single Family Small Lots,,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
35,19000101,Boundary Adjustment,,20170511,,,,7906-0213-00,Cluster Housing,20170511,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
36,20120206,NCP Amendment Refer to 7911-0241-00 Ron Gill,RES.R12-273,20120913,,,,7911-0241-00,Apartments (6-storey max),20121218,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
