,CRE_DATE,MOD_DATE,NAME,STATUS,STATUS2
0,,20110110,N17,0,Existing
1,,20110110,N18,0,Existing
2,,20110110,N22,0,Existing
3,,,N58,0,Existing
4,,,N57,0,Existing
5,,,N06,0,Existing
6,,,N47,0,Existing
7,,,N16,0,Existing
8,,,N05,0,Existing
9,,,N04,0,Existing
10,,,S05,0,Existing
11,,,S02,0,Existing
12,,,N12,0,Existing
13,,,N52,0,Existing
14,,,N08,0,Existing
15,,,N21,0,Existing
16,,,N07,0,Existing
17,,,N29,0,Existing
18,,,N15,0,Existing
19,,,N13,0,Existing
20,,,N14,0,Existing
21,,,N55,0,Existing
22,,,N20,0,Existing
23,,,N03,0,Existing
24,,,N32,0,Existing
25,,,N48,0,Existing
26,,,N31,0,Existing
27,,20090721,N39,0,Existing
28,,,N53,0,Existing
29,,,N33,0,Existing
30,,,N51,0,Existing
31,,,S03,0,Existing
32,,,N56,0,Existing
33,,,N09,0,Existing
34,,,N09,0,Existing
35,,,N30,0,Existing
36,,,N46,0,Existing
37,,,N25,0,Existing
38,,,N10,0,Existing
39,,,N19,0,Existing
40,,,N23,0,Existing
41,,,S21,0,Existing
42,,,S07,0,Existing
43,,,S04,0,Existing
44,,,S06,0,Existing
45,,,S04,0,Existing
46,,,S08,0,Existing
47,,,N27,0,Existing
48,,,N26,0,Existing
49,,,N37,0,Existing
50,,,N45,0,Existing
51,,,N54,0,Existing
52,,,S20,0,Existing
53,,,N24,0,Existing
54,,20080612,N42,0,Existing
55,,20080612,N01,0,Existing
56,,20080612,N02,0,Existing
57,20090721,20090721,S27B,0,Existing
58,20090721,20090721,S27A,0,Existing
59,,20110111,N49,0,Existing
60,,20110111,N50,0,Existing
61,,20110713,S01A,0,Existing
62,20110713,20110713,S01B,0,Existing
63,,20160603,N11B,0,Existing
64,20120404,20160603,N11A,0,Existing
65,20120706,20120706,S27E,0,Existing
66,20090721,20120706,S27D,0,Existing
67,20090721,20120706,S27C,0,Existing
68,20120706,20120706,S29C,0,Existing
69,20120706,20120629,S25A,0,Existing
70,20120706,20120706,S29A,0,Existing
71,20120706,20120706,S29B,0,Existing
72,,20120706,N60,0,Existing
73,,20120706,N38,0,Existing
74,,20120706,S23,0,Existing
75,20140730,20140730,N34,0,Existing
76,,20140731,N35,0,Existing
77,20140730,20150204,N28,0,Existing
78,20140730,20150204,N36,0,Existing
79,20090721,20150428,S25B,0,Existing
80,,20150428,S28,0,Existing
81,20120706,20150428,S30,0,Existing
82,,20150909,S09,0,Existing
83,,20150909,S13,0,Existing
84,,20150909,S12,0,Existing
85,,20150909,S04,0,Existing
86,20150909,20150909,S16,0,Existing
87,,20150909,S16,0,Existing
88,,20150909,S19,0,Existing
89,20150909,,,0,Existing
90,,20150909,S17,0,Existing
91,,20150910,S14,0,Existing
92,,20150910,S11,0,Existing
93,,20150910,S15,0,Existing
94,,20150910,S22,0,Existing
