,ANCILLARYROLE,ENABLED,FACILITYID,LEGACYID,NODE_NO,STATUS,PROJECT_NO,YR,OWNER,NAME,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CAPACITY,CONTRACTOR_ID,RUPTURE_DISK,MAX_DISCHARGE_PUMPS,CRE_DATE,MOD_DATE,Latitude,Longitude
0,0,0,1000075209,25481,1471903526,Abandoned,7800-0232-00,2003,Surrey,WINTER CRESCENT SS,14718 WINTER CR,,Final AB,,,,,,,,,,20040723,20180105,49.066768,-122.814478
1,0,1,1000075218,24480,1254011416,Abandoned,4515,,Surrey,BRIDGEVIEW WEST VS,11390 125A ST,,Final AB,,,,,,,,,,20031210,20180312,49.209624,-122.874113
2,0,0,1001862202,,1271411432,In Service,4714-5340-00,,Surrey,114 AVE SS,12729 114 AVE,,EC,,,,,,,,,,20160229,20180312,49.209914,-122.869307
3,0,0,1001886575,,1598702861,In Service,4706-4530-00,2017,Surrey,WILLS BROOK ODOUR CONTROL,2906 160 ST,MS 4716-001-11,EC,,,,,,,,,,20160811,20180322,49.054674,-122.779607
4,0,1,1001862201,,1429007877,In Service,4713-4060-00,2016,Surrey,143A ST SS,7866 143A ST,,Initial AB,,,,,,,,,,20170504,20170915,49.145533,-122.826013
5,0,1,1000075199,24486,1323711616,Abandoned,4170,,Surrey,LOUGHEED I SS (old),11585 132A ST,,Final AB,,,,,,,,,,20031210,20170915,49.213214,-122.854853
6,0,1,1001422520,,1416507963,In Service,4704-6090-00,2014,Surrey,141B ST SS,79A 141B ST,,Initial AB,,New,,,,,,,,20160531,20170918,49.147089,-122.829459
7,0,1,1001578405,,1272311302,In Service,4709-5070-00,2014,Surrey,112B AVE SS,12740 112B AVE,,Final AB,,New,,,,,,,,20130305,20170918,49.207560,-122.869077
8,0,0,1001886623,,1679501400,In Service,4706-4530-00,,Surrey,FERGUS SS,1451 168 ST,,EC,,,,,,,,,,20160812,20170616,49.028198,-122.757482
9,0,1,1000075184,22412,1288711204,In Service,7893-0224-00,2000,Private,PRIVATE SS,12918 112 AVE,SEE ALSO S-011-109,Final AB,,,,,,,,,,20011221,20170413,49.205775,-122.864552
10,0,1,1001196409,,1252211422,In Service,4706-4520-00,2012,Surrey,LIVERPOOL SS,12540 114 AVE,,Final AB,,,,,,,,,,20110428,20171222,49.209739,-122.874604
11,0,1,1000075185,22777,1226511061,In Service,4514,2002,Surrey,REVELSTOKE SS,123 ST & 110 AVE,,Final AB,,,,,,,,,,20020508,20170413,49.203214,-122.881733
12,0,1,1000075186,22778,1202410687,In Service,4516,2002,Surrey,SOUTH WESTMINSTER VS,10643 SPAN RD,,Final AB,,,,,,,,,,20020508,20170413,49.196456,-122.888405
13,0,1,1000075188,24501,1215306959,In Service,4703-1180-00,2006,Surrey,WEST NEWTON SS,6909 122 ST,,Final AB,,,,,,,,,,20031210,20170413,49.128989,-122.884979
14,0,1,1000075187,36,1611510388,Abandoned,4469-R,1977,Surrey,Decommissioned 2,,"SEE S-025-048, 4703-1510-00, JUNE 2004",Final AB,,,,,,,,,,19860121,20120119,49.098983,-122.871253
