,VALVE_TYPE,VALVE_TYPE2,FACILITYID,LEGACYID,NODE_NO,VALVE_SIZE,MATERIAL,INVERT,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,YTD_COST,LIFECYCLE_COST,CONDITION,CONDITIONDATE,FLOW_WEIR,LAST_INSP_DATE,INSTALL_DATE,MAKE,MODEL,MANUFACTURER,VENDOR,I_I_SOURCE,I_I_QUANTITY,CONDITION_NOTATION,CRE_DATE,MOD_DATE,ENABLED,Latitude,Longitude
0,3,Gate,1000141251,25922,1496107682,200,Ductile Iron,,In Service,7803-0178-00,2004,Surrey,,,Final AB,,,,,,,,,,,,,,,,20041102,,1,49.141966,-122.807500
1,3,Gate,1000141255,26176,1648409288,100,Clay Tile,18.28,In Service,7800-0161-00,2004,Surrey,,CHECK VALVE,Final AB,,,,,,,,,,,,,,,,20050222,,1,49.170957,-122.765358
2,3,Gate,1000141257,24880,1511806926,200,Ductile Iron,,In Service,7801-0235-00,2004,Surrey,,,Final AB,,,,,,,,,,,,,,,,20040415,,1,49.128275,-122.803241
3,3,Gate,1000141259,22624,1288611459,150,Ductile Iron,1.5,In Service,1794-308,2000,Surrey,,,Final AB,,,,,,,,,,,,,,,,20020201,,1,49.210397,-122.864542
4,3,Gate,1000141260,24564,1735005582,300,Ductile Iron,-1.25,In Service,4896-401,1998,Surrey,,,Final AB,,,,,,,,,,,,,,,,20040126,,1,49.103821,-122.741813
5,2,Expansion Joint,1001699747,,1213111375,75,,,In Service,4711-9020-00,2013,Surrey,,EBAA EX-TEND 200,Final AB,,,,,,,,,,,,,,,,20130827,20130827,1,49.208908,-122.885414
6,3,Gate,1000141264,25239,1295711310,150,Clay Tile,100,In Service,,,Surrey,,AS PER OPERATIONS,,,,,,,,,,,,,,,,,20040528,,1,49.207702,-122.862606
7,3,Gate,1000141265,23150,1718708698,150,PVC Plastic,,In Service,4701-501,2002,Surrey,,FLUSH POINT AND VALVE,Final AB,,,,,,,,,,,,,,,,20021007,,1,49.160236,-122.746009
8,3,Gate,1000141266,23151,1718708697,150,Ductile Iron,,In Service,4701-501,2002,Surrey,,FLOW METER AND VALVES,Final AB,,,,,,,,,,,,,,,,20021007,,1,49.160206,-122.746010
9,2,Expansion Joint,1001161120,,1838804499,500,,0.25,In Service,4707-2040-00,2009,Surrey,,,Final AB,,,,,,,,,,,,,,,,20100520,20101221,1,49.084165,-122.713323
10,2,Expansion Joint,1001699748,,1213311373,75,,,In Service,4711-9020-00,2013,Surrey,,EBAA EX-TEND 200,Final AB,,,,,,,,,,,,,,,,20130827,20130827,1,49.208871,-122.885353
11,3,Gate,1001185463,,1794705300,75,Ductile Iron,,In Service,4709-4010-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110105,20110105,1,49.098696,-122.725388
12,3,Gate,1001160925,,1901903972,500,Ductile Iron,31.1,In Service,4707-2040-00,2009,Surrey,,,Final AB,,,,,,,,,,,,,,,,20100519,20101220,1,49.074594,-122.695991
13,2,Expansion Joint,1001161121,,1838904499,600,,0.25,In Service,4707-2040-00,2009,Surrey,,,Final AB,,,,,,,,,,,,,,,,20100520,20101221,1,49.084165,-122.713304
14,3,Gate,1001185464,,1799505289,75,Ductile Iron,,In Service,4709-4010-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110105,20110105,1,49.098487,-122.724067
15,3,Gate,1001161245,,1840405200,600,Ductile Iron,4.52,In Service,4707-2040-00,2009,Surrey,,,Final AB,,,,,,,,,,,,,,,,20100520,20101221,1,49.096866,-122.712820
16,3,Gate,1001185488,,1800205343,75,Ductile Iron,2.04,In Service,4709-4010-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110105,20110105,1,49.099476,-122.723863
17,2,Expansion Joint,1001699744,,1224211385,100,,,In Service,4711-9020-00,2013,Surrey,,EEBAA EX-TEND 200,Final AB,,,,,,,,,,,,,,,,20130827,20130827,1,49.209085,-122.882353
