,ACCESSIBILITY,ACCESSIBILITY_DETAILS,ARCHITECT,BARCODE,BCH_METER_NUMBER,BC_HYDRO_ACCOUNT_NO,BUILDING_ADDITION,BUILDING_APPRAISAL,BUILDING_INSERVICE_COST,CARETAKER_NAME,CIVIC_FACILITY,COMMENTS,CONTACT_PERSON,CONTACT_PERSON_PHONE_NO,DESCRIPTION,ELECTRICAL_CONTRACTOR,FACILITYID,FACILITY_SERVICE_CLASS,FACILITY_SUBTYPE,FACILITY_TYPE,FLOOR_LEVELS,GAS_MAIN_SHUT_OFF_LOCATIONS,GENERAL_CONTRACTOR,HANDICAPPED_ACCESSIBLE,HOUSE_NO,INSERVICE_DATE,LEGAL_LOT_DESCRIPTION,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MECHANICAL_CONTRACTOR,MODEL,NAME,NATURAL_GAS_ACCOUNT_NO,NO_OF_PARKING_SPACES,OPERATING_HOURS,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OTHER_MAIN_SHUT_OFF_LOCATIONS,PARKING_LEVELS,PARK_LEGACY_ID,PARK_OWNERSHIP,POWER_MAIN_SHUT_OFF_LOCATIONS,PSAB_APPRAISAL_COST,PSAB_APPRAISAL_DATE,ROAD_CODE,SERIAL_NO,SQ_FOOTAGE,STATUS,STATUS_DATE,STATUS_PARKS,STRUCTURES_INSPECTION_ROUTE,USE,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WATER_MAIN_SHUT_OFF_LOCATIONS,WEBLINK,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
0,,,,,,,,,,,No,,,,,,1001251063,,Elementary,School,,,,,11665,,,11665 97 AVE,,,019,,,Royal Heights Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/royalheights/Pages/default.aspx,,
1,,,,,,,,,,,No,,,,,,1001328540,,Elementary,School,,,,,12550,,,12550 20 AVE,,,120,,,Ocean Cliff Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/oceancliff/Pages/default.aspx,,
2,,,,,,,,,,,No,,,,,,1001245530,,Secondary,School,,,,,12600,,,12600 66 AVE,,,060,,,Tamanawis Secondary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/tamanawis/Pages/default.aspx,,
3,,,,,,,,,,,No,,,,,,1001273958,,Elementary,School,,,,,13367,,,13367 97 AVE,,,021,,,A.H.P. Matthew Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/ahpmatthew/Pages/default.aspx,,
4,,,,,,,,,,,No,,,,,,1001319711,,Elementary,School,,,,,14250,,,14250 100A AVE,,,022,,,Lena Shaw Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/lenashaw/Pages/default.aspx,,
5,,,,,,,,,,,No,,,,,,1001346446,,Elementary,School,,,,,8824,,,8824 144 ST,,,033,,,Green Timbers Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/greentimbers/Pages/default.aspx,,
6,,,,,,,,,,,No,,,,,,1001254241,,Private,School,,,,,14590,,,14590 116A AVE,,,003,,,Iqra Islamic School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.iqraschool.com,,
7,,,,,,,,,,,No,,,,,,1001349095,,Elementary,School,,,,,9025 ,,,9025  158 ST ,,,034,,,Woodland Park Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/woodlandpark/Pages/default.aspx,,
8,,,,,,,,,,,No,,,,,,1001339482,,Secondary,School,,,,,15945,,,15945 96 AVE,,,024,,,North Surrey Secondary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/northsurreysecondary/Pages/default.aspx,,
9,,,,,,,,,,,No,,,,,,1001247732,,Secondary,School,,,,,16060,,,16060 108 ST,,,015,,,Fraser Heights Secondary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/fraserheights/Pages/default.aspx,,
