,CRE_DATE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
1,,20120124,Orchard Grove,Approved,Neighbourhood Concept Plan,2012
2,,,East Newton North,Approved,Neighbourhood Concept Plan,1996
3,,,East Newton Business Park,Approved,Neighbourhood Concept Plan,1999
4,,,West Cloverdale North,Approved,Neighbourhood Concept Plan,1997
5,,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
6,,,Rosemary Heights West,Approved,Neighbourhood Concept Plan,1998
7,,,Rosemary Heights Business Park,Approved,Neighbourhood Concept Plan,2000
8,,,Douglas,Approved,Neighbourhood Concept Plan,1999
9,,,Rosemary Heights Central,Approved,Neighbourhood Concept Plan,1996
10,,,Campbell Heights,Approved,Local Area Plan,2000
11,,,East Newton South,Approved,Neighbourhood Concept Plan,1997
12,,,South Newton,Approved,Neighbourhood Concept Plan,1999
13,,,East Panorama Ridge,Approved,Neighbourhood Concept Plan,2002
14,,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
15,,,West Newton North,Approved,Neighbourhood Concept Plan,1996
16,,20170120,City Centre,Approved,CIty Centre Plan,2017
17,,,Highway 99 Corridor,Approved,Local Area Plan,2004
18,,20171016,Semiahmoo Town Centre,Approved,Town Centre Plan,1992
19,,20171016,Fleetwood Town Centre,Approved,Town Centre Plan,2000
20,,,Clayton,Approved,General Land Use Plan,1998
21,,,Grandview Heights,Approved,General Land Use Plan,2005
22,,,Newton Town Centre,Approved,Town Centre Plan,1990
23,,,Crescent Beach,Approved,Local Area Plan,1999
24,,,South Westminster,Approved,Neighbourhood Concept Plan,2003
25,,20120125,East Clayton,Approved,Neighbourhood Concept Plan,2003
26,,20120329,South Port Kells,Approved,General Land Use Plan,2005
27,,20120727,North Cloverdale East,Approved,Neighbourhood Concept Plan,1994
28,20130319,20130319,Fleetwood Enclave,Approved,Neighbourhood Concept Plan,2013
29,20130729,20171221,South Westminster Heights Infill Area,Approved,Neighbourhood Concept Plan,2013
30,,20131029,North Grandview Heights,Approved,Neighbourhood Concept Plan,2005
31,,20131029,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
32,,20131029,Morgan Heights,Approved,Neighbourhood Concept Plan,2005
33,,20131029,East Clayton Extension West of 188 St,Approved,Neighbourhood Concept Plan,2005
34,,20131029,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
35,,20131029,West Newton South,Approved,Neighbourhood Concept Plan,1995
36,20131030,20171221,Aloha Estates,Approved,Neighbourhood Concept Plan,2013
37,20140423,20171221,East Clayton Transit Oriented Area,Approved,Neighbourhood Concept Plan,2014
38,,20140828,Cloverdale Town Centre,Approved,Town Centre Plan,2000
39,20150206,20150206,Central Semiahmoo Peninsula,Approved,Local Area Plan,1993
40,20150206,20150206,Ocean Park,Approved,Local Area Plan,1991
41,,20171221,King George Corridor,Approved,Neighbourhood Concept Plan,1995
42,20150206,20150428,West Panorama Ridge,Approved,Local Area Plan 1986,1986
43,20160121,20170207,Abbey Ridge,Approved,Local Area Plan,2017
44,20150522,20180403,West Clayton,Approved,Neighbourhood Concept Plan,2015
45,,20180403,East Clayton Extension North of 72 Ave,Approved,Neighbourhood Concept Plan,2005
