,CRE_DATE,ID,MOD_DATE,SCHOOL_CATCHMENT_TYPE,SCHOOL_CATCHMENT_TYPE_2,SCHOOL_NAME,WEB_LINK
0,20130118,,20130122,1,Secondary,Guildford Park,
1,20130118,,20131129,1,Secondary,Panorama Ridge,
2,20130118,,20151204,1,Secondary,Semiahmoo,
3,20130118,,20130122,1,Secondary,Frank Hurt,
4,20130118,,20151204,1,Secondary,Earl Marriott,
5,20130118,,20130122,1,Secondary,Fraser Heights,
6,20130118,,20171127,1,Secondary,Lord Tweedsmuir,
7,20130118,,20130122,1,Secondary,North Surrey,
8,20130118,,20150113,1,Secondary,L.A. Matheson,
9,20130118,,20130122,1,Secondary,Princess Margaret,
10,20130118,,20131129,1,Secondary,Sullivan Heights,
11,20130118,,20130122,1,Secondary,Johnston Heights,
12,20130118,,20130122,1,Secondary,Fleetwood Park,
13,20171127,,20171127,1,Secondary,Clayton Heights,
14,20130118,,20150113,1,Secondary,Kwantlen Park,
15,20130118,,20130122,1,Secondary,Enver Creek,
16,20130118,,20130122,1,Secondary,Elgin Park,
17,20130118,,20171127,1,Secondary,Salish,
18,20130118,,20130122,1,Secondary,Tamanawis,
19,20130118,,20130122,1,Secondary,Queen Elizabeth,
