,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,,, ,20160203,,,,,Urban,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
1,,, ,20160203,,,,,Multiple Residential,20160203,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
2,,,,20160203,,,,,Town Centre,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
3,,,,20160203,,,,,Town Centre,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
4,,, ,20160203,,,,,Multiple Residential,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
5,,,,20160203,,,,,Town Centre,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
6,,,,20160203,,,,,Town Centre,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
7,,, ,20160203,,,,,Multiple Residential,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
8,,, ,20160203,,,,,Multiple Residential,20160203,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
9,,,,20160203,,,,,Multiple Residential,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
10,,,,20160203,,,,,Town Centre,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
11,,,,20160203,,,,,Town Centre,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
12,,,,20160203,,,,,Town Centre,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
13,,,,20160203,,,,,Town Centre,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
14,,, ,20160203,,,,,Multiple Residential,20160203,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
15,,, ,20160203,,,,,Commercial,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
16,,,,20160203,,,,,Town Centre,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
17,,, ,20160203,,,,,Town Centre,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
18,,,,20160203,,,,,Town Centre,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
19,,,,20160203,,,,,Town Centre,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
20,,, ,20160203,,,,,Multiple Residential,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
21,,,,20160203,,,,,Town Centre,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
22,,,,20160203,,,,,Town Centre,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
23,,,,20160203,,,,,Town Centre,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
24,,,,20160203,,,,,Town Centre,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
25,,,,20160203,,,,,Town Centre,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
26,,, ,20160203,,,,,Multiple Residential,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
27,,, ,20160203,,,,,Multiple Residential,20160204,Semiahmoo Town Centre,Approved,Town Centre Plan,2009
