,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESIGNATION,FACILITYID,GIS_ENTRY_STAGE,GREENWAY,LEGACYID,LIFECYCLE_COST,LOCATION,MATERIAL,MOD_DATE,OWNER,PROJECT_NO,STATUS,WARRANTYDATE,WIDTH,YR,YTD_COST
0,,,,20171004,Residential,1001949481,,No,1001071873,0,,Concrete,20180306,Surrey,,In Service,,1.5,1995,0
1,,,,20171006,Residential,1001950342,,No,1001061374,0,,Concrete,20180306,Surrey,,In Service,,1.5,1986,0
2,,,,20170626,Residential,1001937398,,No,1001061374,0,,Concrete,20180306,Surrey,,In Service,,1.5,1990,0
3,DIgitized Via 2016 Air Photo,,,20170626,Residential,1001937401,,No,1001067463,0,,Concrete,20180306,Surrey,,In Service,,1.5,2003,0
4,,,,20171006,Residential,1001950344,,No,1001071605,0,,Concrete,20180306,Surrey,,In Service,,1.5,1973,0
5,,,,20180306,Residential,1001988518,,No,,,,Asphalt,20180306,Surrey,,In Service,,1.5,,
6,,,20180321,20160216,Residential,1001859656,Final AB,No,,,Arterial,Concrete,20180322,Surrey,3805-6080-00,In Service,,1.5,2007,
7,,,20180320,20160516,Residential,1001877513,,No,1001060836,0,Arterial,Concrete,20180322,Surrey,,In Service,,1.5,1994,0
8,,,20180321,20161208,Residential,1001899479,EC,No,,,,Concrete,20180322,Surrey,7816-0244-00,Proposed,,1.7999999523162842,1995,
9,,,,20170626,Residential,1001937402,,No,1001062399,0,,,20180306,Surrey,,In Service,,,1992,0
10,,,,20170626,Residential,1001937403,,No,1001074326,0,,,20180306,Surrey,,In Service,,,1979,0
11,,,,,Commercial,1001073412,Final AB,No,,,,Concrete,20180419,Surrey,,In Service,,1.5,2001,
12,,,,20170626,Residential,1001937412,,No,1001072780,0,,Concrete,20180306,Surrey,,In Service,,1.7999999523162842,1990,0
13,,,,20170626,Residential,1001937424,,No,1001066165,0,,,20180306,Surrey,,In Service,,,1986,0
14,,,,20170626,Residential,1001937425,,No,1001068092,0,,Concrete,20180306,Surrey,,In Service,,,2003,0
15,,,,20170831,Residential,1001944931,,No,,0,,Concrete,20180306,Surrey,,In Service,,1.5,1973,0
16,,,,20170831,Residential,1001944947,,No,,0,Collector,Concrete,20180306,Surrey,,In Service,,1.5,1975,0
17,,,,20170831,Residential,1001945321,,,,0,Arterial,Asphalt,20180306,Surrey,,In Service,,1,1988,0
18,,,,20170831,City Facility,1001945699,,,,,Arterial,Asphalt,20180306,Surrey,,In Service,,1,1988,
19,Digitized from 2014 Ortho photos,,,,Residential,1001061566,,No,,,,,20180419,Surrey,,In Service,,,2004,
20,Digitized from 2014 Ortho photos,,,,Residential,1001070211,,No,,,,,20180419,Surrey,,In Service,,,2004,
21,Digitized from 2014 Ortho photos,,,,Residential,1001071150,,No,,,,,20180419,Surrey,,In Service,,,2004,
22,,,,,Residential,1001072344,,No,,,Arterial,Concrete,20180419,Surrey,,In Service,,1.5,1996,
23,,,,,City Facility,1001067482,,No,,,Arterial,,20180419,Surrey,,In Service,,,1996,
24,Digitized from 2014 Ortho photos,,,,Residential,1001072102,,No,,,,,20180419,Surrey,,In Service,,,2004,
25,Digitized from 2014 Ortho photos,,,,City Facility,1001069091,,No,,,,Concrete,20180419,Surrey,,In Service,,1.5,2005,
26,,,20180320,20170301,Residential,1001910449,Final AB,No,1001060928,0,,Concrete,20180322,Surrey,,In Service,,,1973,0
27,,,20180321,20170301,Residential,1001910585,,No,1001069016,0,Arterial,Concrete,20180322,Surrey,,In Service,,1.5,1997,0
28,,,20180320,20170301,Residential,1001910613,Initial AB,No,1001060835,0,,Concrete,20180322,Surrey,,In Service,,1.5,1994,0
29,,,,,Residential,1001065052,,No,,,,,20180419,Surrey,,In Service,,,1990,
30,,,,20100407,Commercial,1001154843,Final AB,No,1001060750,,,Concrete,20180419,Surrey,,In Service,,1.5,1990,
31,,,20180321,,School,1001074830,,No,,,Collector,Concrete,20180322,Surrey,,In Service,,1.5,1993,
32,,9,20180321,,,1001070666,,No,,,,,20180322,Surrey,,In Service,,,1976,
33,,,,,Residential,1001068236,,No,,,,,20180419,Surrey,,In Service,,,2000,
34,,,20180320,,Residential,1001073945,,No,,,Arterial,Concrete,20180322,Surrey,,In Service,,1.5,2009,
35,,,,,Residential,1001070680,,No,,,,Concrete,20180419,Surrey,,In Service,,1.5,2005,
36,,,20180321,,Residential,1001063334,,No,,,,Concrete,20180322,Surrey,,In Service,,2.4000000953674316,1996,
37,Digitized Via 2016 Air Photo,,20180320,,Residential,1001063964,,No,,,Collector,Concrete,20180322,Surrey,,In Service,,1.5,1993,
38,,,20180321,20130607,Residential,1001069137,,No,,,Arterial,Concrete,20180322,Surrey,,In Service,,,2009,
39,,,20180321,,Residential,1001067428,,No,,,,Concrete,20180322,Surrey,,In Service,,1.5,1997,
40,,,20180321,,Residential,1001064810,,No,,,Arterial,Concrete,20180322,Surrey,,In Service,,1.5,2009,
41,,,,,Commercial,1001069936,,No,,,,,20180419,Surrey,,In Service,,,2001,
42,,,20180320,,Commercial,1001071821,,No,,,Arterial,,20180322,Surrey,,In Service,,,2012,
43,,,20180320,,Residential,1001074105,,No,,,,,20180322,Surrey,,In Service,,,1974,
44,,,20180320,,Residential,1001074408,,No,,,,,20180322,Surrey,,In Service,,,1978,
45,,,20180321,,Residential,1001069438,,No,,,Collector,Concrete,20180322,Surrey,,In Service,,1.5,1999,
46,,,,,Residential,1001063093,,No,,,Arterial,,20180306,Surrey,,In Service,,,1979,
47,,,20180321,,Residential,1001073328,,No,,,Arterial,,20180322,Surrey,,In Service,,,1982,
48,,,20180320,,Residential,1001062588,,No,,,,,20180322,Surrey,,In Service,,,1974,
49,,,20180321,,Residential,1001070912,,No,,,Arterial,,20180322,Surrey,,In Service,,,1976,
50,,,,,Commercial,1001067749,,No,,,,,20180419,Surrey,,In Service,,,2001,
51,,,,,Residential,1001062399,,No,,,,,20180306,Surrey,,In Service,,,1988,
52,,,,,Residential,1001066804,,No,,,,,20180419,Surrey,,In Service,,,2001,
53,,,20180320,,Residential,1001071904,,No,,,,,20180322,Surrey,,In Service,,,1974,
54,,,20180321,20130607,Residential,1001068359,,No,,,Collector,Concrete,20180322,Surrey,,In Service,,1.5,1991,
55,,,20180321,,Residential,1001067375,,No,,,Collector,Concrete,20180322,Surrey,,In Service,,1.5,1992,
56,,,20180320,,Residential,1001074898,,No,,,,,20180322,Surrey,,In Service,,,1974,
57,,,,,Residential,1001061075,,No,,,,,20180306,Surrey,,In Service,,,1973,
58,,,20180321,,Residential,1001062153,,No,,,Arterial,,20180322,Surrey,,In Service,,,1982,
59,,,20180320,,Residential,1001070182,,No,,,,Concrete,20180322,Surrey,,In Service,,1.5,1993,
60,Digitized Via 2016 Air Photo,,20180321,,Residential,1001070916,,No,,,,Concrete,20180322,Surrey,,In Service,,1.5,1974,
61,,,,,Residential,1001071892,,No,,,,,20180419,Surrey,,In Service,,,1999,
62,,,,,Residential,1001064146,,No,,,,,20180419,Surrey,,In Service,,,2000,
63,,,,,Residential,1001066763,,No,,,,,20180419,Surrey,,In Service,,,2001,
64,,,,,Residential,1001065769,,No,,,,,20180419,Surrey,,In Service,,,2001,
65,,,,,Residential,1001061841,,No,,,,,20180419,Surrey,,In Service,,,2001,
66,,,,,Residential,1001063261,,No,,,Collector,,20180419,Surrey,,In Service,,,2001,
67,,,,,Residential,1001070001,,No,,,Collector,,20180227,Surrey,,In Service,,,1966,
68,,,,,Residential,1001069380,,No,,,,,20180227,Surrey,,In Service,,,1966,
69,,,,,Commercial,1001060669,,No,,,Arterial,,20180227,Surrey,,In Service,,,1974,
70,,,,,Residential,1001063015,,No,,,Arterial,,20180227,Surrey,,In Service,,,1967,
71,,,,,Residential,1001072087,,No,,,Arterial,,20180227,Surrey,,In Service,,,1967,
72,,,,,Residential,1001060757,,No,,,Arterial,,20180227,Surrey,,In Service,,,1972,
73,,,20180221,20111012,Residential,1001070260,,No,,,Arterial,Asphalt,20180227,Surrey,,In Service,,1.5,1966,
74,,,,,Residential,1001063536,,No,,,Arterial,,20180227,Surrey,,In Service,,,1966,
75,,,,,Residential,1001068547,,No,,,Arterial,,20180227,Surrey,,In Service,,,2014,
76,,,,,Residential,1001067369,,No,,,Arterial,,20180227,Surrey,,In Service,,,1967,
77,,,,,Residential,1001069308,,No,,,,,20180227,Surrey,,In Service,,,1965,
78,,,,,Residential,1001071739,,No,,,Arterial,,20180227,Surrey,,In Service,,,1972,
79,,,,,Residential,1001072777,,No,,,,,20180227,Surrey,,In Service,,,1994,
80,,,,,Residential,1001073623,,No,,,,,20180227,Surrey,,In Service,,,1994,
81,,,20180221,,Commercial,1001071958,,No,,,Arterial,Concrete,20180227,Surrey,,In Service,,2,1966,
82,,,,,Residential,1001067857,,No,,,Arterial,,20180227,Surrey,,In Service,,,1967,
83,,,,,Residential,1001069394,,No,,,,Concrete,20180227,Surrey,,In Service,,1.5,1966,
84,,,,,Residential,1001069599,,No,,,,,20180227,Surrey,,In Service,,,1963,
85,,,,,Residential,1001060824,,No,,,Arterial,Concrete,20180227,Surrey,,In Service,,,1973,
