,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,, , ,,,,, ,Buffers,20160803,South Newton,Approved,Neighbourhood Concept Plan,1999
1,, , ,20120112,,,, ,Buffers,20120112,South Newton,Approved,Neighbourhood Concept Plan,1999
2,,, ,20150122,,,,,Buffers,20150122,South Newton,Approved,Neighbourhood Concept Plan,1999
3,20130729,Amend fromTownhouses (15 u.p.a. max) to Single Family Small Lots,RES.R13-1706,20130730,,,,7912-0037-00,Single Family Small Lots,20150326,South Newton,Approved,Neighbourhood Concept Plan,1999
4,20130807, Amendment fromTownhouses (15 u.p.a. max) to Townhouses (25 u.p.a. max),RES.R13-1251,20130729,25,,UPA,7910-0100-00,Townhouses (25 u.p.a. max),20130729,South Newton,Approved,Neighbourhood Concept Plan,1999
5,, , ,,15,,UPA, ,Townhouses (15 u.p.a. max),,South Newton,Approved,Neighbourhood Concept Plan,1999
6,, , ,,,,, ,Creeks & Riparian Set Backs,20140509,South Newton,Approved,Neighbourhood Concept Plan,1999
7,, , ,,,,, ,Buffers,20160205,South Newton,Approved,Neighbourhood Concept Plan,1999
8,, , ,,6,,UPA, ,Single Family Residential,20161005,South Newton,Approved,Neighbourhood Concept Plan,1999
9,, , ,,,,, ,Existing & Future Parks,,South Newton,Approved,Neighbourhood Concept Plan,1999
10,20131125,Amendment From Institutional To Office Park, ,20131128,,,,7913-0121-00,Office Park,20160331,South Newton,Approved,Neighbourhood Concept Plan,1999
11,, , ,20130730,14.5,6,UPA, ,Single Family Residential Flex 6-14.5 u.p.a.,20130730,South Newton,Approved,Neighbourhood Concept Plan,1999
12,20130128,Amendment,RES.R13-127,,10,8,UPA,7910-0175-00,Single Family Small Lots,20130417,South Newton,Approved,Neighbourhood Concept Plan,1999
13,, , ,,14.5,6,UPA, ,Single Family Residential Flex 6-14.5 u.p.a.,,South Newton,Approved,Neighbourhood Concept Plan,1999
14,, , ,,,,, ,Detention Ponds,,South Newton,Approved,Neighbourhood Concept Plan,1999
15,, , ,,14.5,6,UPA, ,Single Family Residential Flex 6-14.5 u.p.a.,20130315,South Newton,Approved,Neighbourhood Concept Plan,1999
16,, , ,,10,8,UPA, ,Single Family Small Lots,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
17,20290713,Amendment From Single Family Residential Flex 6-14.5 u.p.a. to Townhouses (25 u.p.a. max),RES.R13-1709,,25,25,UPA,7911-0247-00,Townhouses (25 u.p.a. max),20160205,South Newton,Approved,Neighbourhood Concept Plan,1999
18,, , ,,,,, ,Utility R/W / Greenway,,South Newton,Approved,Neighbourhood Concept Plan,1999
19,, , ,20151120,,,, ,Proposed Parks & Walkways,,South Newton,Approved,Neighbourhood Concept Plan,1999
20,, , ,,14.5,6,UPA, ,Single Family Residential Flex 6-14.5 u.p.a.,,South Newton,Approved,Neighbourhood Concept Plan,1999
21,,,,,14.5,6,UPA,,Single Family Residential Flex 6-14.5 u.p.a.,,South Newton,Approved,Neighbourhood Concept Plan,1999
22,, , ,,10,8,UPA, ,Single Family Small Lots,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
23,,,,,14.5,6,UPA,,Single Family Residential Flex 6-14.5 u.p.a.,,South Newton,Approved,Neighbourhood Concept Plan,1999
24,,,,,14.5,6,UPA,,Single Family Residential Flex 6-14.5 u.p.a.,,South Newton,Approved,Neighbourhood Concept Plan,1999
25,20130128,Amended From Townhouses (15 u.p.a. max) to Townhouses (30 u.p.a. max), ,,30,,UPA,7912-0202-00,Townhouses (30 u.p.a. max),20150507,South Newton,Approved,Neighbourhood Concept Plan,1999
26,20031201,Rezone from RA to RF & RF-12 (B/L-12000);NCP from Suburban Residential Half Acre to Single Family Residential (Max 6 upa),R04-1599,,6,,UPA,02-0104-00,Single Family Residential,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
27,, , ,,,,, ,Buffers,,South Newton,Approved,Neighbourhood Concept Plan,1999
28,, , ,,,,, ,Existing & Future Parks,,South Newton,Approved,Neighbourhood Concept Plan,1999
29,, , ,,15,,UPA, ,Townhouses (15 u.p.a. max),,South Newton,Approved,Neighbourhood Concept Plan,1999
30,, , ,20120606,6,,UPA, ,Single Family Residential,20120606,South Newton,Approved,Neighbourhood Concept Plan,1999
31,, , ,,2,,UPA, ,Suburban Residential 1/2 Acre,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
32,20050221,"Rezone from RA to RF-9, RF-12 & RF (B/L-12000); NCP from Single Family  Residential to SingleFamily Residential Flex 6 to 14.5 upa",R05-1935,,14.5,6,UPA,04-0039-00,Single Family Residential Flex 6-14.5 u.p.a.,20120606,South Newton,Approved,Neighbourhood Concept Plan,1999
33,, , ,,,,, ,Buffers,,South Newton,Approved,Neighbourhood Concept Plan,1999
34,, , ,,,,, ,Proposed Parks & Walkways,20120112,South Newton,Approved,Neighbourhood Concept Plan,1999
35,, , ,,,,, ,Creeks & Riparian Set Backs,20130315,South Newton,Approved,Neighbourhood Concept Plan,1999
36,, , ,,14.5,6,UPA, ,Single Family Residential Flex 6-14.5 u.p.a.,,South Newton,Approved,Neighbourhood Concept Plan,1999
37,, , ,,6,,UPA, ,Single Family Residential,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
38,, , ,,10,8,UPA, ,Single Family Small Lots,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
39,20070212,From Single Family Residential Flex 6 to 14.5 u.p.a. to Proposed Schoool,R07-263,,,,,03-0191-00,Existing & Future School,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
40,, , ,,6,,UPA, ,Single Family Residential,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
41,20020708,Rezone from  RS & RA (B/L-12000) & CD (B/L-12285) to CD (B/L-12000); NCP from Single Family Residential to Single Family Small Lots,R03-821,,10,8,UPA,02-0124-00,Single Family Small Lots,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
42,,,,,10,8,UPA,,Single Family Small Lots,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
43,20070626,From SIngle Family Residential to Single Family Residential Flex (6-14.5 upa),R07-1994,,14.5,6,UPA,06-0180-00,Single Family Residential Flex 6-14.5 u.p.a.,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
44,, , ,,,,, ,Institutional,,South Newton,Approved,Neighbourhood Concept Plan,1999
45,, , ,,14.5,6,UPA, ,Single Family Residential Flex 6-14.5 u.p.a.,,South Newton,Approved,Neighbourhood Concept Plan,1999
46,, , ,,,,, ,Buffers,20120112,South Newton,Approved,Neighbourhood Concept Plan,1999
47,, , ,,45,,UPA, ,Apartments (45 u.p.a. max.),20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
48,, , ,,25,,UPA, ,Townhouses (25 u.p.a. max),,South Newton,Approved,Neighbourhood Concept Plan,1999
49,, , ,,,,, ,Buffers,,South Newton,Approved,Neighbourhood Concept Plan,1999
50,, , ,,,,, ,Mixed Commercial-Residential (Apartments),20161005,South Newton,Approved,Neighbourhood Concept Plan,1999
51,20010522,"Rezone from CTA, RA (B/L-12000) & RS (B/L-5942) to CD (B/L-12000); NCP from Townhouse to Single Family Small Lots",R01-2806,,10,8,UPA,01-0052-00,Single Family Small Lots,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
52,, , ,,10,8,UPA, ,Single Family Small Lots,20171212,South Newton,Approved,Neighbourhood Concept Plan,1999
53,, , ,,10,8,UPA, ,Single Family Small Lots,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
