,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,, , ,,,,, ,Light Impact Industrial,,South Westminster,Approved,Neighbourhood Concept Plan,2003
1,, , ,,,,, ,Light Impact/Business Park,,South Westminster,Approved,Neighbourhood Concept Plan,2003
2,, , ,,,,, ,Business Park,,South Westminster,Approved,Neighbourhood Concept Plan,2003
3,, , ,,,,, ,Business Park,,South Westminster,Approved,Neighbourhood Concept Plan,2003
4,, , ,,,,, ,Light Impact/Business Park,,South Westminster,Approved,Neighbourhood Concept Plan,2003
5,, , ,,,,, ,Highway Commercial,,South Westminster,Approved,Neighbourhood Concept Plan,2003
6,,,,,,,,,Business Park,,South Westminster,Approved,Neighbourhood Concept Plan,2003
7,, , ,,,,, ,Retail/Residential,,South Westminster,Approved,Neighbourhood Concept Plan,2003
8,,,,,,,,,Business Park,,South Westminster,Approved,Neighbourhood Concept Plan,2003
9,20171002,Amended From Highway Commercial to Multiple Residential, ,20171212,,,,7916-0685-00,Multiple Residential,20171212,South Westminster,Approved,Neighbourhood Concept Plan,2003
10,, , ,,,,, ,Business/Residential Park,,South Westminster,Approved,Neighbourhood Concept Plan,2003
11,, , ,,,,, ,Highway Commercial,,South Westminster,Approved,Neighbourhood Concept Plan,2003
12,, , ,,,,, ,Port-Related Industrial,,South Westminster,Approved,Neighbourhood Concept Plan,2003
13,, , ,,,,, ,Light Impact Industrial,,South Westminster,Approved,Neighbourhood Concept Plan,2003
14,, , ,,,,, ,Light Impact Industrial,,South Westminster,Approved,Neighbourhood Concept Plan,2003
15,, , ,,,,, ,Commercial,,South Westminster,Approved,Neighbourhood Concept Plan,2003
16,, , ,,,,, ,Light Impact/Business Park,,South Westminster,Approved,Neighbourhood Concept Plan,2003
17,, , ,,,,, ,Business Park,,South Westminster,Approved,Neighbourhood Concept Plan,2003
18,, , ,,,,, ,Light Impact/Business Park,,South Westminster,Approved,Neighbourhood Concept Plan,2003
19,20101213,Light Impact Industrial and Business Park to Highway Commercial   7910-0249-00 Shawn Low ,R10-2127,,,,,7910-0249-00,Highway Commercial,,South Westminster,Approved,Neighbourhood Concept Plan,2003
20,, , ,,,,, ,Business/Residential Park,,South Westminster,Approved,Neighbourhood Concept Plan,2003
21,,,,,,,,,School,,South Westminster,Approved,Neighbourhood Concept Plan,2003
22,, , ,,,,, ,Light Impact Industrial,,South Westminster,Approved,Neighbourhood Concept Plan,2003
23,,,,,,,,,Light Impact Industrial,,South Westminster,Approved,Neighbourhood Concept Plan,2003
24,, , ,,,,, ,Light Impact Industrial,,South Westminster,Approved,Neighbourhood Concept Plan,2003
25,,,,,,,,,Parks & Open Spaces,,South Westminster,Approved,Neighbourhood Concept Plan,2003
26,, , ,,,,, ,Business Park,,South Westminster,Approved,Neighbourhood Concept Plan,2003
