,MISC_ASSET_TYPE,MISC_ASSET_TYPE2,FACILITYID,LEGACYID,MATERIAL,LENGTH,NAME,RESPONSIBILITY,ROTATION,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
0,3,Subdivision Marker,1000960014,,,,Bayview West,,,,,,,,Bayview West,,,,,,,20081204,20081204,49.060404,-122.841181
1,3,Subdivision Marker,1000960031,,,,Carrington,,,,,,,,Carrington,,,,,,,20081204,20081204,49.061384,-122.792452
2,3,Subdivision Marker,1000960038,,,,Rosemary Wynd,,,,,,,,Rosemary Wynd,,,,,,,20081204,20081204,49.067479,-122.793860
3,3,Subdivision Marker,1000959915,,,,Huntington Park,,,,,,,,Huntington Park,,,,,,,20081204,20081204,49.038617,-122.857895
4,3,Subdivision Marker,1000959985,,,,Huntington Park,,,,,,,,Huntington Park,,,,,,,20081204,20081204,49.045694,-122.861027
5,3,Subdivision Marker,1000959905,,,,Meridian by the Sea,,,,,,,,Meridian by the Sea,,,,,,,20081204,20081204,49.038481,-122.806888
6,3,Subdivision Marker,1000959980,,,,Chantrell Park / Nichol Gate,,,,,,,,Chantrell Park / Nichol Gate,,,,,,,20081204,20081204,49.042162,-122.834576
7,3,Subdivision Marker,1000960050,,,,Ocean Cliff Estates,,,,,,,,Ocean Cliff Estates,,,,,,,20081204,20081204,49.038731,-122.875033
8,3,Subdivision Marker,1000959919,,,,Hampstead Heath,,,,,,,,Hampstead Heath,,,,,,,20081204,20081204,49.038453,-122.860055
9,3,Subdivision Marker,1000960052,,,,Ocean Cliff Estates,,,,,,,,Ocean Cliff Estates,,,,,,,20081204,20081204,49.038725,-122.874844
10,3,Subdivision Marker,1000959984,,,,Huntington Park,,,,,,,,Huntington Park,,,,,,,20081204,20081204,49.045689,-122.861239
11,3,Subdivision Marker,1000960012,,,,Bayview West,,,,,,,,Bayview West,,,,,,,20081204,20081204,49.060399,-122.841464
12,3,Subdivision Marker,1000959918,,,,Huntington Park,,,,,,,,Huntington Park,,,,,,,20081204,20081204,49.038645,-122.859735
13,3,Subdivision Marker,1000959880,,,,,,,,,,,,,,,,,,,20081204,,49.031395,-122.861852
14,3,Subdivision Marker,1000960039,,,,Rosemary Wynd,,,,,,,,Rosemary Wynd,,,,,,,20081204,20081204,49.067476,-122.793556
15,3,Subdivision Marker,1000960023,,,,Morgan Creek,,,,,,,,Morgan Creek,,,,,,,20081204,20081204,49.069802,-122.779274
16,3,Subdivision Marker,1000960043,,,,Ironwood,,,,,,,,Ironwood,,,,,,,20081204,20081204,49.070208,-122.792551
17,3,Subdivision Marker,1000959884,,,,Ocean Wood,,,,,,,,Ocean Wood,,,,,,,20081204,20081204,49.033513,-122.834540
18,3,Subdivision Marker,1000960021,,,,Morgan Creek,,,,,,,,Morgan Creek,,,,,,,20081204,20081204,49.060227,-122.779006
19,3,Subdivision Marker,1000960004,,,,Partridge Place,,,,,,,,Partridge Place,,,,,,,20081204,20120411,49.049601,-122.812072
20,3,Subdivision Marker,1000959883,,,,Ocean Bluff,,,,,,,,Ocean Bluff,,,,,,,20081204,20081204,49.031279,-122.828086
21,3,Subdivision Marker,1000959906,,,,Meridian by the Sea,,,,,,,,Meridian by the Sea,,,,,,,20081204,20081204,49.038485,-122.806548
22,3,Subdivision Marker,1000959982,,,,Ocean Park Terrace,,,,,,,,Ocean Park Terrace,,,,,,,20081204,20081204,49.042522,-122.867147
23,3,Subdivision Marker,1000959911,,,,Bridelwood,,,,,,,,Bridelwood,,,,,,,20081204,20081204,49.038623,-122.851159
24,3,Subdivision Marker,1000960017,,,,Heritage Trails,,,,,,,,Heritage Trails,,,,,,,20081204,20081204,49.060108,-122.814267
25,3,Subdivision Marker,1000959890,,,,Englesea Place,,,,,,,,Englesea Place,,,,,,,20081204,20081204,49.032947,-122.806972
26,3,Subdivision Marker,1000960026,,,,Carriage Green,,,,,,,,Carriage Green,,,,,,,20081204,20081204,49.064301,-122.785141
27,3,Subdivision Marker,1000959908,,,,Bell Park Estates,,,,,,,,Bell Park Estates,,,,,,,20081204,20081204,49.038379,-122.840717
28,3,Subdivision Marker,1000959924,,,,Ocean Cliff Estates,,,,,,,,Ocean Cliff Estates,,,,,,,20081204,20081204,49.038670,-122.869844
29,3,Subdivision Marker,1000959987,,,,,,,,,,,,,,,,,,,20081204,,49.045657,-122.850853
30,3,Subdivision Marker,1000959900,,,,Southpoint at the Park,,,,,,,,Southpoint at the Park,,,,,,,20081204,20081204,49.035082,-122.809203
31,3,Subdivision Marker,1000959893,,,,Brambley Hedge,,,,,,,,Brambley Hedge,,,,,,,20081204,20081204,49.035922,-122.823461
32,3,Subdivision Marker,1000960009,,,,Heritage Trails,,,,,,,,Heritage Trails,,,,,,,20081204,20081204,49.056757,-122.812439
33,3,Subdivision Marker,1000960008,,,,Heritage Trails,,,,,,,,Heritage Trails,,,,,,,20081204,20081204,49.056552,-122.812396
34,3,Subdivision Marker,1000960053,,,,Ocean Cliff Estates,,,,,,,,Ocean Cliff Estates,,,,,,,20081204,20081204,49.038723,-122.874690
35,3,Subdivision Marker,1000959914,,,,Bridelwood,,,,,,,,Bridelwood,,,,,,,20081204,20081204,49.038637,-122.855566
36,3,Subdivision Marker,1000959873,,,,Shannon Hill Estates,,,,,,,,Shannon Hill Estates,,,,,,,20081204,20081204,49.100381,-122.712926
