,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,,,,,,,,,Drainage Corridor 20m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
1,,,,20171212,45,30,UPA,,Multiple Residential 30-45 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
2,,,,20171212,45,30,UPA,,Multiple Residential 30-45 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
3,,,,,15,10,UPA,,Multiple Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
4,,,,20171212,,,,,Grandview Ridge Trail,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
5,,,,,15,10,UPA,,Multiple Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
6,20180423,Amended from Low Density Residential 6-10 u.p.a. to Medium Density Residential 10-15 u.p.a.,,20180514,10,6,UPA,7916-0312-00,Medium Density Residential 10-15 u.p.a.,20180514,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
7,,,,,10,6,UPA,,Low Density Residential 6-10 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
8,20171218,As of Corporate Report (File 6520-20),R259,20180117,10,6,UPA,,Low Density Residential 6-10 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
9,,,,,,,,,Grandview Ridge Trail,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
10,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
11,,,,20111115,,,,,Conifer,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
12,,,,,15,10,UPA,,Cluster Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
13,,,,,15,10,UPA,,Cluster Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
14,,,,20160309,15,10,UPA,,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
15,,,,20111115,,,,,Conifer,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
16,20160307,Amended from School to Medium Density Residential 10-15 u.p.a.,,20180514,15,10,UPA,7913-0154-00,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
17,20171218,As of Corporate Report (File 6520-20),R259,20180117,,,,,Habitat Preservation Area,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
18,20171218,As of Corporate Report (File 6520-20),R259,20180117,10,6,UPA,,Low Density Residential 6-10 u.p.a.,20180403,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
19,20171218,As of Corporate Report (File 6520-20),R259,20180117,10,6,UPA,,Low Density Residential 6-10 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
20,20171218,As of Corporate Report (File 6520-20),R259,20180117,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
21,,,,20180518,,,,,Buffer,20180518,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
22,,,,20131015,10,6,UPA,,Low Density Residential 6-10 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
