,STATUS,YR,ELEVATION,X_COORD,Y_COORD,GCM_NO,TABLET_MARKING,MONUMENT_TYPE,WEBLINK,Latitude,Longitude
0,Active,1981,17.738,521305.749,5447174.096,813428,81H4527,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/81H4527.tif,49.177006,-122.707672
1,Active,1973,82.899,522554.557,5441957.961,813758,8788,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8788.tif,49.130041,-122.690830
2,Active,1968,29.818,517737.735,5449594.991,638197,5287,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5287.tif,49.198896,-122.756520
3,Active,1968,36.006,512096.851,5434628.658,607465,5432,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5432.tif,49.064405,-122.834399
4,Active,1964,53.852,512055.3,5445977.171,552067,5551,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5551.tif,49.166490,-122.834629
5,Destroyed,1964,65.03,516140.285,5430932.058,553032,5100, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5100.tif,49.031060,-122.779194
6,Active,1966,86.861,512917.494,5430936.579,467191,5470,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5470.tif,49.031177,-122.823282
7,Destroyed,1980,78.918,510839.96,5447759.855,755405,80H2556, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/80H2556.tif,49.182549,-122.851252
8,Destroyed,1964,66.569,513434.049,5450594.441,700625,5420, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5420.tif,49.207995,-122.815561
9,Active,1973,17.355,522960.155,5446804.614,579870,8797,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8797.tif,49.173622,-122.684994
10,Destroyed,1964,4.506,514502.155,5443617.211,580142,5028, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5028.tif,49.145209,-122.801149
11,Active,1980,5.438,509645.834,5449987.442,490466,80H2049,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/80H2049.tif,49.202607,-122.867585
12,Destroyed,1983,53.891,511264.163,5440575.875,409300,79H0035, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/79H0035.tif,49.117919,-122.845632
13,Active,1964,4.3,520176.904,5448884.701,792697,5995,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5995.tif,49.192431,-122.723074
14,Destroyed,1964,39.499,522534.609,5436216.925,889402,5726, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5726.tif,49.078399,-122.691423
15,Active,1968,38.88,520154.888,5440470.425,738260,5835,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5835.tif,49.116743,-122.723797
16,Active,1964,77.965,512873.163,5446383.907,609503,5552,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5552.tif,49.170133,-122.823397
17,Destroyed,1964,66.028,508025.009,5447758.094,453100,5301, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5301.tif,49.182576,-122.889880
18,Destroyed,1972,99.194,509643.269,5440706.246,426569,8635, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8635.tif,49.119119,-122.867842
19,Destroyed,1967,51.563,520317.241,5440694.54,374066,5012, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5012.tif,49.118754,-122.721561
20,Active,1964,95.629,510455.642,5447965.269,349084,5148,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5148.tif,49.184403,-122.856521
21,Active,1964,108.904,512686.606,5448283.112,336313,5526,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5526.tif,49.187220,-122.825896
22,Active,1980,83.578,510819.14,5447923.629,218446,80H2058,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/80H2058.tif,49.184023,-122.851534
23,Destroyed,1968,72.228,516827.4,5449586.27,417535,5284, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5284.tif,49.198843,-122.769016
24,Active,1968,59.058,517743.454,5448785.365,417667,5196,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5196.tif,49.191613,-122.756477
25,Active,1980,82.353,510890.075,5432755.266,417725,80H2072,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/80H2072.tif,49.047576,-122.850970
26,Active,1970,33.699,509148.139,5438443.517,540484,5890,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5890.tif,49.098773,-122.874679
27,Active,1971,85.338,509041.867,5445976.23,557603,5915,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5915.tif,49.166534,-122.875966
28,Active,1972,40.379,520455.122,5447169.832,601328,8639,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8639.tif,49.176996,-122.719343
29,Active,1968,21.716,512064.743,5443943.224,149674,5219,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5219.tif,49.148194,-122.834560
30,Destroyed,1968,87.142,511331.177,5439172.605,251843,5239, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5239.tif,49.105295,-122.844753
31,Active,1968,93.948,514320.66,5449567.901,252551,5282,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5282.tif,49.198741,-122.803425
32,Active,1964,67.86,509952.73,5449798.032,252908,5358,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5358.tif,49.200898,-122.863377
33,Destroyed,1968,5.136,512102.463,5434952.053,519785,5500, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5500.tif,49.067314,-122.834312
34,Active,1964,102.591,512085.376,5448754.631,498634,5202,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5202.tif,49.191474,-122.834133
35,Destroyed,1968,15.789,516787.641,5434169.627,604199,5731, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5731.tif,49.060166,-122.770203
36,Destroyed,1966,82.168,511098.878,5447977.414,37549,5765, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5765.tif,49.184501,-122.847693
37,Destroyed,1967,101.139,508261.206,5446008.029,37739,5510, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5510.tif,49.166831,-122.886674
38,Destroyed,1964,17.207,520952.906,5430964.452,567735,5106, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5106.tif,49.031207,-122.713354
39,Destroyed,1964,12.692,507477.144,5448074.095,567859,5368, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5368.tif,49.185426,-122.897392
40,Active,1972,60.283,520430.448,5432572.217,495333,8618,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8618.tif,49.045687,-122.720420
41,Active,1968,30.299,523352.22,5440742.376,496794,5017,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5017.tif,49.119076,-122.679966
42,Active,1972,95.251,514526.453,5432772.848,497115,8624,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8624.tif,49.047659,-122.801205
43,Destroyed,1964,87.197,509208.882,5446363.235,477299,5312, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5312.tif,49.170013,-122.873666
44,Active,1968,82.191,517758.741,5433375.672,478065,5182,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5182.tif,49.052997,-122.756946
45,Active,1966,70.251,512887.421,5442337.462,478180,5038,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5038.tif,49.133733,-122.823330
