,DEVICE_TYPE,DEVICE_TYPE2,FACILITYID,LEGACYID,MATERIAL,YEAR_BUILT,ROTATION,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
0,7,Speed Hump,1001188227,,Asphalt,2009,,In Service,7806-0098-00,2009,Surrey,,,Final AB,,,,,,20110131,20110131,49.008910,-122.744886
1,7,Speed Hump,1001188226,,Asphalt,2009,,In Service,7806-0098-00,2009,Surrey,,,Final AB,,,,,,20110131,20110131,49.008908,-122.745937
2,7,Speed Hump,1001188258,,Asphalt,2009,,In Service,7806-0098-00,2009,Surrey,,,Final AB,,,,,,20110131,20110131,49.008217,-122.745764
3,7,Speed Hump,1001188274,,Asphalt,2009,,In Service,7806-0098-00,2009,Surrey,,,Final AB,,,,,,20110131,20110131,49.008217,-122.744671
4,7,Speed Hump,1001145422,,,,,In Service,7807-0180-00,2007,Surrey,,,Final AB,,,,,,20100111,20100304,49.129617,-122.695248
5,7,Speed Hump,1001151846,,Asphalt,,,Proposed,,,Surrey,,,EC,,,,,,20100305,20100305,49.033384,-122.796889
6,7,Speed Hump,1001164004,,Asphalt,,,Proposed,7806-0319-00,2007,Surrey,,,EC,,,,,,20100614,20100614,49.008915,-122.743404
7,7,Speed Hump,1001193137,,,,,Proposed,7807-0177-00,,Surrey,,,EC,,,,,,20110323,20110323,49.159113,-122.780431
8,7,Speed Hump,1001193138,,,,,Proposed,7807-0177-00,,Surrey,,,EC,,,,,,20110323,20110323,49.159196,-122.780638
9,7,Speed Hump,1001193140,,,,,Proposed,7807-0177-00,,Surrey,,,EC,,,,,,20110323,20110323,49.159965,-122.780437
10,7,Speed Hump,1001193139,,,,,Proposed,7807-0177-00,,Surrey,,,EC,,,,,,20110323,20110323,49.159446,-122.780434
11,7,Speed Hump,1001075261,187,Asphalt,,0,In Service, ,,Surrey,187, ,Final AB,,,,,,,20081212,49.182711,-122.787072
12,0,All Way Stop,1000963721,,,,0,In Service,,,Surrey,,,Final AB,,,,,,,20081212,49.107789,-122.734966
13,7,Speed Hump,1001075326,54,Asphalt,2006,0,In Service, ,2006,Surrey,54, ,Final AB,,,,,,,20081212,49.117442,-122.883076
14,0,All Way Stop,1000963710,,,,0,In Service,,,Surrey,,,Final AB,,,,,,,20081212,49.170012,-122.873658
15,7,Speed Hump,1001075367,179,Asphalt,,0,In Service, ,,Surrey,179,TC05-40,Final AB,,,,,,,20081212,49.181634,-122.901696
16,7,Speed Hump,1001075206,181,Asphalt,,0,In Service, ,,Surrey,181, ,Final AB,,,,,,,20081212,49.179699,-122.901261
17,0,All Way Stop,1000963748,,,,0,In Service,,,Surrey,,,Final AB,,,,,,,20081212,49.148253,-122.790081
18,8,Speed Table,1001075307,254,Asphalt,2008,90,In Service, ,2008,Surrey,254,Location south?,Final AB,,,,,,,20081212,49.068076,-122.779157
19,9,Traffic Circle,1001075284,5,Concrete,2006,0,In Service, ,2006,Surrey,5, ,Final AB,,,,,,,20081212,49.035677,-122.810987
20,7,Speed Hump,1001075180,121,Asphalt,2007,0,In Service, ,2007,Surrey,121, ,Final AB,,,,,,,20081212,49.159163,-122.793304
