,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,DESCRIPTION,FACILITYID,LENGTH,MAINTENANCE_RESPONSIBILITY,MATERIAL,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OPERATOR,OWNER,REFERENCE_NO,ROUTE_TYPE2,STATUS,STATUS_PARKS,STRUCTURES_INSPECTION_ROUTE,WIDTH
0,,,,,1001403980,,Engineering,,,,Engineering,Engineering,Surrey,,Walkway,In Service,,,
1,,,,,1001791173,,Engineering,Concrete,,,Engineering,,Surrey,,Walkway,In Service,,,3
2,,,,"Bridge - Wood; Barbara Creek Park, 15053 34 Ave",1001744443,,Parks,Wooden,"103A - Greenbelt, 15053 34 Ave",Park,Parks,,Surrey,1,Pedestrian Bridge,In Service,OPERATING,,
3,,,,,1001860329,,Engineering,Asphalt,,,Engineering,Engineering,Surrey,,Walkway,In Service,,,
4,,,,,1001404083,,Engineering,Asphalt,,,Engineering,Engineering,Surrey,,Walkway,In Service,,,
5,,,,,1001859395,,Engineering,Asphalt,,,Engineering,,,,Walkway,In Service,,,
6,,,,,1001841307,,Engineering,Asphalt,,,Engineering,,,,Pedestrian Bridge,In Service,,,
7,,,Engineering,,1001433676,,Engineering,Asphalt,,,Engineering,Engineering,Surrey,,Walkway,In Service,,,
8,,,,,1001403453,,Engineering,,,,Engineering,Engineering,Surrey,,Walkway,In Service,,,
9,,,,,1001842198,,Engineering,Concrete,,,Engineering,,Surrey,,Walkway,In Service,,,
10,,,,,1001842879,,Engineering,Asphalt,,,Engineering,Engineering,Surrey,,Walkway,In Service,,,
11,,,,,1001834968,,Engineering,Asphalt,,,Engineering,Engineering,Surrey,,Walkway,In Service,,,
12,,,,,1001860077,,Engineering,Concrete,,,Engineering,,,,Walkway,In Service,,,
13,,,,,1001859469,,Engineering,Asphalt,,,Engineering,Engineering,Surrey,,Walkway,In Service,,,
14,,,,"P15 Path; Fleetwood Park, 15802 80 Ave",1001485628,,Parks,Asphalt,"Fleetwood Park, 15802 80 Ave",Park,Parks,Parks,Surrey,P15,General Access and Recreation,In Service,OPERATING,,1.5
15,,,,"Boardwalk #2; 131B - Greenbelt, 13391 14A Ave",1001851869,2,Parks,Wooden,"131B - Greenbelt, 13391 14A Ave",Park,Parks,,Surrey,2,Walkway,In Service,OPERATING,,
16,Multi-use,,Engineering,,1001925060,,Park,Asphalt,,,Park,Engineering,Surrey,,Walkway,In Service,,,
17,Multi-use,,Engineering,,1001901153,,Engineering,Concrete,,,Engineering,Engineering,Surrey,,Walkway,In Service,,,
18,,,,"Bridge #1 - Wood; Crescent Park, 2585 132 St",1001851803,,Parks,Wooden,"Crescent Park, 2585 132 St",Park,Parks,Parks,,1,Pedestrian Bridge,In Service,OPERATING,,2.2
19,,,,"Bridge # 3; Robson Park, 12576 100 Ave",1001851813,,Parks,Concrete,"Robson Park, 12576 100 Ave",Park,Parks,,,3,Pedestrian Bridge,In Service,OPERATING,,
20,,,,"Ornamental Bridge #11 - Wood; Bear Creek Park, 13750 88 Ave",1001851818,4,Parks,Wooden,"Bear Creek Park, 13750 88 Ave",Park,Parks,,,11,Pedestrian Bridge,In Service,OPERATING,,
21,,,,"Bridge # 2 - Concrete; Crescent Park, 2585 132 St",1001851821,7,Parks,Concrete,"Crescent Park, 2585 132 St",Park,Parks,,Surrey,2,Pedestrian Bridge,In Service,OPERATING,,
22,,,,"Bridge #3 - Concrete; Crescent Park, 2585 132 St",1001851824,7,Parks,Concrete,"Crescent Park, 2585 132 St",Park,Parks,,Surrey,3,Pedestrian Bridge,In Service,OPERATING,,
23,,,,Bridge #1 - Metal,1001851845,9,Parks,Other,"British Manor Park, 14440 79 Ave",Park,Parks,,,1,Pedestrian Bridge,In Service,OPERATING,,
