,AAS_ID,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DATE_CLOSED,DATE_CONSTRUCTED,DESCRIPTION,DESIGNATION,DISASTER_RESPONSE_ROUTE,FACILITYID,GCNAME,GCPREDIR,GCROADS,GCSUFDIR,GCTYPE,GIS_ENTRY_STAGE,GREENWAY,INSERVICE_COST,INSERVICE_DATE,LEFTFROM,LEFTTO,LEGACYID,LIFECYCLE_COST,LOCATION,MAINTENANCE_RESPONSIBILITY,MAJOR_ROAD_NETWORK,MAP_PAGE,MATERIAL,MOD_DATE,NO_LANE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OWNER,PARK_LEGACY_ID,PARK_OWNERSHIP,PAVING_DATE,PROJECT_NO,RD_CLASS,RIGHTFROM,RIGHTTO,ROADCODE,ROAD_CENTRELINE_TYPE,ROAD_CENTRELINE_TYPE2,ROAD_NAME,ROW_WIDTH,SPEED,STATUS,STATUS_DATE,STATUS_PARKS,STREETSWEEPING_ROUTE,STRUCTURES_INSPECTION_ROUTE,TRUCK_ROUTE,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YR,YRS_LIFE_EXPECTANCY,YTD_COST
0,,,,,19870904,,,,Translink,None,1000972709,120,,120 ST,,ST,,,,,8001,8199,,,,Engineering,Yes,,Asphalt,20171206,4,,,Engineering,Surrey,,,,,Arterial,8002,8198,12000,0,Road,120 St,34,60,Open,,,TRANSLINK - T1 CURBS,,Truck Routes,,,,1973,,
1,,,,,19871104,,,,Translink,None,1000976534,120,,120 ST,,ST,,,,,9101,9199,,,,Engineering,Yes,,Asphalt,20171206,4,,,Engineering,Surrey,,,,,Arterial,9100,9198,12000,0,Road,120 St,34,60,Open,,,TRANSLINK - T1 CURBS,,Truck Routes,,,,1973,,
2,38,,,,19870917,,,,Translink,None,1000983679,120,,120 ST,,ST,,,,,9351,9599,,,,Engineering,Yes,,Asphalt,20171206,4,,,Engineering,Surrey,,,,,Arterial,9352,9598,12000,0,Road,120 St,34,60,Open,,,TRANSLINK - T1 CURBS,,Truck Routes,,,,1973,,
3,,,,,19870917,,,,Translink,None,1000976309,96,,96 AVE,,AVE,,,,,12101,12199,,,,Engineering,Yes,,Asphalt,20171206,4,,,Engineering,Surrey,,,,,Arterial,12102,12198,09600,0,Road,96 Ave,30,50,Open,,,TRANSLINK - T1 CURBS,,Truck Routes,,,,1973,,
4,,,,,19870917,,,,Translink,None,1000984214,120,,120 ST,,ST,,,,,9751,9795,,,,Engineering,Yes,,Asphalt,20171206,4,,,Engineering,Surrey,,,,,Arterial,9752,9794,12000,0,Road,120 St,34,60,Open,,,TRANSLINK - T1 CURBS,,Truck Routes,,,,1974,,
5,,,,,20010920,,,,Translink,None,1000979057,120,,120 ST,,ST,,,,,9799,9797,,,,Engineering,Yes,,Asphalt,20171206,4,,,Engineering,Surrey,,,,,Arterial,9798,9796,12000,0,Road,120 St,34,60,Open,,,TRANSLINK,,Truck Routes,,,,1974,,
6,,,,,19870903,,,,,None,1000983367,80,,80 AVE,,AVE,,,,,12251,12299,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Arterial,12252,12298,08000,0,Road,80 Ave,30,60,Open,,,,,Truck Routes,,,,1973,,
7,,,,,19870917,,,,Translink,None,1000978084,96,,96 AVE,,AVE,,,,,12301,12349,,,,Engineering,Yes,,Asphalt,20171206,4,,,Engineering,Surrey,,,,,Arterial,12302,12348,09600,0,Road,96 Ave,30,50,Open,,,TRANSLINK - T1 CURBS,,Truck Routes,,,,1966,,
8,,,,,19940526,,,,Translink,None,1000977622,SCOTT,,SCOTT RD,,RD,,,,,11023,11089,,,,Engineering,Yes,,Asphalt,20171206,3,,,Engineering,Surrey,,,,,Arterial,11024,11088,12002,0,Road,Scott Rd,30,60,Open,,,TRANSLINK - SCOTT RD EXCH,,Truck Routes,,,,1995,,
9,,,,,19940526,,,,Translink,Secondary,1000975685,KING GEORGE,,KING GEORGE BLVD,,BLVD,,,,,12607,12667,,,,Engineering,Yes,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Arterial,12570,12674,13601,0,Road,King George Blvd,30,60,Open,,,TRANSLINK - KGB(NORTH),,Dangerous Goods Routes,,,,2014,,
10,,,,,19870904,,,,,None,1000978685,128,,128 ST,,ST,,,,,8701,8799,,,,Engineering,No,,Asphalt,20171206,4,,,Engineering,Surrey,,,,,Arterial,8702,8798,12800,0,Road,128 St,30,60,Open,,,,,Truck Routes,,,,2000,,
