,BAFFLES_END1,BAFFLES_END2,BIKE_INFRASTRUCTURE_TYPE,BIKE_NETWORK,COMMENTS,CONDITION,CONDITIONDATE,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,CRE_DATE,DESCRIPTION,EQ_NO,FACILITYID,FENCING_SIDE1,FENCING_SIDE2,GIS_ENTRY_STAGE,HABITAT,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LENGTH,LIFECYCLE_COST,LOCATION,MAINTENANCE_RESPONSIBILITY,MAP_PAGE,MATERIAL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OPERATOR,OWNER,PARK_LEGACY_ID,PARK_OWNERSHIP,PRK_BRIDGE_SPECIAL_FEATURES,PRK_TRAIL_SERVICE_CLASS,PROJECT_NO,RAILINGS_MATERIAL1,RAILINGS_MATERIAL2,REFERENCE_NO,ROAD_CODE,ROUTE_TYPE,ROUTE_TYPE2,STATUS,STATUS_DATE,STATUS_PARKS,STRUCTURES_INSPECTION_ROUTE,TREES_PLANTED,USE_LEVEL,WARRANTYDATE,WARRANTY_PROVIDER,WIDTH,WORK_ASSIGNMENT,YR,YRS_LIFE_EXPECTANCY,YTD_COST
0,,,,,,,,Recreation,Newton Athletic Park 3.9k Route,Other,,,,1001403444,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
1,,,,,,,,Recreation,South Surrey Multi-Park Park 8.1K Route,Other,,,,1001403175,,,,,,,,,,,,Engineering,,,20170215,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
2,,,,,,,,Recreation,City Hall 30-50 minutes,Other,,,,1001401956,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
3,,,,,,,,Recreation,Guildford 4.6K Route,Other,,,,1001403310,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
4,,,,,,,,Recreation,Guildford 5.0K Route,Other,,,,1001403311,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
5,,,,,,,,Recreation,Guildford 5.0K Route,Other,,,,1001404002,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
6,,,,,,,,Recreation,Fraser Heights 2.5K Route,Other,,,,1001403259,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
7,,,,,,,,Recreation,Cloverdale Arena 2.1K Route,Other,,,,1001403530,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
8,,,,,,,,Recreation,Newton CRO (Unwin Park) 4.3K Route ,Other,,,,1001403446,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
9,,,,,,,,Recreation,North Surrey 4.0K Route B,Other,,,,1001403313,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
10,,,,,,,,Recreation,South Surrey Athletic Park 3.6K Route,Other,,,,1001404039,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
11,,,,,,,,Recreation,South Surrey Athletic Park 3.6K Route,Other,,,,1001403666,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
12,,,,,,,,Recreation,City Hall 30-50 minutes,Other,,,,1001403671,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
13,,,,,,,,Recreation,City Hall 30 minutes B,Other,,,,1001404040,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
14,,,,,,,,Recreation,Fleetwood Route,Other,,,,1001403340,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
15,,,,,,,,Recreation,Fraser Heights 3.5K Route,Other,,,,1001401848,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
16,,,,,,,,Recreation,Fraser Heights 2.5K Route,Other,,,,1001401847,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
17,,,,,,,,Recreation,Cloverdale Rec Centre 3.1K Route,Other,,,,1001403532,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
18,,,,,,,,Recreation,Cloverdale CRO 3.2K Route,Other,,,,1001403531,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
19,,,,,,,,Recreation,South Surrey Elgin Heritage Park 2.5K Route,Other,,,,1001403172,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
20,,,,,,,,Recreation,South Surrey Bakerview Park 2.9K Route,Other,,,,1001403344,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
21,,,,,,,,Recreation,South Surrey Multi-Park Park 8.1K Route,Other,,,,1001404038,,,,,,,,,,,,Engineering,,,20170215,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
22,,,,,,,,Recreation,Fleetwood Rec Centre 4K Route,Other,,,,1001403450,,,,,,,,,,,,Engineering,,,20180808,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
23,,,,,,,,Recreation,Fleetwood Surrey Sport Centre 3.6K Route,Other,,,,1001403769,,,,,,,,,,,,Engineering,,,20111012,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
24,,,,,,,,Recreation,Fraser Heights 3.2K Route,Other,,,,1001401850,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
25,,,,,,,,Recreation,Cloverdale Daylight 3.9K Route,Other,,,,1001403442,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
26,,,,,,,,Recreation,South Surrey Elgin Heritage Park 2.5K Route,Other,,,,1001403345,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
27,,,,,,,,Recreation,City Hall 30-40 minutes,Other,,,,1001403670,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
28,,,,,,,,Recreation,South Surrey Urban Forest 4.7K Route,Other,,,,1001403390,,,,,,,,,,,,Engineering,,,20170215,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
29,,,,,,,,Recreation,South Surrey Daytime 6K Route,Other,,,,1001403174,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
30,,,,,,,,Recreation,City Hall 30 minutes A,Other,,,,1001403669,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
31,,,,,,,,Recreation,Guildford Daytime 5.5K Route,Other,,,,1001403742,,,,,,,,,,,,Engineering,,,20170215,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
32,,,,,,,,Recreation,Fraser Heights 3.2K Route,Other,,,,1001403309,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
33,,,,,,,,Recreation,Cloverdale Athletic Park 3.5K Route,Other,,,,1001403441,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
