,ANCILLARYROLE,ENABLED,ASSEMBLY_TYPE,ASSEMBLY_TYPE2,BLOWOFF_TYPE,FACILITYID,LEGACYID,NODE_NO,CHAMBER1_SIZE,CHAMBER1_MATERIAL,CHAMBER2_SIZE,CHAMBER2_MATERIAL,VALVE_TYPE,VALVE_SIZE,VALVE_MAKE,VALVE_MODEL,VALVE_MATERIAL,VALVE_LOCATION,BFP_TYPE,BFP_SIZE,AIR_VALVE_TYPE,AIR_VALVE_SIZE,AIR_VALVE_MAKE,AIR_VALVE_MODEL,AIR_VALVE_MATERIAL,AIR_VALVE_LOCATION,DRAIN_SYSTEM,EXTERNAL_VENTING,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
0,,1,2,Blowoff,,1000275181,23051,1418903193,,,,,,50,,,,,,,,,,,,,,,In Service,7802-0387-00,2003,Surrey,,,Final AB,,,,,,20040318,,49.060771,-122.829083
1,,1,2,Blowoff,,1000275185,23055,1413903197,,,,,,50,,,,,,,,,,,,,,,In Service,7802-0387-00,2003,Surrey,,,Final AB,,,,,,20040319,,49.060844,-122.830464
2,,1,2,Blowoff,,1000275186,23056,1405103335,,,,,,50,,,,,,,,,,,,,,,In Service,7802-0387-00,2003,Surrey,,,Final AB,,,,,,20040319,,49.063347,-122.832881
3,,1,0,Air Valve,,1000261310,5425,1797409883,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,98A AVE & 180 ST,,Initial AB,,,,,,20020426,20141231,49.181624,-122.724176
4,,1,0,Air Valve,,1000261308,5423,1799909771,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,180 ST & 97 AVE,,Initial AB,,,,,,20020426,20141231,49.179605,-122.723515
5,,1,2,Blowoff,,1000275305,23063,1449503315,,,,,,50,,,,,,,,,,,,,,,In Service,7802-0278-00,2004,Surrey,,,Final AB,,,,,,20040331,,49.062974,-122.820654
6,,1,2,Blowoff,,1000275311,23125,1507103439,,,,,,50,,,,,,,,,,,,,,,In Service,7801-0203-00,2004,Surrey,,,Final AB,,,,,,20040510,,49.065191,-122.804792
7,,1,2,Blowoff,,1000275318,23229,1480503536,,,,,,50,,,,,,,,,,,,,,,In Service,7800-0232-00,2004,Surrey,,,Final AB,,,,,,20040716,,49.066958,-122.812103
8,,1,2,Blowoff,,1000264296,21201,1760500076,,,,,,50,,,,,,,,,,,,,,,In Service,1299-6210-00,2000,Surrey,,,Final AB,,,,,,20020923,,49.004197,-122.735323
9,,1,2,Blowoff,,1000264335,21207,1929801367,,,,,,50,,,,,,,,,,,,,,,In Service,7800-0127-00,2000,Surrey,,,Final AB,,,,,,20020924,,49.027441,-122.688622
