,ANCILLARYROLE,ENABLED,CHAMBER_TYPE,CHAMBER_TYPE2,FACILITYID,LEGACYID,NODE_NO,CHAMBER_DISCHARGE,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
0,,1,2,Valve,1000262514,19526,1460302102,,In Service,,2002,Metro Vancouver,,,,,,,,,20020506,20170413,49.041008,-122.817744
1,,1,2,Valve,1000262525,23663,1460102212,,In Service,1200-5130-00,2003,Surrey,,SEE ALSO W-123-062(PM),Final AB,,,,,,20050630,20170413,49.043001,-122.817814
2,,1,2,Valve,1000262552,18715,1460102137,,In Service,,,Surrey,,CLOSED,,,,,,,20020503,20170413,49.041644,-122.817808
3,,1,2,Valve,1000262568,18732,1458402131,,In Service,,,Metro Vancouver,,,,,,,,,20020503,20170413,49.041542,-122.818263
4,,1,2,Valve,1000262632,18806,1460402348,,In Service,,,Metro Vancouver,,,,,,,,,20020503,20170413,49.045464,-122.817710
5,,1,2,Valve,1000262765,5358,1758809628,,In Service,4639,,Surrey,,,Final AB,,,,,,20020426,20170413,49.177042,-122.734882
6,,1,2,Valve,1000263043,20769,1428710407,,In Service,1200-1040-00,2000,Surrey,,"CHAMBER CONTAINS CHECK VALVE SEE WF-003, 005",Final AB,,,,,,20020917,20170413,49.191302,-122.825924
7,,1,2,Valve,1000264913,17785,1917902769,,In Service,,,Metro Vancouver,,,,,,,,,20020503,20170413,49.052809,-122.691723
8,,1,2,Valve,1000265460,23066,1917703579,,In Service,WF-2088,1991,Metro Vancouver,,,Final AB,,,,,,20040401,20170413,49.067470,-122.691683
9,,1,2,Valve,1000265492,16195,1920204668,,In Service,,,Surrey,,,,,,,,,20020502,20170413,49.087167,-122.690880
10,,1,2,Valve,1000265835,11725,1840307220,,In Service,,,Surrey,,,,,,,,,20020501,20170413,49.133407,-122.712638
11,,1,2,Valve,1000265838,11728,1764807471,,In Service,,,Metro Vancouver,,,,,,,,,20020501,20170413,49.138005,-122.733427
12,,1,2,Valve,1000265839,11729,1764207459,,In Service,,,Metro Vancouver,,,,,,,,,20020501,20170413,49.137781,-122.733599
13,,1,2,Valve,1000265847,11737,1839507217,,In Service,,,Metro Vancouver,,,,,,,,,20020501,20170413,49.133352,-122.712848
14,,1,2,Valve,1000266664,7026,1382009365,,In Service,,,Metro Vancouver,,,,,,,,,20020429,20170413,49.172472,-122.838868
15,,1,2,Valve,1000266974,5259,1679509625,,In Service,,,Surrey,,,,,,,,,20020426,20170413,49.177033,-122.756769
16,,1,2,Valve,1000267095,115,1235010435,,In Service,,,Surrey,,,,,,,,,20020423,20170413,49.191889,-122.879402
17,,1,0,Pressure Reducing,1000267129,167,1251910435,,In Service,,,Surrey,10410 125A STREET,Critical,,,,,,,20020423,20170413,49.191879,-122.874746
18,,1,2,Valve,1000267366,2807,1459111727,,In Service,,,Metro Vancouver,,,,,,,,,20020424,20170413,49.215176,-122.817454
19,,1,2,Valve,1000267367,2834,1456611177,,In Service,,,Metro Vancouver,,,,,,,,,20020424,20170413,49.205232,-122.818166
20,,1,2,Valve,1000267813,4336,1310510024,,In Service,,,Surrey,,,,,,,,,20020425,20170413,49.184425,-122.858569
21,,1,2,Valve,1000267985,4617,1342010075,,In Service,,,Surrey,,,,,,,,,20020425,20170413,49.185329,-122.849879
22,,1,2,Valve,1000268473,16145,1918605410,,In Service,,,Metro Vancouver,,,,,,,,,20020502,20170413,49.100602,-122.691246
23,,1,2,Valve,1000268510,23436,1918005428,,In Service,1299-5020-00,2004,Surrey,,CONTAINS FLOW METER,Final AB,,,,,,20041208,20170413,49.100921,-122.691404
24,,1,2,Valve,1000269137,12971,1680706409,,In Service,,,Surrey,,,,,,,,,20020502,20170413,49.118831,-122.756719
25,,1,2,Valve,1000269176,13009,1761006818,,In Service,,,Surrey,,,,,,,,,20020502,20170413,49.126193,-122.734526
26,,1,2,Valve,1000270285,5587,1463310531,,In Service,,,Metro Vancouver,,,,,,,,,20020426,20170413,49.193539,-122.816359
27,,1,2,Valve,1000270289,5591,1476910553,,In Service,,,Surrey,,,,,,,,,20020426,20170413,49.193920,-122.812614
28,,1,2,Valve,1000270296,5598,1460410548,,In Service,,,Surrey,,,,,,,,,20020426,20170413,49.193846,-122.817159
29,,1,2,Valve,1000270420,5771,1463510550,,In Service,,,Metro Vancouver,,,,,,,,,20020426,20170413,49.193875,-122.816312
30,,1,0,Pressure Reducing,1000268681,16037,1479505604,,Abandoned,4445,1969,Surrey,,,Final AB,,,,,,20020502,,49.104369,-122.812228
31,,1,0,Pressure Reducing,1000274986,14897,1759206394,,Abandoned,4076,,Surrey,,FIELD INFO,Final AB,,,,,,20020502,20070309,49.118525,-122.735073
32,,1,0,Pressure Reducing,1000273260,7264,1108209791,,Abandoned,,,Surrey,,FIELD INFO,,,,,,,20020429,20111205,49.180269,-122.914444
33,,1,0,Pressure Reducing,1000280624,22934,1640802798,,Abandoned,1202-5030-00,2002,Surrey,2814 164 ST,,Final AB,,,,,,20040112,20170410,49.053509,-122.768020
34,,1,2,Valve,1000270430,5781,1459210492,,In Service,,,Metro Vancouver,,,,,,,,,20020426,20170413,49.192829,-122.817509
35,,1,2,Valve,1000270431,5782,1463010535,,In Service,,,Surrey,,,,,,,,,20020426,20170413,49.193607,-122.816440
36,,1,2,Valve,1000270603,3099,1111809902,,In Service,,,Metro Vancouver,,,,,,,,,20020425,20170413,49.182260,-122.913435
37,,1,2,Valve,1000270650,15777,1959306146,,In Service,WF-1384,1977,Metro Vancouver,,SEE ALSO GVW-079-001,Final AB,,,,,,20050429,20170413,49.113883,-122.679945
38,,1,2,Valve,1000271250,4692,1519110014,,In Service,,,Surrey,,,,,,,,,20020425,20170413,49.184147,-122.800988
39,,1,2,Valve,1000271251,4693,1519009809,,In Service,,,Surrey,,,,,,,,,20020425,20170413,49.180439,-122.801044
