,ANCILLARYROLE,ENABLED,HYDRANT_TYPE,HYDRANT_TYPE2,FACILITYID,LEGACYID,NODE_NO,HYDRANT_NO,MAKE,MODEL,BRANCH_VALVE_MANUFACTURER,BRANCH_VALVE_MODEL,DIST_TO_VALVE,LAST_MAINTAINED,STATUS,OPERATING_STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,DELTA_X,DELTA_Y,Latitude,Longitude
0,,1,0,Fire Hydrant,1001809198,,1126309790,9691,Mueller,Canada Valve,,,10,,In Service,Open,SFPR Seg. 5,2014,Surrey,,,Final AB,,,,,,20150220,20151120,,,49.180241,-122.909452
1,,1,0,Fire Hydrant,1001741984,,1590010553,9692,Mueller,Canada Valve,,,0.4,,In Service,Open,7805-0165-00,2015,Surrey,,,Final AB,,,,,,20140416,20151120,-10,-2,49.193875,-122.781381
2,,1,0,Fire Hydrant,1001879696,,1766805675,9836,Terminal City,C71P,,,3.4,,In Service,Open,1299-3040-00,2016,Surrey,,I:28539,Final AB,,,,,,20160606,20160606,,,49.105494,-122.733040
3,,1,0,Fire Hydrant,1001563523,,1933705426,9702,Mueller,Canada Valve,,,2.8,,In Service,Open,1212-5060-00,2014,Surrey,,RBRC,Final AB,,,,,,20150401,20151120,,,49.100873,-122.687074
4,,1,0,Fire Hydrant,1001837852,,1367310902,9704,AVK,AVK,,,15.8,,In Service,Open,7809-0254-00,2015,Surrey,,,Final AB,,,,,,20150909,20151120,,,49.200297,-122.842843
5,,,0,Fire Hydrant,1001878738,,1311605737,,,,,,,,Proposed,Closed,7814-0030-00,2016,Surrey,,,EC,,,,,,20160527,20160527,,,49.106851,-122.858504
6,,,0,Fire Hydrant,1001878727,,1317505716,,,,,,,,Proposed,Closed,7814-0030-00,2016,Surrey,,,EC,,,,,,20160527,20160527,8,-6,49.106460,-122.856884
7,,1,0,Fire Hydrant,1001788258,,1521002061,9752,Mueller,Canada Valve,,,6.2,,In Service,Open,1212-5030-00,2016,Surrey,,,Initial AB,,,,,,20160711,20160711,,,49.040248,-122.801057
8,,1,0,Fire Hydrant,1001840647,,1885705410,9756,,,,,6.1,,In Service,Open,7813-0218-00,2015,Surrey,,,Initial AB,,,,,,20150929,20151119,,,49.100626,-122.700308
9,,1,0,Fire Hydrant,1001729831,,1517309134,9661,,,,,4.7,,In Service,Open,7812-0074-00,2015,Surrey,,,Final AB,,,,,,20150527,20151120,-6,-10,49.168225,-122.801549
10,0,1,0,Fire Hydrant,1000297349,4719,1458610785,9635,AVK,AVK,,,13.4,,In Service,Open,9-70620-3663,1971,Surrey,10760 14600  (31.0m N of S P/L),,Final AB,,,,,,19920101,20160711,-11,-27,49.198131,-122.817660
11,,1,0,Fire Hydrant,1001753089,,1271009536,9664,AVK,AVK,,,4.6,,In Service,Open,1213-3120-00,2014,Surrey,,,Final AB,,,,,,20150528,20151120,,,49.175610,-122.869524
12,,1,0,Fire Hydrant,1001741159,,1645002419,9672,Mueller,Canada Valve,,,10.3,,In Service,Open,7812-0244-00,2014,Surrey,,,Final AB,,,,,,20140411,20151120,2,-6,49.046651,-122.766882
