,CRE_DATE,HGL,MOD_DATE,NAME,PRESSURE_ZONE_STATUS,SERVICE_AREA
0,20140109,80,20131217,Crescent,Existing,Crescent/Elgin (SS)
1,20140109,110,20131217,Kensington,Existing,Grandview PS
2,20160816,80,20160816,South Grandview East,Existing,Grandview PS
3,20140109,90,20131217,Panorama Ridge,Existing,
4,20160809,135,20180404,Newton,Existing,Kennedy & Newton PS
5,20140109,110,20180308,Kensington,Existing,Grandview PS
6,20140109,90,20131217,Port Kells,Existing,Port Kells
7,20140109,145,20131217,Whalley,Existing,Whalley Booster
8,20140109,110,20131217,Ocean Park,Existing,Grandview/KG Gravity
9,20140109,95,20160719,Port Mann 95,Existing,Port Mann
10,20140109,90,20131217,Port Kells,Existing,Whalley PS
11,20140109,80,20170922,South Westminster,Existing,South Westminster
12,20140109,80,20131217,Campbell,Existing,Cloverdale
13,20140109,90,20160719,Fleetwood East 90,Existing,
14,20140109,120,20180830,Semiahmoo,Existing,Grandview/KG Gravity
15,20140109,90,20150609,Cloverdale,Existing,Cloverdale
16,20140109,90,20131217,Port Kells,Existing,South Port Kells
17,20140109,120,20131217,Ocean Park,Existing,Sunnyside Gravity
18,20140109,80,20140814,Elgin,Existing,Crescent/Elgin (SS)
19,20160809,115,20140814,Clayton,Existing,Clayton
20,20160809,149,20170922,Sunnyside,Existing,Sunnyside PS
21,20160809,135,20180131,Newton,Existing,Whalley PS
22,20140109,80,20180308,Crescent,Existing,
23,20140109,80,20171201,Crescent,Existing,Grandview/KG Gravity
24,20160815,120,20160815,South Grandview,Existing,Grandview PS
25,20140109,80,20131217,Crescent,Existing,Grandview PS
26,20140109,80,20131217,Douglas,Existing,Grandview/KG Gravity
27,20140109,80,20180129,Campbell,Existing,Campbell Heights
28,20140109,90,20160719,Panorama SouthWest 90,Existing,Kennedy & Newton PS
29,20140109,90,20180404,Bear Creek,Existing,King George at Bear Creek
30,20140109,95,20160719,Old Yale 95,Existing,Kennedy & Newton PS
31,20140109,80,20140814,Kensington West,Existing,Grandview/KG Gravity
32,20140109,110,20171201,Kensington,Existing,Grandview/KG Gravity
33,20140109,90,20160719,Fleetwood West 90,Existing,Whalley PS
