,STATIONID,ADDRESS,FACILITYID,LEGACYID,NODE_NO,STATUS,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,YR,PROJECT_NO,Latitude,Longitude
0,944,,1001127564,,1888006006,In Service,Surrey,6008 189 ST,"At SW corner of property, 1 m N of gate valve",Initial AB,,,,,,20090708,20130603,,,49.111412,-122.699598
1,927,,1001127563,,1478906634,In Service,Surrey,6645 148 ST,10.8 m N of S P/L on 148 St.,Initial AB,,,,,,20090708,20120503,,,49.123004,-122.812323
2,929,,1001127553,,1447305454,In Service,Surrey,14488 LOMBARD PL,On P/L @ NW Corner,Initial AB,,,,,,20090708,20120503,,,49.101671,-122.821111
3,932,,1001127562,,1262901442,In Service,Surrey,1473 126A ST,7.5m N of S P/L,Initial AB,,,,,,20090708,20120503,,,49.029130,-122.872121
4,943,,1001127547,,1841205363,In Service,Surrey,18425 53 AVE,"Located 2.4m N of hyd 2043, on 184 St.",Initial AB,,,,,,20090708,20120503,,,49.099812,-122.712577
5,925,,1001127556,,1278306217,In Service,Surrey,6234 128 ST,4.2m E of Gate Valve on 62 Ave,Initial AB,,,,,,20090708,20120503,,,49.115549,-122.867648
6,950,,1001127569,,1451102127,Abandoned,Surrey,Sunnyside Well,This station is not regularly used - it samples well water.,Initial AB,,,,,,20090708,20140416,,,49.041471,-122.820288
7,931,,1001127558,,1239402358,In Service,Surrey,2389 124 ST,NE corner of property.,Initial AB,,,,,,20090708,20120417,,,49.045720,-122.878556
8,936,,1001127572,,1719900035,In Service,Surrey,17195 0 AVE,1.8m W of E P/L,EC,19000101,,19000101,,,20090708,20120417,0,,49.002183,-122.746503
9,926,,1001127565,,1201205618,In Service,Surrey,12049 56 AVE,1.0m W of E P/L,Initial AB,,,,,,20090708,20120417,,,49.104719,-122.888926
10,907,,1001127533,,1556510822,In Service,Metro Vancouver,10796 155A ST,"7m W of E P/L, on 108 Ave.",Initial AB,,,,,,20090708,20140509,,,49.198756,-122.790600
11,903,,1001127541,,1928709896,In Service,Metro Vancouver,19287 98A AVE,2.1m W of hyd #4085,Initial AB,,,,,,20090708,20140509,,,49.181764,-122.687944
12,905,,1001127525,,1704110223,In Service,Metro Vancouver,17052 102 AVE,0.6 m S of N P/L,Initial AB,,,,,,20090708,20140509,,,49.187834,-122.749899
13,906,,1001127545,,1612910209,In Service,Metro Vancouver,10184 161 ST,3.1m S of N P/L,Initial AB,,,,,,20090708,20140509,,,49.187638,-122.775090
14,922,,1001127523,,1549707797,In Service,Metro Vancouver,7768 155 ST,1.4 m S of N P/L,Initial AB,,,,,,20090708,20140509,,,49.144029,-122.792708
15,915,,1001127522,,1462410544,In Service,Metro Vancouver,14620 105A AVE,Inside Whalley Pump Station,Final AB,,,,,,20090708,20140509,,,49.193764,-122.816605
16,949,,1001127544,,1820907408,In Service,Metro Vancouver,7362 182 ST,4.0 m S of N P/L,Initial AB,,,,,,20090708,20140509,,,49.136835,-122.717964
17,917,,1001127531,,1300008911,In Service,Metro Vancouver,13031 LANARK PL,3.0 m W of E P/L,Initial AB,,,,,,20090708,20140509,,,49.164288,-122.861537
18,919,,1001127526,,1508209293,In Service,Metro Vancouver,15091 92A AVE,2.3 m N of S P/L,Initial AB,,,,,,20090708,20140509,,,49.171122,-122.804048
19,908,,1001127529,,1598911232,In Service,Metro Vancouver,15985 112 AVE,"SE corner of property, 1.2m W of gate valve on 150 DI main.",Initial AB,,,,,,20090708,20140509,,,49.206160,-122.778864
20,921,,1001127538,,1706708034,In Service,Metro Vancouver,17079 80 AVE,4.3 m E of Gate Valve,Initial AB,,,,,,20090708,20140509,,,49.148226,-122.749383
21,910,,1001127521,,1439811533,In Service,Metro Vancouver,14396 115 AVE,2.4m W of NE corner of property.,Initial AB,,,,,,20090708,20140509,,,49.211671,-122.822799
22,901,,1001127535,,1799009249,In Service,Metro Vancouver,17988 93A ST,3.0 m N of S P/L,Initial AB,,,,,,20090708,20140509,,,49.170148,-122.723814
23,920,,1001127537,,1620809033,In Service,Metro Vancouver,16222 90 AVE,1.7 m N of Hyd #0332,Initial AB,,,,,,20090708,20140509,,,49.166360,-122.773014
24,916,,1001127539,,1367609746,In Service,Metro Vancouver,13705 97A AVE,"3.2m N of S P/L, on 137 St.",EC,19000101,,19000101,,,20090708,20140509,0,,49.179364,-122.842840
25,904,,1001127532,,1782510273,In Service,Metro Vancouver,17815 TRIGGS RD,143.0 m NW of Hydrant #3600 FT00021,Final AB,,,,,,20090708,20140509,,,49.188691,-122.728270
26,923,,1001127542,,1201908287,In Service,Metro Vancouver,8241 120A ST,1.2 m S of N P/L,Initial AB,,,,,,20090708,20140509,,,49.153027,-122.888633
27,902,,1001127540,,1901208770,In Service,Metro Vancouver,18995 87A AVE,8.0 m E of E P/L,Initial AB,,,,,,20090708,20140509,,,49.161409,-122.695652
28,914,,1001127524,,1318910508,In Service,Metro Vancouver,10478 132 ST,3.1m E of W P/L,Initial AB,,,,,,20090708,20140509,,,49.193178,-122.856234
29,909,,1001127530,,1462011521,In Service,Metro Vancouver,14674 ST ANDREWS DR,"As Per Ops 8-02-12 - ADH, on Wellington Dr. 6.5m E of W P/L",Initial AB,,,,,,20090708,20140509,,,49.211446,-122.816653
30,912,,1001127536,,1163110615,In Service,Metro Vancouver,10619 TIMBERLAND RD,2m NE of Hyd #8249,Initial AB,,,,,,20090708,20140509,,,49.195166,-122.899261
31,924,,1001127527,,1376307413,In Service,Metro Vancouver,13782 74 AVE,"125m W of E P/L, opposite 13751 74 Ave.",Initial AB,,,,,,20090708,20140509,,,49.137143,-122.840562
32,911,,1001127528,,1287811470,In Service,Metro Vancouver,12893 114A AVE,0.5m W of E P/L,Initial AB,,,,,,20090708,20140509,,,49.210589,-122.864768
33,913,,1001127534,,1183209871,In Service,Metro Vancouver,11878 98A AVE,4.0 m W of E P/L,Initial AB,,,,,,20090708,20140509,,,49.181693,-122.893731
34,918,,1001127543,,1371408917,In Service,Metro Vancouver,13738 GLEN PL,2.3 m W of E P/L,Initial AB,,,,,,20090708,20140509,,,49.164376,-122.841835
35,947,,1001127552,,1918906841,In Service,Surrey,6803 192 ST,6.5 m E of Gate Valve,Initial AB,,,,,,20090708,20120504,,,49.126492,-122.691002
36,938,,1001127559,,1721503067,In Service,Surrey,17214 31 AVE,7.5 m E of W P/L,Initial AB,,,,,,20090708,20120504,,,49.058334,-122.745770
37,945,,1001127550,,1949205513,In Service,Surrey,5517 PRODUCTION BLVD,2.8 m E of Air Valve,Initial AB,,,,,,20090708,20120504,,,49.102449,-122.682796
38,939,,1001127546,,1559703817,In Service,Surrey,3831 156 ST,3.5 m S of Gate Valve,Initial AB,,,,,,20090708,20120504,,,49.072000,-122.790252
39,946,,1001127554,,1957206374,In Service,Surrey,6332 195B ST,2.3 m S of N P/L,Initial AB,,,,,,20090708,20120504,,,49.118016,-122.680496
40,934,,1001127566,,1461601612,In Service,Surrey,1662 146 ST,SW corner of property.,Initial AB,,,,,,20090708,20120504,,,49.032140,-122.817422
41,942,,1001127567,,1757305957,In Service,Surrey,5963 176 ST,0.8 m S of S P/L,Initial AB,,,,,,20090708,20120504,,,49.110607,-122.735633
42,933,,1001127549,,1334401524,In Service,Surrey,1547 133B ST,3.9 m E of W P/L,Initial AB,,,,,,20090708,20120504,,,49.030608,-122.852448
43,930,,1001127568,,1387802980,In Service,Surrey,3031 139 ST,6.0 m S of Gate Valve,Initial AB,,,,,,20090708,20120504,,,49.056936,-122.837659
44,951,,1001127561,,1919902088,In Service,Surrey,2150 192 ST,18.5 m N of S P/L,Initial AB,,,,,,20090708,20120504,,,49.040492,-122.691259
45,928,,1001127560,,1534305732,In Service,Surrey,15335 57 AVE,2.2 m W of E P/L,Initial AB,,,,,,20090708,20120504,,,49.106672,-122.797131
46,937,,1001127557,,1800002124,In Service,Surrey,2158 180 ST,"4m N of S P/L, off 180 St main.",Initial AB,,,,,,20090708,20120508,,,49.041230,-122.724256
47,948,,1001127551,,1719206623,In Service,Surrey,66 AVE & 172 ST,"NW corner of intersection, 1.9m E of gate valve, just W of hyd 0740",Initial AB,,,,,,20090708,20120508,,,49.122683,-122.746082
48,941,,1001127548,,1660605797,In Service,Surrey,BELL RD & OLD MCLELLAND RD,SE corner,Initial AB,,,,,,20090708,20120418,,,49.107782,-122.762306
49,952,,1001127570,,1899402763,In Service,Surrey,19026 28 AVE,On W P/L,Initial AB,,,,,,20090708,20120418,,,49.052725,-122.696815
50,935,,1001127555,,1640201094,In Service,Surrey,16391 11 AVE,At SE corner of property.,Initial AB,,,,,,20090708,20120508,,,49.022671,-122.768322
51,940,,1001127571,,1587902391,In Service,Surrey,CROYDON DR & 24 AVE,"50m N of S P/L, on Croydon Dr.",Initial AB,,,,,,20090708,20120508,,,49.046170,-122.782599
