,ANCILLARYROLE,ENABLED,FACILITY_TYPE,FACILITY_TYPE2,FACILITYID,LEGACYID,NODE_NO,CAPACITY,CONTRACTOR_ID,MAX_NO_PUMPS,STATUS,OPERATING_STATUS,PROJECT_NO,YR,OWNER,NAME,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
0,0,0,3,Tank,1000297401,15034,1461002159,,,,Abandoned,,,2002,Surrey,SUNNYSIDE WATER TOWER,2200 148 ST,Not in Service,,,,,,,20020506,20130408,49.042035,-122.817557
1,0,1,1,Pump Station,1000315839,17737,1213309063,,,,In Service,Open,W-940,2004,Surrey,KENNEDY WS,12171 90 AVE,P.S. revised by 1211-5010-00 in 2014,Final AB,,,,,,20031219,20171221,49.167057,-122.885463
2,,0,0,Filling Station,1001801294,,1308711469,,,,Abandoned,Closed,,2014,Surrey,WFS-000-01,11470 131 ST,WO 2177574,,,,,,,20150112,20171218,49.210577,-122.858993
3,0,1,1,Pump Station,1000315837,17332,1462410544,,,,In Service,Open,W-901,2002,Surrey,WHALLEY WS,14620 105A AVE,,Final AB,,,,,,20020429,20170412,49.193764,-122.816605
4,0,1,1,Pump Station,1000315838,17333,1462610538,,,,In Service,Open,1201-5010-00,2010,Surrey,WHALLEY BOOSTER WS,14620 105A AVE,WAS ORIG PUMP STATION,Final AB,,,,,,20020429,20170412,49.193665,-122.816568
5,0,1,1,Pump Station,1000315840,18867,1536309056,,,,In Service,Open,1298-5100-00,2003,Surrey,FLEETWOOD BOOSTER WS,9008 FLEETWOOD WAY,,Final AB,,,,,,20050511,20170412,49.166818,-122.796310
6,0,1,1,Pump Station,1000315841,15012,1269706270,,,,In Service,Open,1201-3060-00,2002,Surrey,NEWTON WS,6275 128 ST,,Final AB,,,,,,20020502,20170412,49.116496,-122.870016
7,0,1,4,Well,1000315834,15037,1540101768,,,,In Service,,,2002,Surrey,MCBETH WELL STATION,1845 154 ST,Irrigation ONLY - Used by Parks,,,,,,,20020506,20170412,49.034923,-122.795813
8,0,1,4,Well,1000315846,15036,1459702266,,,,In Service,Open,W-949,2002,Surrey,SUNNYSIDE WELL II,2200 148 ST,Well Pump Station,Final AB,,,,,,20020506,20170412,49.043980,-122.817916
9,0,1,1,Pump Station,1000315845,15032,1458702135,,,,In Service,Open,12975120-00,2002,Surrey,SUNNYSIDE I WS,2200 148 ST,,Final AB,,,,,,20020506,20170412,49.041612,-122.818203
10,0,1,1,Pump Station,1000315847,18921,1459602205,,,,In Service,Open,W-027,1992,Surrey,SUNNYSIDE II WS,2200 148 ST,SEE ALSO WD-123-042 TO 50,Final AB,,,,,,20050629,20170412,49.042876,-122.817948
11,0,1,1,Pump Station,1000315848,15009,1904907201,,,,In Service,Open,W-201,2002,Surrey,OLD CLAYTON WS,19050 72 AVE,May be retired,Final AB,,,,,,20020502,20170412,49.133024,-122.694818
12,0,1,1,Pump Station,1000815878,,1663802344,,,,In Service,Open,1204-5050-00,2006,Surrey,GRANDVIEW WS,16666 24 AVE,Updated by 1213-5010-00,Final AB,,,,,,20070109,20170412,49.045293,-122.761719
13,0,1,1,Pump Station,1000823025,,1901307198,,,,In Service,Open,1204-5060-00,2010,Surrey,CLAYTON WS,71A AVE & 190 ST,,Final AB,,,,,,20070424,20170412,49.132968,-122.695809
14,0,1,2,Reservoir,1000314975,15033,1457602141,,,,In Service,Open,,2002,Metro Vancouver,SUNNYSIDE RESERVOIR I - METRO,2200 148 ST,,,,,,,,20020506,20170412,49.041727,-122.818502
15,0,1,2,Reservoir,1000314972,15010,1268606292,,,,In Service,Open,,2002,Metro Vancouver,NEWTON RESERVOIR - METRO,6275 128 ST,Remove ????,,,,,,,20020502,20170412,49.116907,-122.870325
16,0,1,2,Reservoir,1000314968,15006,1460610513,,,,In Service,Open,WF-1060,2002,Metro Vancouver,WHALLEY RESERVOIR - METRO,14620 105A AVE,,Final AB,,,,,,20020429,20170412,49.193203,-122.817116
17,0,1,1,Pump Station,1000315844,15027,1837402461,,,,In Service,Open,WF-2092,2002,Metro Vancouver,184 ST WS - METRO,2499 184 ST,,Final AB,,,,,,20020503,20170412,49.047294,-122.713924
18,0,1,2,Reservoir,1000314977,15008,1906007213,,,,In Service,Open,,2002,Metro Vancouver,CLAYTON RESERVOIR - METRO,71A AVE & 190 ST,Multi-cell,,,,,,,20020502,20170412,49.133243,-122.694520
19,0,1,2,Reservoir,1000314973,15011,1271906292,,,,In Service,Open,,2002,Metro Vancouver,NEWTON RESERVOIR - METRO,6275 128 ST,Multi-cell,,,,,,,20020502,20170412,49.116901,-122.869400
20,,1,0,Filling Station,1001801295,,1799805343,,,,In Service,Open,,2014,Surrey,WFS-087-01,5337 180 ST,WO 2177573,,,,,,,20150112,20170412,49.099479,-122.723986
21,0,1,1,Pump Station,1000315842,15013,1271006269,,,,In Service,Open,,2002,Metro Vancouver,NEWTON WS - METRO,6275 128 ST,,Final AB,,,,,,20020502,20170412,49.116489,-122.869659
22,0,1,2,Reservoir,1000314976,15948,1457902100,,,,In Service,Open,,2002,Metro Vancouver,SUNNYSIDE RESERVOIR II - METRO,2200 148 ST,,,,,,,,20020923,20170412,49.040975,-122.818404
23,0,1,2,Reservoir,1000314970,17918,1211109093,,,,In Service,Open,WF-1578,1980,Metro Vancouver,KENNEDY RESERVOIR - METRO,12171 90 AVE,,Final AB,,,,,,19941212,20170412,49.167607,-122.886074
24,,1,4,Well,1001190443,,1274506258,,,,In Service,Open,,,Surrey,NEWTON TEST/MONITORING WELL,6275 128 ST,150m Deep,,,,,,,20110304,20170412,49.116278,-122.868697
25,,1,0,Filling Station,1001801296,,1475202164,,,,In Service,Open,,2014,Surrey,WFS-123-01,ROTARY WAY & 148 ST,WO 2177573,,,,,,,20150112,20170412,49.042131,-122.813649
26,0,1,1,Pump Station,1000315843,15019,1955103588,,,,In Service,Open,,2002,Private,SURREY NURSERY WS - PRIVATE,36 AVE & 196 ST,,,,,,,,20020503,20170412,49.067606,-122.681393
27,0,1,2,Reservoir,1000314969,18270,1666902333,,,,In Service,Open,WF-2556,1999,Metro Vancouver,GRANDVIEW RESERVOIR - METRO,16666 24 AVE,,Final AB,,,,,,20040914,20170412,49.045082,-122.760869
