,ANCILLARYROLE,ENABLED,VALVE_TYPE,VALVE_TYPE2,FACILITYID,LEGACYID,NODE_NO,VALVE_SIZE,MAKE,MODEL,CORROSION_PROTECTED,DISASTER_CONTROL,GEARED,PRESSURE_ZONE_VALVE,RESTRAINED,NO_TURNS,STATUS,OPERATING_STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,ROTATION,Latitude,Longitude
0,,1,2,Gate,1000273555,21366,1507608890,200,,,,,,,,27,In Service,Open,7894-0476-00,2000,Surrey,15085 88A AVE,Just E of N-S 150mm main on 151 St.,Final AB,,,,,,20021009,20110301,,49.163824,-122.804259
1,,1,2,Gate,1000273207,20309,1586801953,300,,,,,,,,,In Service,Open,1200-6030-00,2001,Surrey,,,Final AB,,,,,,20020710,,,49.038259,-122.782946
2,,1,2,Gate,1000273230,20346,1600201955,200,,,,,,,,,In Service,Closed,1200-6120-00,2001,Surrey,,SEE ALSO WD-124-053,Final AB,,,,,,20020712,,,49.038290,-122.779271
3,,1,2,Gate,1000264543,19408,1749801971,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.038484,-122.738082
4,,1,2,Gate,1000264614,19326,1705502060,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.040120,-122.750274
5,,1,2,Gate,1000264455,23848,1916002168,300,,,,,,,,,In Service,Open,1204-7530-00,2005,Surrey,,,Final AB,,,,,,20051024,,,49.041945,-122.692312
6,,1,2,Gate,1000264221,11614,1675707827,150,,,,,,,,,Abandoned,Closed,,,Surrey,,,,,,,,,20020501,,,49.144492,-122.757976
7,,1,2,Gate,1000264011,18119,1354602321,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.045026,-122.846826
8,,1,2,Gate,1000264024,18135,1291802144,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.041832,-122.864128
9,,1,2,Gate,1000834034,,1839306807,350,,,,,,,,,In Service,Open,1205-3090-00,2007,Surrey,,,Final AB,,,,,,20071010,20080212,,49.125933,-122.712945
10,,1,2,Gate,1000267603,11019,1307707228,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.133830,-122.859497
11,,1,2,Gate,1000267471,10867,1356807915,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.146242,-122.845926
12,,1,2,Gate,1000267483,10888,1316807884,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.145701,-122.856939
13,,1,2,Gate,1000267523,10934,1348007299,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.135102,-122.848372
14,,1,2,Gate,1001558853,,1958606641,150,,,No,,,,Yes,,In Service,Open,7811-0259-00,2013,Surrey,,,Final AB,,,,,,20130913,20161018,,49.122855,-122.680066
15,,1,2,Gate,1000267386,10774,1297107420,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.137303,-122.862418
16,,1,2,Gate,1000267403,10791,1302907320,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.135486,-122.860827
17,,1,2,Gate,1001558854,,1953106642,300,,,No,,,,No,38,In Service,Open,7811-0259-00,2013,Surrey,,,Final AB,,,,,,20130913,20161018,,49.122874,-122.681582
18,,1,2,Gate,1000261517,2498,1569410427,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020424,,,49.191595,-122.787091
19,,1,2,Gate,1000261518,2499,1570310427,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020424,,,49.191609,-122.786830
20,,1,2,Gate,1000824764,,1246809674,200,,,,,,,,,In Service,Open,1205-3150-00,2007,Surrey,,,Final AB,,,,,,20070509,20070509,,49.178107,-122.876184
21,,1,2,Gate,1000827104,,1519205453,350,,,,,,,,,In Service,Open,7803-0150-00,2006,Surrey,,,Final AB,,,,,,20070618,20070618,,49.101617,-122.801294
22,,1,2,Gate,1001558855,,1953106642,150,,,No,,,,Yes,,In Service,Open,7811-0259-00,2013,Surrey,,,Final AB,,,,,,20130913,20161018,,49.122868,-122.681575
23,,1,5,Tap,1001558877,,1953206690,300,,,No,,,,No,,In Service,Open,7811-0259-00,2013,Surrey,,,Final AB,,,,,,20130913,20161018,,49.123744,-122.681563
24,,1,2,Gate,1001563202,,1939106831,200,,,No,,,,No,,In Service,Open,7810-0265-00,2012,Surrey,,,Final AB,,,,,,20130115,20161018,,49.126292,-122.685419
25,,1,2,Gate,1000276872,6442,1336509232,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020429,,,49.170084,-122.851457
26,,1,2,Gate,1000276873,6443,1337009448,150,,,,,,,,,Abandoned,Closed,,1975,Surrey,,,,,,,,,20020429,,,49.173996,-122.851304
27,,1,2,Gate,1000263246,16449,1598203277,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.062211,-122.779692
28,,1,2,Gate,1000263289,20130,1566103607,200,,,,,,,,,In Service,Open,7895-0156-00,2000,Surrey,,,Final AB,,,,,,20020620,,,49.068201,-122.788505
29,,1,2,Gate,1000263303,20146,1538203457,200,,,,,,,,,In Service,Open,7898-0315-00,2002,Surrey,,,Final AB,,,,,,20020621,,,49.065494,-122.796220
30,,1,2,Gate,1000263329,20172,1548703641,200,,,,,,,,,In Service,Open,7895-0258-00,1999,Surrey,,,Final AB,,,,,,20020625,,,49.068814,-122.793301
31,,1,2,Gate,1000263346,16400,1559703826,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.072157,-122.790262
32,,1,2,Gate,1000263349,16403,1559803827,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.072184,-122.790234
33,,1,2,Gate,1000263178,21750,1592303605,200,,,,,,,,,In Service,Open,7800-0323-00,2002,Surrey,,,Final AB,,,,,,20030401,,,49.068154,-122.781302
34,,1,2,Gate,1000263031,1758,1399110755,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020424,,,49.187007,-122.839578
35,,1,2,Gate,1000263732,18273,1306801625,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.032430,-122.860026
36,,1,2,Gate,1000263749,18290,1347101867,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.036813,-122.848934
37,,1,2,Gate,1000263038,20237,1359110337,200,,,,,,,,,In Service,Open,1299-620,2000,Surrey,,,Final AB,,,,,,20020703,20170221,,49.190062,-122.845146
