,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,, , ,,2,,UPA, ,Suburban Residential Cluster 2 u.p.a.,20131024,West Cloverdale North,Approved,Neighbourhood Concept Plan,1997
1,, , ,,,,, ,Greenway,,West Cloverdale North,Approved,Neighbourhood Concept Plan,1997
2,20070122,Suburban Residential Cluster 2 upa to Single Family Cluster 7.5 upa,R07-160,,7.5,,UPA,,Single Family Cluster 7.5 u.p.a.,,West Cloverdale North,Approved,Neighbourhood Concept Plan,1997
3,20070122,Suburban Residential Cluster 2 upa to Single Family Cluster 7.5 upa,R07-160,,7.5,,UPA,,Single Family Cluster 7.5 u.p.a.,,West Cloverdale North,Approved,Neighbourhood Concept Plan,1997
4,20130724,Amended From Suburban Residential Cluster 2 u.p.a.and Urban Single Family to Park/Open Space/Linear Corridor, ,,,,,7911-0330-00,Park/Open Space/Linear Corridor,20131024,West Cloverdale North,Approved,Neighbourhood Concept Plan,1997
5,20130724,Amended From Suburban Residential Cluster 2 u.p.a. and Urban Single Family To Townhouse 15-30 upa, ,20130318,2,,UPA,7911-0330-00,Townhouse 15-30 upa,20131024,West Cloverdale North,Approved,Neighbourhood Concept Plan,1997
6,, , ,,,,, ,Urban Single Family,,West Cloverdale North,Approved,Neighbourhood Concept Plan,1997
7,20050728,"Rezone from RA toRF-12, RF-9, RF-9C & CD (B/L-12000) NCP from RA to Limited Commercial Plaza",R05-604,,,,,04-0153-00,Limited Commercial Plaza,,West Cloverdale North,Approved,Neighbourhood Concept Plan,1997
8,20050728,"Rezone from RA toRF-12, RF-9, RF-9C & CD (B/L-12000) NCP from Townhouses & Clustered Development to Small Lots",R05-604,,,,,04-0153-00,Small Lots,,West Cloverdale North,Approved,Neighbourhood Concept Plan,1997
9,, , ,20111117,15,8,UPA, ,Townhouses 8-15 u.p.a. (Street Oriented),20111117,West Cloverdale North,Approved,Neighbourhood Concept Plan,1997
10,20050613,Rezone from RM-15 (BL-12000) TO CD; NCP from Townhouses 8-15 upa to Townhouses/Apartments 15-25 upa,R05-2717,,25,15,UPA,05-0034,Townhouses/Apartments 15-25 u.p.a.,,West Cloverdale North,Approved,Neighbourhood Concept Plan,1997
11,, , ,,,,, ,Urban Single Family,,West Cloverdale North,Approved,Neighbourhood Concept Plan,1997
12,, , ,,,,, ,Park/Open Space/Linear Corridor,,West Cloverdale North,Approved,Neighbourhood Concept Plan,1997
13,20030609,Rezone from RA to RM-30 (B/L-12000); NCP from Townhouses (15 upa) to Townhouses (30 upa),R04-838,,30,,UPA,02-0384-00,Townhouses 30 u.p.a.,20111117,West Cloverdale North,Approved,Neighbourhood Concept Plan,1997
14,,,,,,,,,Park/Open Space/Linear Corridor,,West Cloverdale North,Approved,Neighbourhood Concept Plan,1997
15,,,,,7.5,,UPA,,Single Family Cluster 7.5 u.p.a.,,West Cloverdale North,Approved,Neighbourhood Concept Plan,1997
16,20070122,Suburban Residential Cluster 2 upa to Single Family Cluster 7.5 upa,R07-160,,7.5,,UPA,,Single Family Cluster 7.5 u.p.a.,,West Cloverdale North,Approved,Neighbourhood Concept Plan,1997
