,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,,,,,,,,,Park/Open Space,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
1,, , ,,,,, ,Park/Open Space,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
2,, , ,,,,, ,Half Acre Cluster,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
3,20061016,Rezone from RA to RF & RF-12 (B/L-12000); NCP from Urban Single Family to Small Lots,R07-234,,,,,06-0077-00,Urban Single Family,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
4,, , ,,,,, ,Urban Single Family,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
5,, , ,,,,, ,Urban Single Family,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
6,, , ,,,,, ,Urban Single Family,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
7,, , ,,,,, ,Park/Open Space,20130319,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
8,20060109, ,R06-1777,,,,, ,Half Acre Cluster,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
9,, , ,,,,, ,Half Acre Cluster,20130319,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
10,, , ,,,,, ,Urban Single Family,20130319,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
11,, , ,,,,, ,Commercial/Residential,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
12,, , ,,,,, ,Half Acre Cluster,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
13,20060109,"Rezone from A-1 to RC, RF & RF (B/L-12000); NCP from Rowhouse & Half-Acre Residential Cluster & Parks/Open Space to Small Lots & Urban Single Family",R06-1777,,,,,04-0241-00,Urban Single Family,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
14,, , ,,,,, ,Urban Single Family,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
15,,,,20130315,,,,,Urban Single Family,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
16,,,,20130315,,,,,Urban Single Family,20130315,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
17,, , ,,,,, ,Urban Single Family,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
18,, , ,,15,,UPA, ,Row Housing 15 u.p.a,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
19,, , ,20130109,,,, ,Institutional/Residential,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
20,, , ,,,,, ,Half Acre Cluster,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
21,, , ,,,,, ,Half Acre Cluster,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
22,, , ,,,,, ,Half Acre Cluster,20131219,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
23,, , ,,,,, ,Park/Open Space,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
24,20060109,"Rezone from A-1 to RC, RF & RF (B/L-12000);NCP from Rowhouse & Half-Acre Residential Cluster & Parks/Open Space to Small Lots & Urban Single Family",R06-1777,,,,,04-0241-00,Small Lots,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
25,20050221,Rezone from RA to RF-9 & RF-12 (B/L-12000); NCP from Rowhousing to Small Lots,R05-412,,,,,03-0345-00,Small Lots,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
26,20121217,NCP Amendment fromInstitutional/Residential to Commercial/Residential,RES.R11-1964,,,,,7910-0286-00,Commercial/Residential,20130109,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
27,, , ,,,,, ,Institutional/Residential,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
28,, , ,,,,, ,Park/Open Space,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
29,20070626,From One Acre Cluster to Half Acre Cluster,R07-2021,,,,,7906-0273-00,Half Acre Cluster,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
30,20070626,From Half Acre Cluster and Parks & Open Space to Urban Single family,R07-2032,20130319,,,,7905-0019-00,Half Acre Cluster,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
31,, , ,,,,, ,Institutional,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
32,20040705,"Rezone from RA & PC to RF-SD, RF-9 & RF-12 (B/L-12000); NCP from Rowhousing to Single Family Small Lots",R04-1792,,,,,03-0156-00,Semi-Detached Residential,,West Cloverdale South,Approved,Neighbourhood Concept Plan,1997
