,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,, , ,,,,, ,Schools,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
1,, , ,,,,, ,Existing Single Family,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
2,, , ,,,,, ,Suburban Transition Lots,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
3,, , ,,,,, ,Buffers/Greenways,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
4,, , ,,,,, ,Buffers/Greenways,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
5,, , ,,10,,UPA, ,Approved Cluster Housing (10 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
6,,,,,13,,UPA,,Small Lot with Lane (13 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
7,,,,,13,,UPA,,Small Lot with Lane (13 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
8,, , ,20130909,10,,UPA, ,Small Lot with Lane (13 u.p.a.),20130909,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
9,, , ,20130319,10,,UPA, ,Small Lot with Lane (13 u.p.a.),20130909,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
10,, , ,,,,, ,Buffers/Greenways,20130909,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
11,, , ,20130319,10,,UPA, ,Small Lot with Lane (13 u.p.a.),20130909,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
12,,,,,6,,UPA,,Proposed Single Family (6 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
13,, , ,,,,, ,Buffers/Greenways,20130319,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
14,, , ,,,,, ,Existing Single Family,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
15,, , ,,6,,UPA, ,Proposed Single Family (6 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
16,, , ,,,,, ,Existing Single Family,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
17,, , ,20130319,10,,UPA, ,Small Lot (10 u.p.a.),20140612,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
18,, , ,,,,, ,Suburban Transition Lots,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
19,, , ,,,,, ,Existing Half Acre Lots,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
20,, , ,,20,,UPA, ,Seniors Housing (20 u.p.a),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
21,,,,,13,,UPA,,Small Lot with Lane (13 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
22,, , ,,10,,UPA, ,Small Lot (10 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
23,,,,,13,,UPA,,Small Lot with Lane (13 u.p.a.),20160617,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
24,,,,,13,,UPA,,Small Lot with Lane (13 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
25,, , ,,10,,UPA, ,Small Lot (10 u.p.a.),20130319,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
26,, , ,,13,,UPA, ,Small Lot with Lane (13 u.p.a.),20130319,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
27,, , ,,13,,UPA, ,Small Lot with Lane (13 u.p.a.),20130319,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
28,, , ,,,,, ,Parks,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
