,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,, , ,,,,, ,Single Family,,West Newton South,Approved,Neighbourhood Concept Plan,1995
1,, , ,,,,, ,Park & Open Space,,West Newton South,Approved,Neighbourhood Concept Plan,1995
2,20040503,Rezone from RA to CD (B/L-12000); NCP from Townhouses (max. 15 upa) to Multiple Residential (max. 20 upa),R05-1761,,20,20,UPA,03-0301-00,Multiple Residential,20110803,West Newton South,Approved,Neighbourhood Concept Plan,1995
3,, , ,,,,, ,Single Family,,West Newton South,Approved,Neighbourhood Concept Plan,1995
4,, , ,,,,, ,Institutional,,West Newton South,Approved,Neighbourhood Concept Plan,1995
5,, , ,,,,, ,Park & Open Space,,West Newton South,Approved,Neighbourhood Concept Plan,1995
6,, , ,,,,, ,Single Family,,West Newton South,Approved,Neighbourhood Concept Plan,1995
7,, , ,,,,, ,Single Family,,West Newton South,Approved,Neighbourhood Concept Plan,1995
8,, , ,20110803,15,15,UPA, ,Townhouses,20110803,West Newton South,Approved,Neighbourhood Concept Plan,1995
9,, , ,,,,, ,Single Family,,West Newton South,Approved,Neighbourhood Concept Plan,1995
10,, , ,,,,, ,Single Family,,West Newton South,Approved,Neighbourhood Concept Plan,1995
11,, , ,,15,15,UPA, ,Townhouses,20110803,West Newton South,Approved,Neighbourhood Concept Plan,1995
12,20110725,Amendment From Townhouse (max 15upa) To Multiple Residential (max 20upa)   7910-0194 Keith Broersma,R11-1363,20110803,20,20,UPA,7910-0194-00,Multiple Residential,20121218,West Newton South,Approved,Neighbourhood Concept Plan,1995
13,, , ,,,,, ,Park & Open Space,,West Newton South,Approved,Neighbourhood Concept Plan,1995
14,, , ,,,,, ,Compact Housing,,West Newton South,Approved,Neighbourhood Concept Plan,1995
15,, , ,,15,15,UPA, ,Townhouses,20110803,West Newton South,Approved,Neighbourhood Concept Plan,1995
16,20030106,Rezone from RA to CD (B/L-12000); NCP from Townhouses (max. 15 upa) to Multiple Residential (max. 20 upa),R03-1869,,20,20,UPA,02-0187-00,Multiple Residential,20110803,West Newton South,Approved,Neighbourhood Concept Plan,1995
17,, , ,,,,, ,Park & Open Space,,West Newton South,Approved,Neighbourhood Concept Plan,1995
