objectid_1,objectid,acreage,sqft,final_cat,type_,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,GlobalID_2,Shape__Area,Shape__Length
1,7,6.95503347,302960.0462628,Neighborhood Park,NP,5,Alton Playground,Alton Park,Alton Park,Western,1680.93778101,5469398c-9490-4e55-b4d4-776bc4862a7e,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Western,fdb3ca50-6c7c-400a-b66c-de9f6b6f75fd,28146.015625,673.341515971604
2,50,11.65860079,507846.6189228,Neighborhood Park,NP,4,Dunbar Playground,Dunbar Park,Dunbar Park,Western,2666.55630682,5d9753a7-660a-4015-abb1-96fb651a03cf,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Western,ea4b8028-fcf1-41d4-af11-2d669860620d,47180.68359375,1068.12857339807
3,44,12.48337234,543773.52418028,Neighborhood Park,NP,13,Curto Park,Frank Curto Park,Frank Curto Park,State,4947.79134007,789bcaf2-11c5-4ada-82e8-e03ad3899319,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Schenley,0289c8c2-e1d5-4497-a187-5352a64f32ea,50518.4140625,1980.85650192447
4,38,7.30378864,318151.76061004,Neighborhood Park,NP,1,Cowley Playground,Cowley Park,Cowley Park,Northern,1706.73971546,d8f9288e-6a5e-4640-8245-97a8c6a95248,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Northern,a0d47b45-fbe0-4227-994d-4e0d9b94f152,29557.37890625,683.92287791608
5,121,15.4304847,672149.22508041,Neighborhood Park,NP,4,McGonigle Playground,McGonigle Park,McGonigle Park,Western,4098.9491653,96e44c78-3181-4961-8e84-b40b284bbfb6,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Western,7da36390-eb95-46ef-a0f1-381e6fa911b2,62444.9453125,1643.20418935046
6,58,1.47568613,64280.63066779,Regional Park,RP,6,Eileen McCoy Parklet,Emerald View Park - Eileen McCoy Park,Emerald View Regional Park (Eileen McCoy Park),Western,780.26813719,85e78b3f-6464-4be8-a756-695779735770,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Western,678930e3-c753-4564-a516-f70ed6aabc62,5971.8984375,312.666485129927
7,172,2.24674575,97867.85344756,Neighborhood Park,NP,1,Spring Garden Field,Spring Garden Park,Spring Garden Park,Northern,1231.0089363,cafe92f4-0b45-42f4-9411-15363c7d50d1,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Northern,a05c0e77-b56f-4499-9138-2dd38888ca67,9092.25,493.888492384658
8,190,38.97696219,1697829.68166274,Community Park,CP,13,West Penn Park,West Penn Park,West Penn Park,State,4544.06311033,a0481df3-0fb0-4913-8d63-74cf6358656b,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Northeast,98d28fbb-09d1-47d1-a2d5-0c8856512c51,157734.1796875,1820.3361825004
9,22,2.90655674,126609.10522713,Neighborhood Park,NP,9,Blair St Parklet,Blair Street Park,Blair St. Park,Schenley,1179.30834272,284d433b-7f9f-4708-83ff-c76d15c28685,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Schenley,4546acab-45cc-47f4-b364-662743050dc6,11762.42578125,472.659605763048
10,29,0.161462,7033.25655271,Beautification Site,BTF,5,Brookline Monument,Brookline Monument,Brookline Monument,Southern,301.24993005,db8866c6-e4e2-40cc-9b91-b6a61dbb8579,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,4th Division,4781e876-4248-4b06-9424-9a8322d532f2,653.43359375,120.556638587203
11,20,0.41712325,18169.81599879,Beautification Site,BTF,5,Beechview Monument,Beechview Monument,Beechview Monument,Western,444.08349025,de2ca330-1b55-483d-9403-4637822ca5e3,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,5th Division,3a0003f9-f983-408c-9493-4da55ad162b8,1688.03125,177.947133385568
12,192,0.02249231,979.7609177,Beautification Site,BTF,4,Westwood Island,Westwood Island,Westwood Island,Western,93.1245652,82bd048c-8ac4-45af-991b-72228f39bd32,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,5th Division,18e05fab-91ce-4943-bf8c-e03cccbdce80,91.03125,37.3102791515177
13,12,2.73884846,119303.76172629,Neighborhood Park,NP,7,Armstrong Playground,Armstrong Park,Armstrong Park,Southern,1015.27727183,8b1b9560-5b36-4925-93a2-205b276edb4f,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Southern,547699e8-0918-433b-aff6-d817bc92fac8,11083.734375,406.753333206126
14,166,0.25738066,11211.45686867,Beautification Site,BTF,4,Sheraden Monument,Sheraden Monument,Sheraden Monument,Western,369.47866131,8418b4f5-e453-45fb-9b9f-71b56a782739,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,5th Division,1588dab1-11d5-4cbe-8cad-483ef532bbf3,1041.58984375,148.113103310273
15,94,1.02593991,44689.76357258,Neighborhood Park,NP,3,Jefferson Playground,Jefferson Park,Jefferson Park,Northern,679.93778871,fbfc5a30-c277-428b-b9a3-d8fd5eb06a64,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Northern,fd2164af-f1e2-4fe7-a25e-e34761c1fb7f,4151.84375,272.710547317956
16,206,11.10245171,483620.86210213,Neighborhood Park,NP,1,Spring Hill Playground,Spring Hill Park,Spring Hill Park,Northern,2401.52521801,1be984a8-ff8e-4e15-baaf-ba53e2fac8c3,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Northern,6438aeaf-0466-40fe-81d5-5fde73c8f8cb,44930.03515625,962.288433488359
17,39,0.1516952,6607.81656423,Beautification Site,BTF,14,Craft Triangle,Craft Triangle,Craft Triangle,Schenley,249.4495686,ed06cbc2-d61c-453c-a61f-0b2f2aea4fac,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,3rd Division,436b374c-4438-428f-a2c4-21822a780720,613.890625,99.9276835879911
18,16,0.48081782,20944.34061654,Beautification Site,BTF,14,Bates St Triangle,Bates St Triangle,Bates St Triangle,Schenley,431.50681888,88d2aac9-ab97-4fe4-95de-093659d7a5fd,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,3rd Division,3a815a05-43f4-403b-866f-e1f0c09ab33a,1945.78125,172.882153721956
19,104,10.42859487,454267.77554176,Neighborhood Park,NP,13,Leslie Park,Leslie Park,Leslie Park,Northeast,2066.00460031,8728e9ee-a6c5-49fa-80f8-b369a26aae02,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Northeast,cadec7ca-a92c-4015-bb50-45cafe820190,42203.01953125,828.42073406899
20,93,0.05964408,2598.08577901,Beautification Site,BTF,16,Jail Triangle,Jail Triangle,Jail Triangle,State,169.0067854,2193e97c-d602-446e-94a5-d37370e864ec,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,6th Division,95eb0c95-5553-4826-bd15-ba6b22a6579e,241.375,67.6634128681743
21,177,2.04041525,88880.1326501,Neighborhood Park,NP,10,Swisshelm Parklet,Swisshelm Park,Swisshelm Park,Eastern,909.71795803,a345eae0-81c6-4e68-88ef-e73c5717311f,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Eastern,ae92e80c-e7e6-4f8b-be09-1f32ea6967f1,8257.27734375,364.462447565535
22,204,1.12126522,48842.11772653,Neighborhood Park,NP,4,Townsend Parklet,Townsend Park,Townsend Park,Western,669.53504644,446d0fe8-1532-4253-8258-fcb5c0677421,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Western,67ee711a-fb5a-4ef2-b173-188adefd6510,4537.61328125,268.291037707778
23,95,9.3684118,408086.38544114,Neighborhood Park,NP,12,Joe Natoli Playground,Joe Natoli Park,Joe Natoli Park,Northeast,2027.25345377,bc75545d-28e9-4c68-b1fd-40fa6c3b3bbf,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Northeast,fbe7d701-7829-4ffa-891f-bd1f0ff470de,37912.62109375,812.79938199073
24,62,6.14574771,267707.69930688,Neighborhood Park,NP,4,Fairywood Playground,Fairywood Park,Fairywood Park,Western,1580.61786622,b14e6db3-cd9c-4ce2-9b58-aa2632b7a75f,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Western,7cfbc1b8-6b63-48fb-9408-a28b3736616f,24870.94140625,633.400422720458
25,114,5.26850303,229495.07421997,Neighborhood Park,NP,3,Manchester Playground,Manchester School Park,Manchester School Park,Northern,1734.43395184,98a049bc-a038-4cf7-bc06-a8ab9c41582f,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Northern,bdf9dd9d-9ad0-407a-97bd-3a539e3560f3,21320.87109375,602.978513339878
26,43,2.49498739,108681.21615749,Beautification Site,BTF,16,Crosstown,Crosstown,Crosstown,State,3253.17820117,c67f0e1f-0472-4b30-9f55-8976660546c9,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,6th Division,2244667f-bd97-4598-a95f-381257f41c3d,10096.85546875,1303.31446372861
27,106,2.00079282,87154.18642304,Beautification Site,BTF,16,Liberty Avenue Island,Liberty Avenue Island,Liberty Avenue Island,State,2220.12911752,ab150e5d-67ff-4b95-a634-3e3c5397f38b,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,6th Division,e0e2c277-9618-4d34-a143-b80266f139fb,8096.93359375,888.842052885059
28,209,2.7897672,121521.77311018,Beautification Site,BTF,16,Fort Duquesne Blvd Strip,Fort Duquesne Blvd Strip,Fort Duquesne Blvd Strip,State,8077.47299568,683f2117-5293-470b-89bd-a70f4e6775bd,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,6th Division,32f9c397-e9d0-44f1-a03a-2f1858ff684f,11289.78515625,3232.34408314909
29,,15.28729261,665911.80240745,,,,,Washington's Landing Park,,,,,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Northern,00c3933a-fefa-40b1-832b-7d4133ae55ad,61865.47265625,1258.3431999142
30,134,1.54185982,67163.14517516,Beautification Site,BTF,12,Negley Run Blvd,Negley Run Blvd,Negley Run Blvd,Northeast,1568.61965766,0d64322c-0c5d-4008-9652-0cf4c8e5075e,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,2nd Division,42a69a72-2ba9-4d31-af7d-81c0b86f6f38,6239.703125,628.000685950562
31,88,0.09797942,4267.96656138,Beautification Site,BTF,12,Highland Ave Plant Strip,Highland Ave Plant Strip,Highland Ave Plant Strip,Northeast,361.07461526,646d5e11-0ec7-4f5b-81ad-0e50bd2bfcbe,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,2nd Division,2f87a6e4-88b0-4b9f-b696-9b33fae43e44,396.50390625,144.567812257912
32,136,0.27025547,11772.28128756,Beautification Site,BTF,12,Negley-Collins Triangle,Negley-Collins Triangle,Negley-Collins Triangle,Northeast,340.7149413,6800cfe2-5d26-4f19-a71f-8e507978ad94,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,2nd Division,8dbecc51-3f99-4de8-a6bb-dea616e2f5a4,1093.6796875,136.510972072081
33,124,1.0477129,45638.19124219,Beautification Site,BTF,11,McPherson Blvd Strip,McPherson Blvd Strip,McPherson Blvd Strip,Eastern,2418.06827803,7b7961f7-5e49-410f-a46c-cb27d41465fc,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Eastern,3c370300-64d0-4a35-809a-5eb87da98fc1,4239.94921875,968.221965195105
34,179,1.0229946,44561.46656094,Beautification Site,BTF,11,Thomas Blvd Planting Strip,Thomas Blvd Planting Strip,Thomas Blvd Planting Strip,Eastern,2507.73330983,241f501a-1070-401c-b117-168461d0d1ca,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Eastern,74370e5b-3d2d-42f2-95f5-ac879d311ea7,4139.921875,1004.09444420046
